date,close,action
2022-01-03,128500,1
2022-01-04,128500,1
2022-01-05,125500,1
2022-01-06,125000,1
2022-01-07,127000,1
2022-01-10,124500,1
2022-01-11,128000,1
2022-01-12,128500,1
2022-01-13,129500,1
2022-01-14,128500,1
2022-01-17,127000,1
2022-01-18,126500,1
2022-01-19,127000,1
2022-01-20,125000,1
2022-01-21,119000,1
2022-01-24,119000,1
2022-01-25,118000,1
2022-01-26,117500,1
2022-01-27,113500,1
2022-01-28,120500,1
2022-02-03,124000,1
2022-02-04,124500,1
2022-02-07,123000,1
2022-02-08,125000,1
2022-02-09,126000,1
2022-02-10,129500,1
2022-02-11,132000,1
2022-02-14,132500,1
2022-02-15,127000,1
2022-02-16,130500,1
2022-02-17,133000,1
2022-02-18,131500,1
2022-02-21,130000,1
2022-02-22,128500,1
2022-02-23,128500,1
2022-02-24,122500,1
2022-02-25,123000,1
2022-02-28,123500,1
2022-03-02,125000,1
2022-03-03,129000,1
2022-03-04,124500,1
2022-03-07,119500,1
2022-03-08,118000,1
2022-03-10,120000,1
2022-03-11,117000,1
2022-03-14,116000,1
2022-03-15,112500,1
2022-03-16,116500,1
2022-03-17,124000,1
2022-03-18,124000,1
2022-03-21,122000,1
2022-03-22,123500,1
2022-03-23,123500,1
2022-03-24,120500,1
2022-03-25,118000,1
2022-03-28,118000,1
2022-03-29,120000,1
2022-03-30,121000,1
2022-03-31,118000,1
2022-04-01,116000,1
2022-04-04,117000,1
2022-04-05,116500,1
2022-04-06,113000,1
2022-04-07,113500,1
2022-04-08,112000,1
2022-04-11,111500,1
2022-04-12,111000,1
2022-04-13,113000,1
2022-04-14,110000,1
2022-04-15,108000,1
2022-04-18,109000,1
2022-04-19,112500,1
2022-04-20,112500,1
2022-04-21,113000,1
2022-04-22,110500,1
2022-04-25,108000,1
2022-04-26,111000,1
2022-04-27,108500,1
2022-04-28,109500,1
2022-04-29,112500,1
2022-05-02,110500,1
2022-05-03,110000,1
2022-05-04,109500,1
2022-05-06,107500,1
2022-05-09,107500,1
2022-05-10,110000,1
2022-05-11,110500,1
2022-05-12,109000,1
2022-05-13,112500,1
2022-05-16,110500,1
2022-05-17,112500,1
2022-05-18,113500,1
2022-05-19,111000,1
2022-05-20,112500,1
2022-05-23,113000,1
2022-05-24,108500,1
2022-05-25,108000,1
2022-05-26,103000,1
2022-05-27,106000,1
2022-05-30,107000,1
2022-05-31,108000,1
2022-06-02,107000,1
2022-06-03,107000,1
2022-06-07,104000,1
2022-06-08,106000,1
2022-06-09,105500,1
2022-06-10,103500,1
2022-06-13,99000,1
2022-06-14,99100,1
2022-06-15,97900,1
2022-06-16,97400,1
2022-06-17,96400,1
2022-06-20,94500,1
2022-06-21,95200,1
2022-06-22,92200,1
2022-06-23,90200,1
2022-06-24,91600,1
2022-06-27,95000,1
2022-06-28,95300,1
2022-06-29,94000,1
2022-06-30,91000,1
2022-07-01,87500,1
2022-07-04,89100,1
2022-07-05,92500,1
2022-07-06,92100,1
2022-07-07,93900,1
2022-07-08,94800,1
2022-07-11,93700,1
2022-07-12,93300,1
2022-07-13,94000,1
2022-07-14,94000,1
2022-07-15,98700,1
2022-07-18,101000,1
2022-07-19,100000,1
2022-07-20,102000,1
2022-07-21,102500,1
2022-07-22,100000,1
2022-07-25,100000,1
2022-07-26,100500,1
2022-07-27,100000,1
2022-07-28,99400,1
2022-07-29,97900,1
2022-08-01,97100,1
2022-08-02,96500,1
2022-08-03,97500,1
2022-08-04,97500,1
2022-08-05,98500,1
2022-08-08,96300,1
2022-08-09,95100,1
2022-08-10,91800,1
2022-08-11,93300,1
2022-08-12,93300,1
2022-08-16,96700,1
2022-08-17,97100,1
2022-08-18,95700,1
2022-08-19,96400,1
2022-08-22,95200,1
2022-08-23,93600,1
2022-08-24,93200,1
2022-08-25,94100,1
2022-08-26,95100,1
2022-08-29,92500,1
2022-08-30,93200,1
2022-08-31,95200,1
2022-09-01,92400,1
2022-09-02,91700,1
2022-09-05,91100,1
2022-09-06,91800,1
2022-09-07,90400,1
2022-09-08,90400,1
2022-09-13,94800,1
2022-09-14,93000,1
2022-09-15,92000,1
2022-09-16,91200,1
2022-09-19,90000,1
2022-09-20,88000,1
2022-09-21,88000,0
2022-09-22,86000,0
2022-09-23,83500,1
2022-09-26,82500,0
2022-09-27,82000,0
2022-09-28,81200,0
2022-09-29,80800,0
2022-09-30,83100,0
2022-10-04,86200,0
2022-10-05,89800,1
2022-10-06,89900,1
2022-10-07,91200,1
2022-10-11,90200,1
2022-10-12,94000,1
2022-10-13,94900,1
2022-10-14,95500,1
2022-10-17,95200,1
2022-10-18,95800,1
2022-10-19,92900,1
2022-10-20,90200,1
2022-10-21,90500,1
2022-10-24,91800,0
2022-10-25,93500,0
2022-10-26,93900,1
2022-10-27,90000,1
2022-10-28,83400,0
2022-10-31,82700,0
2022-11-01,83900,0
2022-11-02,84500,0
2022-11-03,82700,0
2022-11-04,84500,0
2022-11-07,86500,0
2022-11-08,87700,1
2022-11-09,89200,1
2022-11-10,89100,1
2022-11-11,93500,1
2022-11-14,90900,1
2022-11-15,91600,1
2022-11-16,91500,1
2022-11-17,87700,1
2022-11-18,88400,1
2022-11-21,86300,0
2022-11-22,85200,0
2022-11-23,85200,0
2022-11-24,86900,0
2022-11-25,85100,0
2022-11-28,83100,0
2022-11-29,83700,0
2022-11-30,85000,0
2022-12-01,84700,0
2022-12-02,81900,0
2022-12-05,81000,0
2022-12-06,81000,0
2022-12-07,78900,0
2022-12-08,78800,0
2022-12-09,81500,0
2022-12-12,81100,0
2022-12-13,82300,0
2022-12-14,81800,0
2022-12-15,80200,0
2022-12-16,78400,0
2022-12-19,79000,0
2022-12-20,78300,0
2022-12-21,78000,0
2022-12-22,79200,0
2022-12-23,77800,0
2022-12-26,77000,0
2022-12-27,77000,0
2022-12-28,76000,0
2022-12-29,75000,0
2023-01-02,75700,0
2023-01-03,75600,0
2023-01-04,81000,0
2023-01-05,81400,0
2023-01-06,83100,0
2023-01-09,86000,1
2023-01-10,86500,1
2023-01-11,87300,1
2023-01-12,86800,1
2023-01-13,85700,1
2023-01-16,85800,1
2023-01-17,86000,1
2023-01-18,85100,1
2023-01-19,85500,1
2023-01-20,87600,0
2023-01-25,91400,0
2023-01-26,92300,0
2023-01-27,91500,1
2023-01-30,90700,1
2023-01-31,88500,1
2023-02-01,91400,1
2023-02-02,93400,1
2023-02-03,92200,1
2023-02-06,89100,1
2023-02-07,90800,1
2023-02-08,94900,1
2023-02-09,94400,1
2023-02-10,93500,1
2023-02-13,90600,1
2023-02-14,93400,1
2023-02-15,91700,1
2023-02-16,92900,1
2023-02-17,92000,1
2023-02-20,92500,1
2023-02-21,91200,0
2023-02-22,89100,1
2023-02-23,92700,1
2023-02-24,91000,1
2023-02-27,90000,0
2023-02-28,89400,0
2023-03-02,88100,1
2023-03-03,87300,1
2023-03-06,89700,0
2023-03-07,88900,0
2023-03-08,86800,1
2023-03-09,85600,0
2023-03-10,83300,0
2023-03-13,84300,0
2023-03-14,81100,0
2023-03-15,79100,0
2023-03-16,79000,0
2023-03-17,84000,0
2023-03-20,83700,0
2023-03-21,83600,0
2023-03-22,86900,0
2023-03-23,88500,1
2023-03-24,87300,1
2023-03-27,85500,1
2023-03-28,88400,1
2023-03-29,86900,1
2023-03-30,88800,1
2023-03-31,88600,1
2023-04-03,87200,1
2023-04-04,84500,1
2023-04-05,84600,0
2023-04-06,83800,0
2023-04-07,89100,1
2023-04-10,90700,0
2023-04-11,91800,0
