date,close,action
2022-01-03,46150,0
2022-01-04,46550,1
2022-01-05,46700,1
2022-01-06,46900,1
2022-01-07,46850,1
2022-01-10,45900,1
2022-01-11,44800,1
2022-01-12,45300,1
2022-01-13,45850,1
2022-01-14,44850,1
2022-01-18,42700,0
2022-01-19,42700,0
2022-01-20,43000,0
2022-01-21,42900,0
2022-01-24,41950,0
2022-01-25,40350,0
2022-01-26,40250,0
2022-01-27,38500,0
2022-01-28,42200,0
2022-02-03,41450,0
2022-02-04,42700,0
2022-02-07,41700,0
2022-02-08,41800,1
2022-02-09,43700,1
2022-02-10,43300,1
2022-02-11,42300,1
2022-02-14,40900,1
2022-02-15,41050,1
2022-02-16,41800,1
2022-02-17,42050,1
2022-02-18,42050,0
2022-02-22,41950,0
2022-02-23,43050,1
2022-02-24,42300,1
2022-02-25,42600,1
2022-02-28,43300,1
2022-03-02,43700,1
2022-03-03,45450,1
2022-03-04,45400,1
2022-03-07,45550,1
2022-03-08,44200,1
2022-03-10,48150,1
2022-03-11,49400,1
2022-03-14,49450,1
2022-03-15,48400,1
2022-03-16,49200,1
2022-03-17,48300,1
2022-03-18,48450,1
2022-03-21,47500,1
2022-03-22,48250,1
2022-03-23,48550,1
2022-03-24,48100,0
2022-03-25,47800,0
2022-03-28,48050,1
2022-03-29,47250,1
2022-03-30,47200,1
2022-03-31,47900,1
2022-04-01,47450,1
2022-04-04,46050,0
2022-04-05,46350,0
2022-04-06,45700,0
2022-04-07,44500,0
2022-04-08,44950,0
2022-04-11,45050,0
2022-04-12,44650,0
2022-04-13,45050,0
2022-04-14,44350,0
2022-04-18,43750,0
2022-04-19,44500,1
2022-04-20,43700,0
2022-04-21,44200,0
2022-04-22,44150,1
2022-04-25,42550,0
2022-04-26,42950,0
2022-04-27,42850,0
2022-04-28,44900,1
2022-04-29,44550,1
2022-05-02,44750,1
2022-05-03,44650,1
2022-05-04,44700,1
2022-05-06,44350,1
2022-05-09,43400,1
2022-05-10,42500,0
2022-05-11,42100,0
2022-05-12,40900,0
2022-05-13,42450,0
2022-05-16,42050,0
2022-05-17,42250,0
2022-05-18,41600,0
2022-05-19,40200,0
2022-05-20,41100,0
2022-05-23,41100,0
2022-05-24,41900,0
2022-05-25,42200,1
2022-05-26,42150,1
