Date,Close,대비,등락률,BPS,PBR,주당배당금,배당수익률
2014/01/02,322000,-4500,-1.38,452524,0.71,8000,2.48
2014/01/03,320500,-1500,-0.47,452524,0.71,8000,2.5
2014/01/06,316500,-4000,-1.25,452524,0.7,8000,2.53
2014/01/07,314500,-2000,-0.63,452524,0.69,8000,2.54
2014/01/08,313500,-1000,-0.32,452524,0.69,8000,2.55
2014/01/09,306500,-7000,-2.23,452524,0.68,8000,2.61
2014/01/10,308000,1500,0.49,452524,0.68,8000,2.6
2014/01/13,310500,2500,0.81,452524,0.69,8000,2.58
2014/01/14,310000,-500,-0.16,452524,0.69,8000,2.58
2014/01/15,310000,0,0.0,452524,0.69,8000,2.58
2014/01/16,311500,1500,0.48,452524,0.69,8000,2.57
2014/01/17,311500,0,0.0,452524,0.69,8000,2.57
2014/01/20,311000,-500,-0.16,452524,0.69,8000,2.57
2014/01/21,309500,-1500,-0.48,452524,0.68,8000,2.58
2014/01/22,310500,1000,0.32,452524,0.69,8000,2.58
2014/01/23,305000,-5500,-1.77,452524,0.67,8000,2.62
2014/01/24,304500,-500,-0.16,452524,0.67,8000,2.63
2014/01/27,299000,-5500,-1.81,452524,0.66,8000,2.68
2014/01/28,297500,-1500,-0.5,452524,0.66,8000,2.69
2014/01/29,298500,1000,0.34,452524,0.66,8000,2.68
2014/02/03,295000,-3500,-1.17,452524,0.65,8000,2.71
2014/02/04,290000,-5000,-1.69,452524,0.64,8000,2.76
2014/02/05,289500,-500,-0.17,452524,0.64,8000,2.76
2014/02/06,288000,-1500,-0.52,452524,0.64,8000,2.78
2014/02/07,286500,-1500,-0.52,452524,0.63,8000,2.79
2014/02/10,286500,0,0.0,452524,0.63,8000,2.79
2014/02/11,286000,-500,-0.17,452524,0.63,8000,2.8
2014/02/12,291000,5000,1.75,452524,0.64,8000,2.75
2014/02/13,290500,-500,-0.17,452524,0.64,8000,2.75
2014/02/14,294500,4000,1.38,452524,0.65,8000,2.72
2014/02/17,295500,1000,0.34,452524,0.65,8000,2.71
2014/02/18,294500,-1000,-0.34,452524,0.65,8000,2.72
2014/02/19,293000,-1500,-0.51,452524,0.65,8000,2.73
2014/02/20,291000,-2000,-0.68,452524,0.64,8000,2.75
2014/02/21,290000,-1000,-0.34,452524,0.64,8000,2.76
2014/02/24,288500,-1500,-0.52,452524,0.64,8000,2.77
2014/02/25,289500,1000,0.35,452524,0.64,8000,2.76
2014/02/26,288500,-1000,-0.35,452524,0.64,8000,2.77
2014/02/27,287000,-1500,-0.52,452524,0.63,8000,2.79
2014/02/28,284000,-3000,-1.05,452524,0.63,8000,2.82
2014/03/03,278500,-5500,-1.94,452524,0.62,8000,2.87
2014/03/04,272500,-6000,-2.15,452524,0.6,8000,2.94
2014/03/05,276500,4000,1.47,452524,0.61,8000,2.89
2014/03/06,279500,3000,1.08,452524,0.62,8000,2.86
2014/03/07,279500,0,0.0,452524,0.62,8000,2.86
2014/03/10,274000,-5500,-1.97,452524,0.61,8000,2.92
2014/03/11,279000,5000,1.82,452524,0.62,8000,2.87
2014/03/12,278500,-500,-0.18,452524,0.62,8000,2.87
2014/03/13,280000,1500,0.54,452524,0.62,8000,2.86
2014/03/14,277000,-3000,-1.07,452524,0.61,8000,2.89
2014/03/17,279000,2000,0.72,452524,0.62,8000,2.87
2014/03/18,283000,4000,1.43,452524,0.63,8000,2.83
2014/03/19,286500,3500,1.24,452524,0.63,8000,2.79
2014/03/20,287500,1000,0.35,452524,0.64,8000,2.78
2014/03/21,292000,4500,1.57,452524,0.65,8000,2.74
2014/03/24,296500,4500,1.54,452524,0.66,8000,2.7
2014/03/25,300500,4000,1.35,452524,0.66,8000,2.66
2014/03/26,301500,1000,0.33,452524,0.67,8000,2.65
2014/03/27,303000,1500,0.5,452524,0.67,8000,2.64
2014/03/28,294000,-9000,-2.97,452524,0.65,8000,2.72
2014/03/31,296000,2000,0.68,452524,0.65,8000,2.7
2014/04/01,300500,4500,1.52,452524,0.66,8000,2.66
2014/04/02,297000,-3500,-1.16,452524,0.66,8000,2.69
2014/04/03,294500,-2500,-0.84,452524,0.65,8000,2.72
2014/04/04,294500,0,0.0,452524,0.65,8000,2.72
2014/04/07,300500,6000,2.04,452524,0.66,8000,2.66
2014/04/08,303000,2500,0.83,452524,0.67,8000,2.64
2014/04/09,311500,8500,2.81,452524,0.69,8000,2.57
2014/04/10,312000,500,0.16,452524,0.69,8000,2.56
2014/04/11,313000,1000,0.32,452524,0.69,8000,2.56
2014/04/14,314000,1000,0.32,452524,0.69,8000,2.55
2014/04/15,317000,3000,0.96,452524,0.7,8000,2.52
2014/04/16,307500,-9500,-3.0,452524,0.68,8000,2.6
2014/04/17,308500,1000,0.33,452524,0.68,8000,2.59
2014/04/18,309500,1000,0.32,452524,0.68,8000,2.58
2014/04/21,302500,-7000,-2.26,452524,0.67,8000,2.64
2014/04/22,301500,-1000,-0.33,452524,0.67,8000,2.65
2014/04/23,299000,-2500,-0.83,452524,0.66,8000,2.68
2014/04/24,299000,0,0.0,452524,0.66,8000,2.68
2014/04/25,292000,-7000,-2.34,452524,0.65,8000,2.74
2014/04/28,292500,500,0.17,452524,0.65,8000,2.74
2014/04/29,298500,6000,2.05,452524,0.66,8000,2.68
2014/04/30,307500,9000,3.02,482252,0.64,8000,2.6
2014/05/02,305000,-2500,-0.81,482252,0.63,8000,2.62
2014/05/07,299500,-5500,-1.8,482252,0.62,8000,2.67
2014/05/08,304500,5000,1.67,482252,0.63,8000,2.63
2014/05/09,307000,2500,0.82,482252,0.64,8000,2.61
2014/05/12,308000,1000,0.33,482252,0.64,8000,2.6
2014/05/13,310000,2000,0.65,482252,0.64,8000,2.58
2014/05/14,314000,4000,1.29,482252,0.65,8000,2.55
2014/05/15,310000,-4000,-1.27,482252,0.64,8000,2.58
2014/05/16,310500,500,0.16,482252,0.64,8000,2.58
2014/05/19,309000,-1500,-0.48,482252,0.64,8000,2.59
2014/05/20,307000,-2000,-0.65,482252,0.64,8000,2.61
2014/05/21,309000,2000,0.65,482252,0.64,8000,2.59
2014/05/22,312500,3500,1.13,482252,0.65,8000,2.56
2014/05/23,309000,-3500,-1.12,482252,0.64,8000,2.59
2014/05/26,307500,-1500,-0.49,482252,0.64,8000,2.6
2014/05/27,300000,-7500,-2.44,482252,0.62,8000,2.67
2014/05/28,299000,-1000,-0.33,482252,0.62,8000,2.68
2014/05/29,293500,-5500,-1.84,482252,0.61,8000,2.73
2014/05/30,289000,-4500,-1.53,482252,0.6,8000,2.77
2014/06/02,294000,5000,1.73,482252,0.61,8000,2.72
2014/06/03,289000,-5000,-1.7,482252,0.6,8000,2.77
2014/06/05,288000,-1000,-0.35,482252,0.6,8000,2.78
2014/06/09,293000,5000,1.74,482252,0.61,8000,2.73
2014/06/10,294500,1500,0.51,482252,0.61,8000,2.72
2014/06/11,294000,-500,-0.17,482252,0.61,8000,2.72
2014/06/12,292500,-1500,-0.51,482252,0.61,8000,2.74
2014/06/13,288000,-4500,-1.54,482252,0.6,8000,2.78
2014/06/16,289500,1500,0.52,482252,0.6,8000,2.76
2014/06/17,285500,-4000,-1.38,482252,0.59,8000,2.8
2014/06/18,287000,1500,0.53,482252,0.6,8000,2.79
2014/06/19,292500,5500,1.92,482252,0.61,8000,2.74
2014/06/20,288000,-4500,-1.54,482252,0.6,8000,2.78
2014/06/23,291500,3500,1.22,482252,0.6,8000,2.74
2014/06/24,292000,500,0.17,482252,0.61,8000,2.74
2014/06/25,297000,5000,1.71,482252,0.62,8000,2.69
2014/06/26,305000,8000,2.69,482252,0.63,8000,2.62
2014/06/27,302000,-3000,-0.98,482252,0.63,8000,2.65
2014/06/30,304000,2000,0.66,482252,0.63,8000,2.63
2014/07/01,301500,-2500,-0.82,482252,0.63,8000,2.65
2014/07/02,301000,-500,-0.17,482252,0.62,8000,2.66
2014/07/03,299500,-1500,-0.5,482252,0.62,8000,2.67
2014/07/04,303000,3500,1.17,482252,0.63,8000,2.64
2014/07/07,304500,1500,0.5,482252,0.63,8000,2.63
2014/07/08,304500,0,0.0,482252,0.63,8000,2.63
2014/07/09,300000,-4500,-1.48,482252,0.62,8000,2.67
2014/07/10,300500,500,0.17,482252,0.62,8000,2.66
2014/07/11,294500,-6000,-2.0,482252,0.61,8000,2.72
2014/07/14,291500,-3000,-1.02,482252,0.6,8000,2.74
2014/07/15,292500,1000,0.34,482252,0.61,8000,2.74
2014/07/16,302000,9500,3.25,482252,0.63,8000,2.65
2014/07/17,308000,6000,1.99,482252,0.64,8000,2.6
2014/07/18,301500,-6500,-2.11,482252,0.63,8000,2.65
2014/07/21,305000,3500,1.16,482252,0.63,8000,2.62
2014/07/22,309500,4500,1.48,482252,0.64,8000,2.58
2014/07/23,318000,8500,2.75,482252,0.66,8000,2.52
2014/07/24,320500,2500,0.79,482252,0.66,8000,2.5
2014/07/25,326000,5500,1.72,482252,0.68,8000,2.45
2014/07/28,334500,8500,2.61,482252,0.69,8000,2.39
2014/07/29,335000,500,0.15,482252,0.69,8000,2.39
2014/07/30,334500,-500,-0.15,482252,0.69,8000,2.39
2014/07/31,337500,3000,0.9,482252,0.7,8000,2.37
2014/08/01,340000,2500,0.74,482252,0.71,8000,2.35
2014/08/04,336000,-4000,-1.18,482252,0.7,8000,2.38
2014/08/05,324000,-12000,-3.57,482252,0.67,8000,2.47
2014/08/06,329000,5000,1.54,482252,0.68,8000,2.43
2014/08/07,324000,-5000,-1.52,482252,0.67,8000,2.47
2014/08/08,320000,-4000,-1.23,482252,0.66,8000,2.5
2014/08/11,324000,4000,1.25,482252,0.67,8000,2.47
2014/08/12,325500,1500,0.46,482252,0.67,8000,2.46
2014/08/13,329500,4000,1.23,482252,0.68,8000,2.43
