Date,Close,대비,등락률,BPS,PBR,주당배당금,배당수익률
2014/01/02,244500,-4000,-1.61,45691,5.35,600,0.25
2014/01/03,237000,-7500,-3.07,45691,5.19,600,0.25
2014/01/06,234000,-3000,-1.27,45691,5.12,600,0.26
2014/01/07,237500,3500,1.5,45691,5.2,600,0.25
2014/01/08,224000,-13500,-5.68,45691,4.9,600,0.27
2014/01/09,221000,-3000,-1.34,45691,4.84,600,0.27
2014/01/10,223000,2000,0.9,45691,4.88,600,0.27
2014/01/13,218000,-5000,-2.24,45691,4.77,600,0.28
2014/01/14,219500,1500,0.69,45691,4.8,600,0.27
2014/01/15,223500,4000,1.82,45691,4.89,600,0.27
2014/01/16,228000,4500,2.01,45691,4.99,600,0.26
2014/01/17,217000,-11000,-4.82,45691,4.75,600,0.28
2014/01/20,208000,-9000,-4.15,45691,4.55,600,0.29
2014/01/21,210500,2500,1.2,45691,4.61,600,0.29
2014/01/22,216500,6000,2.85,45691,4.74,600,0.28
2014/01/23,213500,-3000,-1.39,45691,4.67,600,0.28
2014/01/24,206500,-7000,-3.28,45691,4.52,600,0.29
2014/01/27,196500,-10000,-4.84,45691,4.3,600,0.31
2014/01/28,198500,2000,1.02,45691,4.34,600,0.3
2014/01/29,198500,0,0.0,45691,4.34,600,0.3
2014/02/03,190000,-8500,-4.28,45691,4.16,600,0.32
2014/02/04,190500,500,0.26,45691,4.17,600,0.31
2014/02/05,197000,6500,3.41,45691,4.31,600,0.3
2014/02/06,200000,3000,1.52,45691,4.38,600,0.3
2014/02/07,200000,0,0.0,45691,4.38,600,0.3
2014/02/10,204000,4000,2.0,45691,4.46,600,0.29
2014/02/11,204000,0,0.0,45691,4.46,600,0.29
2014/02/12,209000,5000,2.45,45691,4.57,600,0.29
2014/02/13,215000,6000,2.87,45691,4.71,600,0.28
2014/02/14,210500,-4500,-2.09,45691,4.61,600,0.29
2014/02/17,212000,1500,0.71,45691,4.64,600,0.28
2014/02/18,209000,-3000,-1.42,45691,4.57,600,0.29
2014/02/19,208500,-500,-0.24,45691,4.56,600,0.29
2014/02/20,208000,-500,-0.24,45691,4.55,600,0.29
2014/02/21,203000,-5000,-2.4,45691,4.44,600,0.3
2014/02/24,188000,-15000,-7.39,45691,4.11,600,0.32
2014/02/25,193500,5500,2.93,45691,4.23,600,0.31
2014/02/26,192500,-1000,-0.52,45691,4.21,600,0.31
2014/02/27,196500,4000,2.08,45691,4.3,600,0.31
2014/02/28,191000,-5500,-2.8,45691,4.18,600,0.31
2014/03/03,194000,3000,1.57,45691,4.25,600,0.31
2014/03/04,197000,3000,1.55,45691,4.31,600,0.3
2014/03/05,201000,4000,2.03,45691,4.4,600,0.3
2014/03/06,209500,8500,4.23,45691,4.59,600,0.29
2014/03/07,210500,1000,0.48,45691,4.61,600,0.29
2014/03/10,204500,-6000,-2.85,45691,4.48,600,0.29
2014/03/11,203000,-1500,-0.73,45691,4.44,600,0.3
2014/03/12,198000,-5000,-2.46,45691,4.33,600,0.3
2014/03/13,215000,17000,8.59,45691,4.71,600,0.28
2014/03/14,215000,0,0.0,45691,4.71,600,0.28
2014/03/17,222500,7500,3.49,45691,4.87,600,0.27
2014/03/18,221000,-1500,-0.67,45691,4.84,600,0.27
2014/03/19,223000,2000,0.9,45691,4.88,600,0.27
2014/03/20,222000,-1000,-0.45,45691,4.86,600,0.27
2014/03/21,223000,1000,0.45,45691,4.88,600,0.27
2014/03/24,227500,4500,2.02,45691,4.98,600,0.26
2014/03/25,222000,-5500,-2.42,45691,4.86,600,0.27
2014/03/26,219000,-3000,-1.35,45691,4.79,600,0.27
2014/03/27,222500,3500,1.6,45691,4.87,600,0.27
2014/03/28,220000,-2500,-1.12,45691,4.81,600,0.27
2014/03/31,218000,-2000,-0.91,45691,4.77,600,0.28
2014/04/01,219500,1500,0.69,45691,4.8,600,0.27
2014/04/02,227500,8000,3.64,45691,4.98,600,0.26
2014/04/03,224500,-3000,-1.32,45691,4.91,600,0.27
2014/04/04,221000,-3500,-1.56,45691,4.84,600,0.27
2014/04/07,210000,-11000,-4.98,45691,4.6,600,0.29
2014/04/08,210000,0,0.0,45691,4.6,600,0.29
2014/04/09,210500,500,0.24,45691,4.61,600,0.29
2014/04/10,213500,3000,1.43,45691,4.67,600,0.28
2014/04/11,206500,-7000,-3.28,45691,4.52,600,0.29
2014/04/14,205500,-1000,-0.48,45691,4.5,600,0.29
