Date,Close,등락률,PER,PBR,회전율,환율,코스피,나스닥
2014-01-02,244500,-1.61,31.23,5.35,0.0064,1050.75,1967.19,-0.8
2014-01-03,237000,-3.07,30.27,5.19,0.0083,1049.5999755859375,1946.14,-0.27
2014-01-06,234000,-1.27,29.89,5.12,0.0103,1053.800048828125,1953.28,-0.44
2014-01-07,237500,1.5,30.33,5.2,0.0061,1065.4000244140625,1959.44,0.96
2014-01-08,224000,-5.68,28.61,4.9,0.0291,1068.5,1958.96,0.3
2014-01-09,221000,-1.34,28.22,4.84,0.0174,1064.699951171875,1946.11,-0.23
2014-01-10,223000,0.9,28.48,4.88,0.0333,1062.0,1938.54,0.44
2014-01-13,218000,-2.24,27.84,4.77,0.0132,1060.4000244140625,1948.92,-1.47
2014-01-14,219500,0.69,28.03,4.8,0.0099,1058.5,1946.07,1.69
2014-01-15,223500,1.82,28.54,4.89,0.0115,1058.300048828125,1953.28,0.76
2014-01-16,228000,2.01,29.12,4.99,0.0132,1063.0,1957.32,0.09
2014-01-17,217000,-4.82,27.71,4.75,0.0163,1062.4000244140625,1944.48,-0.5
2014-01-21,210500,1.2,26.88,4.61,0.0094,1062.5,1963.89,0.67
2014-01-22,216500,2.85,27.65,4.74,0.0087,1064.199951171875,1970.42,0.41
2014-01-23,213500,-1.39,27.27,4.67,0.0096,1066.5,1947.59,-0.57
2014-01-24,206500,-3.28,26.37,4.52,0.0096,1072.699951171875,1940.56,-2.15
2014-01-27,196500,-4.84,25.1,4.3,0.0145,1078.4000244140625,1910.34,-1.08
2014-01-28,198500,1.02,25.35,4.34,0.02,1082.5,1916.93,0.35
2014-01-29,198500,0.0,25.35,4.34,0.0073,1076.9000244140625,1941.15,-1.14
2014-02-03,190000,-4.28,24.27,4.16,0.0109,1080.199951171875,1919.96,-2.61
2014-02-04,190500,0.26,24.33,4.17,0.0125,1083.5999755859375,1886.85,0.86
2014-02-05,197000,3.41,25.16,4.31,0.011,1083.0,1891.32,-0.5
2014-02-06,200000,1.52,25.54,4.38,0.0066,1076.9000244140625,1907.89,1.14
2014-02-07,200000,0.0,25.54,4.38,0.0053,1077.699951171875,1922.5,1.69
2014-02-10,204000,2.0,26.05,4.46,0.0083,1075.300048828125,1923.3,0.54
2014-02-11,204000,0.0,26.05,4.46,0.0089,1071.9000244140625,1932.06,1.03
2014-02-12,209000,2.45,26.69,4.57,0.0098,1069.9000244140625,1935.84,0.24
2014-02-13,215000,2.87,27.46,4.71,0.0195,1061.4000244140625,1926.96,0.94
2014-02-14,210500,-2.09,26.88,4.61,0.009,1065.300048828125,1940.28,0.08
2014-02-18,209000,-1.42,26.69,4.57,0.0039,1059.4000244140625,1946.91,0.68
2014-02-19,208500,-0.24,26.63,4.56,0.0093,1064.4000244140625,1942.93,-0.82
2014-02-20,208000,-0.24,26.56,4.55,0.0069,1065.300048828125,1930.57,0.7
2014-02-21,203000,-2.4,25.93,4.44,0.0106,1071.0,1957.83,-0.1
2014-02-24,188000,-7.39,24.01,4.11,0.0314,1072.0999755859375,1949.05,0.69
2014-02-25,193500,2.93,24.71,4.23,0.0171,1073.300048828125,1964.86,-0.13
2014-02-26,192500,-0.52,24.58,4.21,0.0086,1073.0999755859375,1970.77,0.1
2014-02-27,196500,2.08,25.1,4.3,0.0089,1065.0999755859375,1978.43,0.63
2014-02-28,191000,-2.8,24.39,4.18,0.0111,1068.699951171875,1979.99,-0.25
2014-03-03,194000,1.57,24.78,4.25,0.0096,1067.300048828125,1964.69,-0.72
2014-03-04,197000,1.55,25.16,4.31,0.007,1069.0,1954.11,1.75
2014-03-05,201000,2.03,25.67,4.4,0.0139,1070.0999755859375,1971.24,0.14
2014-03-06,209500,4.23,26.76,4.59,0.0176,1070.199951171875,1975.62,-0.13
2014-03-07,210500,0.48,26.88,4.61,0.0071,1063.5999755859375,1974.68,-0.37
2014-03-10,204500,-2.85,26.12,4.48,0.0103,1064.199951171875,1954.42,-0.04
2014-03-11,203000,-0.73,25.93,4.44,0.0056,1066.0999755859375,1963.87,-0.63
