날짜,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2000/12/26,504.62,4.02,0.80,509.09,509.95,501.64,"252,890","1,494,115",
2000/12/22,500.60,-11.30,-2.21,514.54,518.90,500.41,"332,697","1,611,808",
2000/12/21,511.90,-2.31,-0.45,498.60,515.76,497.31,"290,298","1,665,566",
2000/12/20,514.21,-16.59,-3.13,517.37,525.79,513.24,"304,295","1,581,490",
2000/12/19,530.80,-8.47,-1.57,541.23,541.25,530.18,"290,170","1,587,946",
2000/12/18,539.27,5.27,0.99,529.37,541.78,529.37,"251,260","1,355,266",
2000/12/15,534.00,-13.38,-2.44,544.53,551.29,533.65,"297,847","1,667,623",
2000/12/14,547.38,-10.46,-1.88,548.14,554.89,540.73,"298,434","1,914,904",
2000/12/13,557.84,14.76,2.72,540.35,560.16,539.51,"302,753","1,916,032",
2000/12/12,543.08,-11.72,-2.11,556.22,558.50,541.99,"320,886","1,663,919",
2000/12/11,554.80,19.99,3.74,543.46,557.79,543.46,"388,717","1,902,500",
2000/12/08,534.81,11.03,2.11,523.40,535.47,523.40,"321,364","1,359,600",
2000/12/07,523.78,5.89,1.14,517.48,523.78,510.86,"300,980","1,314,941",
2000/12/06,517.89,0.93,0.18,535.19,540.63,517.87,"391,918","2,170,397",
2000/12/05,516.96,15.23,3.04,505.10,516.97,502.94,"257,240","1,258,890",
2000/12/04,501.73,-12.73,-2.47,520.14,520.52,499.72,"267,606","1,372,502",
2000/12/01,514.46,5.23,1.03,490.88,514.46,489.53,"329,920","1,558,855",
2000/11/30,509.23,-7.21,-1.40,518.82,518.82,499.52,"310,417","1,429,394",
2000/11/29,516.44,-20.50,-3.82,522.98,522.98,511.93,"281,000","1,202,031",
2000/11/28,536.94,-17.10,-3.09,544.44,547.31,535.96,"341,209","1,547,496",
2000/11/27,554.04,23.20,4.37,542.27,554.04,542.27,"392,920","2,012,408",
2000/11/24,530.84,16.53,3.21,518.15,530.84,515.32,"315,548","1,465,599",
2000/11/23,514.31,-8.02,-1.54,515.48,522.54,512.41,"312,320","1,499,763",
2000/11/22,522.33,-9.12,-1.72,525.50,532.95,520.61,"314,620","1,411,002",
2000/11/21,531.45,-5.95,-1.11,529.51,531.45,515.41,"293,148","1,397,532",
2000/11/20,537.40,-13.86,-2.51,543.78,547.56,537.24,"289,753","1,175,620",
2000/11/17,551.26,-3.78,-0.68,548.43,551.26,543.60,"331,720","1,588,980",
2000/11/16,555.04,-2.44,-0.44,557.85,561.17,550.46,"310,692","1,361,642",
2000/11/15,557.48,4.49,0.81,566.41,570.36,552.89,"325,306","1,998,308",
2000/11/14,552.99,14.05,2.61,543.53,552.99,543.53,"253,047","1,286,328",
2000/11/13,538.94,-26.24,-4.64,552.44,552.44,536.45,"272,836","1,386,134",
2000/11/10,565.18,4.52,0.81,557.94,567.34,555.11,"322,181","1,652,873",
2000/11/09,560.66,2.57,0.46,549.44,562.66,548.14,"323,912","1,669,371",
2000/11/08,558.09,4.74,0.86,549.21,562.89,545.77,"354,231","1,832,199",
2000/11/07,553.35,-3.31,-0.59,560.55,564.38,550.39,"346,588","1,788,326",
2000/11/06,556.66,-3.75,-0.67,557.64,581.47,555.41,"423,810","2,386,939",
2000/11/03,560.41,2.31,0.41,563.50,567.07,556.38,"406,518","2,253,772",
2000/11/02,558.10,9.34,1.70,543.94,563.98,540.93,"461,059","2,632,834",
2000/11/01,548.76,34.28,6.66,524.69,550.06,522.78,"366,443","2,277,167",
2000/10/31,514.48,9.75,1.93,497.59,514.48,483.58,"350,639","1,611,306",
2000/10/30,504.73,-10.61,-2.06,514.82,520.01,504.73,"285,728","1,295,013",
2000/10/27,515.34,-8.33,-1.59,528.59,534.84,515.34,"284,257","2,004,682",
2000/10/26,523.67,-18.66,-3.44,528.27,530.81,517.82,"212,838","1,516,630",
2000/10/25,542.33,-2.72,-0.50,539.93,545.86,532.99,"308,132","1,782,791",
2000/10/24,545.05,16.68,3.16,527.36,549.79,523.02,"311,594","1,941,022",
2000/10/23,528.37,-17.60,-3.22,555.11,556.00,527.18,"271,144","1,919,730",
2000/10/20,545.97,30.93,6.01,540.68,554.65,540.49,"371,649","2,790,772",
2000/10/19,515.04,0.87,0.17,510.19,531.20,506.49,"312,613","2,060,367",
2000/10/18,514.17,1.32,0.26,501.09,519.54,485.00,"398,598","2,347,019",
2000/10/17,512.85,-37.25,-6.77,536.20,545.08,512.85,"313,674","1,798,663",
2000/10/16,550.10,25.50,4.86,557.11,565.88,543.20,"341,166","2,309,835",
2000/10/13,524.60,-10.11,-1.89,514.82,525.71,498.56,"330,309","1,990,326",
2000/10/12,534.71,-22.47,-4.03,548.44,564.09,534.71,"259,668","1,673,803",
2000/10/11,557.18,-31.16,-5.30,576.44,576.44,548.29,"311,532","1,944,590",
2000/10/10,588.34,-0.84,-0.14,588.72,595.79,578.20,"283,529","1,628,573",
2000/10/09,589.18,-19.67,-3.23,606.81,606.90,589.18,"343,128","1,833,146",
2000/10/06,608.85,2.06,0.34,601.57,610.52,601.05,"369,623","1,973,417",
2000/10/05,606.79,8.37,1.40,605.81,616.22,604.25,"456,972","2,589,878",
2000/10/04,598.42,9.20,1.56,578.37,598.42,571.58,"311,588","2,134,879",
