Date,Close,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
2014/01/02,35550,-1250,-3.40,-,-,-,-,14032,2.53,0,0.00
2014/01/03,36300,750,+2.11,-,-,-,-,14032,2.59,0,0.00
2014/01/06,37650,1350,+3.72,-,-,-,-,14032,2.68,0,0.00
2014/01/07,37800,150,+0.40,-,-,-,-,14032,2.69,0,0.00
2014/01/08,39000,1200,+3.17,-,-,-,-,14032,2.78,0,0.00
2014/01/09,38850,-150,-0.38,-,-,-,-,14032,2.77,0,0.00
2014/01/10,38500,-350,-0.90,-,-,-,-,14032,2.74,0,0.00
2014/01/13,38150,-350,-0.91,-,-,-,-,14032,2.72,0,0.00
2014/01/14,38400,250,+0.66,-,-,-,-,14032,2.74,0,0.00
2014/01/15,36650,-1750,-4.56,-,-,-,-,14032,2.61,0,0.00
2014/01/16,36550,-100,-0.27,-,-,-,-,14032,2.60,0,0.00
2014/01/17,36000,-550,-1.50,-,-,-,-,14032,2.57,0,0.00
2014/01/20,36850,850,+2.36,-,-,-,-,14032,2.63,0,0.00
2014/01/21,36400,-450,-1.22,-,-,-,-,14032,2.59,0,0.00
2014/01/22,36300,-100,-0.27,-,-,-,-,14032,2.59,0,0.00
2014/01/23,35400,-900,-2.48,-,-,-,-,14032,2.52,0,0.00
2014/01/24,35900,500,+1.41,-,-,-,-,14032,2.56,0,0.00
2014/01/27,35250,-650,-1.81,-,-,-,-,14032,2.51,0,0.00
2014/01/28,36800,1550,+4.40,-,-,-,-,14032,2.62,0,0.00
2014/01/29,37850,1050,+2.85,-,-,-,-,14032,2.70,0,0.00
2014/02/03,37950,100,+0.26,-,-,-,-,14032,2.70,0,0.00
2014/02/04,36500,-1450,-3.82,-,-,-,-,14032,2.60,0,0.00
2014/02/05,36650,150,+0.41,-,-,-,-,14032,2.61,0,0.00
2014/02/06,38600,1950,+5.32,-,-,-,-,14032,2.75,0,0.00
2014/02/07,39300,700,+1.81,-,-,-,-,14032,2.80,0,0.00
2014/02/10,39000,-300,-0.76,-,-,-,-,14032,2.78,0,0.00
2014/02/11,39000,0,0.00,-,-,-,-,14032,2.78,0,0.00
2014/02/12,39850,850,+2.18,-,-,-,-,14032,2.84,0,0.00
2014/02/13,39900,50,+0.13,-,-,-,-,14032,2.84,0,0.00
2014/02/14,39050,-850,-2.13,-,-,-,-,14032,2.78,0,0.00
2014/02/17,38700,-350,-0.90,-,-,-,-,14032,2.76,0,0.00
2014/02/18,38800,100,+0.26,-,-,-,-,14032,2.77,0,0.00
2014/02/19,39150,350,+0.90,-,-,-,-,14032,2.79,0,0.00
2014/02/20,38800,-350,-0.89,-,-,-,-,14032,2.77,0,0.00
2014/02/21,39300,500,+1.29,-,-,-,-,14032,2.80,0,0.00
2014/02/24,38850,-450,-1.15,-,-,-,-,14032,2.77,0,0.00
2014/02/25,38650,-200,-0.51,-,-,-,-,14032,2.75,0,0.00
2014/02/26,39250,600,+1.55,-,-,-,-,14032,2.80,0,0.00
2014/02/27,39500,250,+0.64,-,-,-,-,14032,2.81,0,0.00
2014/02/28,38750,-750,-1.90,-,-,-,-,14032,2.76,0,0.00
2014/03/03,38950,200,+0.52,-,-,-,-,14032,2.78,0,0.00
2014/03/04,38950,0,0.00,-,-,-,-,14032,2.78,0,0.00
2014/03/05,39450,500,+1.28,-,-,-,-,14032,2.81,0,0.00
2014/03/06,39100,-350,-0.89,-,-,-,-,14032,2.79,0,0.00
2014/03/07,38550,-550,-1.41,-,-,-,-,14032,2.75,0,0.00
2014/03/10,37700,-850,-2.20,-,-,-,-,14032,2.69,0,0.00
2014/03/11,37750,50,+0.13,-,-,-,-,14032,2.69,0,0.00
2014/03/12,37400,-350,-0.93,-,-,-,-,14032,2.67,0,0.00
2014/03/13,38050,650,+1.74,-,-,-,-,14032,2.71,0,0.00
2014/03/14,37950,-100,-0.26,-,-,-,-,14032,2.70,0,0.00
2014/03/17,36700,-1250,-3.29,-,-,-,-,14032,2.62,0,0.00
2014/03/18,36350,-350,-0.95,-,-,-,-,14032,2.59,0,0.00
2014/03/19,37000,650,+1.79,-,-,-,-,14032,2.64,0,0.00
2014/03/20,36950,-50,-0.14,-,-,-,-,14032,2.63,0,0.00
2014/03/21,38700,1750,+4.74,-,-,-,-,14032,2.76,0,0.00
2014/03/24,38150,-550,-1.42,-,-,-,-,14032,2.72,0,0.00
2014/03/25,37600,-550,-1.44,-,-,-,-,14032,2.68,0,0.00
2014/03/26,38400,800,+2.13,-,-,-,-,14032,2.74,0,0.00
2014/03/27,37700,-700,-1.82,-,-,-,-,14032,2.69,0,0.00
2014/03/28,37050,-650,-1.72,-,-,-,-,14032,2.64,0,0.00
2014/03/31,36000,-1050,-2.83,-,-,-,-,14032,2.57,0,0.00
2014/04/01,37000,1000,+2.78,-,-,-,-,14032,2.64,0,0.00
2014/04/02,37050,50,+0.14,-,-,-,-,14032,2.64,0,0.00
2014/04/03,36550,-500,-1.35,-,-,-,-,14032,2.60,0,0.00
2014/04/04,37250,700,+1.92,-,-,-,-,14032,2.65,0,0.00
2014/04/07,37000,-250,-0.67,-,-,-,-,14032,2.64,0,0.00
2014/04/08,36750,-250,-0.68,-,-,-,-,14032,2.62,0,0.00
2014/04/09,37650,900,+2.45,-,-,-,-,14032,2.68,0,0.00
2014/04/10,37700,50,+0.13,-,-,-,-,14032,2.69,0,0.00
2014/04/11,37050,-650,-1.72,-,-,-,-,14032,2.64,0,0.00
2014/04/14,36900,-150,-0.40,-,-,-,-,14032,2.63,0,0.00
2014/04/15,37400,500,+1.36,-,-,-,-,14032,2.67,0,0.00
2014/04/16,37650,250,+0.67,-,-,-,-,14032,2.68,0,0.00
2014/04/17,38050,400,+1.06,-,-,-,-,14032,2.71,0,0.00
2014/04/18,39200,1150,+3.02,-,-,-,-,14032,2.79,0,0.00
2014/04/21,39400,200,+0.51,-,-,-,-,14032,2.81,0,0.00
2014/04/22,39800,400,+1.02,-,-,-,-,14032,2.84,0,0.00
2014/04/23,40750,950,+2.39,-,-,-,-,14032,2.90,0,0.00
2014/04/24,40900,150,+0.37,-,-,-,-,14032,2.91,0,0.00
2014/04/25,40750,-150,-0.37,-,-,-,-,14032,2.90,0,0.00
2014/04/28,40500,-250,-0.61,-,-,-,-,14032,2.89,0,0.00
2014/04/29,39700,-800,-1.98,-,-,-,-,14032,2.83,0,0.00
2014/04/30,40150,450,+1.13,4045,9.93,-,-,18399,2.18,0,0.00
2014/05/02,40650,500,+1.25,4045,10.05,-,-,18399,2.21,0,0.00
2014/05/07,41100,450,+1.11,4045,10.16,-,-,18399,2.23,0,0.00
2014/05/08,40650,-450,-1.09,4045,10.05,-,-,18399,2.21,0,0.00
2014/05/09,41150,500,+1.23,4045,10.17,-,-,18399,2.24,0,0.00
2014/05/12,41400,250,+0.61,4045,10.23,-,-,18399,2.25,0,0.00
2014/05/13,41700,300,+0.72,4045,10.31,-,-,18399,2.27,0,0.00
2014/05/14,42100,400,+0.96,4045,10.41,-,-,18399,2.29,0,0.00
2014/05/15,42000,-100,-0.24,4045,10.38,-,-,18399,2.28,0,0.00
2014/05/16,42250,250,+0.60,4045,10.44,-,-,18399,2.30,0,0.00
2014/05/19,40900,-1350,-3.20,4045,10.11,-,-,18399,2.22,0,0.00
2014/05/20,42000,1100,+2.69,4045,10.38,-,-,18399,2.28,0,0.00
2014/05/21,41900,-100,-0.24,4045,10.36,-,-,18399,2.28,0,0.00
2014/05/22,42400,500,+1.19,4045,10.48,-,-,18399,2.30,0,0.00
2014/05/23,42350,-50,-0.12,4045,10.47,-,-,18399,2.30,0,0.00
2014/05/26,42400,50,+0.12,4045,10.48,-,-,18399,2.30,0,0.00
2014/05/27,42200,-200,-0.47,4045,10.43,-,-,18399,2.29,0,0.00
2014/05/28,42600,400,+0.95,4045,10.53,-,-,18399,2.32,0,0.00
2014/05/29,42600,0,0.00,4045,10.53,-,-,18399,2.32,0,0.00
2014/05/30,44150,1550,+3.64,4045,10.91,-,-,18399,2.40,0,0.00
2014/06/02,44700,550,+1.25,4045,11.05,-,-,18399,2.43,0,0.00
2014/06/03,44650,-50,-0.11,4045,11.04,-,-,18399,2.43,0,0.00
2014/06/05,46450,1800,+4.03,4045,11.48,-,-,18399,2.52,0,0.00
2014/06/09,46100,-350,-0.75,4045,11.40,-,-,18399,2.51,0,0.00
2014/06/10,47350,1250,+2.71,4045,11.71,-,-,18399,2.57,0,0.00
2014/06/11,47000,-350,-0.74,4045,11.62,-,-,18399,2.55,0,0.00
2014/06/12,47400,400,+0.85,4045,11.72,-,-,18399,2.58,0,0.00
2014/06/13,47050,-350,-0.74,4045,11.63,-,-,18399,2.56,0,0.00
2014/06/16,48350,1300,+2.76,4045,11.95,-,-,18399,2.63,0,0.00
2014/06/17,49350,1000,+2.07,4045,12.20,-,-,18399,2.68,0,0.00
2014/06/18,49000,-350,-0.71,4045,12.11,-,-,18399,2.66,0,0.00
2014/06/19,50700,1700,+3.47,4045,12.53,-,-,18399,2.76,0,0.00
2014/06/20,49400,-1300,-2.56,4045,12.21,-,-,18399,2.68,0,0.00
2014/06/23,48900,-500,-1.01,4045,12.09,-,-,18399,2.66,0,0.00
2014/06/24,50300,1400,+2.86,4045,12.44,-,-,18399,2.73,0,0.00
2014/06/25,49800,-500,-0.99,4045,12.31,-,-,18399,2.71,0,0.00
2014/06/26,48750,-1050,-2.11,4045,12.05,-,-,18399,2.65,0,0.00
2014/06/27,47500,-1250,-2.56,4045,11.74,-,-,18399,2.58,0,0.00
2014/06/30,48550,1050,+2.21,4045,12.00,-,-,18399,2.64,0,0.00
2014/07/01,48450,-100,-0.21,4045,11.98,-,-,18399,2.63,0,0.00
2014/07/02,50400,1950,+4.02,4045,12.46,-,-,18399,2.74,0,0.00
2014/07/03,50900,500,+0.99,4045,12.58,-,-,18399,2.77,0,0.00
2014/07/04,50400,-500,-0.98,4045,12.46,-,-,18399,2.74,0,0.00
2014/07/07,51600,1200,+2.38,4045,12.76,-,-,18399,2.80,0,0.00
2014/07/08,51900,300,+0.58,4045,12.83,-,-,18399,2.82,0,0.00
2014/07/09,49750,-2150,-4.14,4045,12.30,-,-,18399,2.70,0,0.00
2014/07/10,49300,-450,-0.90,4045,12.19,-,-,18399,2.68,0,0.00
2014/07/11,48950,-350,-0.71,4045,12.10,-,-,18399,2.66,0,0.00
2014/07/14,49350,400,+0.82,4045,12.20,-,-,18399,2.68,0,0.00
2014/07/15,49750,400,+0.81,4045,12.30,-,-,18399,2.70,0,0.00
2014/07/16,51000,1250,+2.51,4045,12.61,-,-,18399,2.77,0,0.00
2014/07/17,51500,500,+0.98,4045,12.73,-,-,18399,2.80,0,0.00
2014/07/18,50800,-700,-1.36,4045,12.56,-,-,18399,2.76,0,0.00
2014/07/21,50500,-300,-0.59,4045,12.48,-,-,18399,2.74,0,0.00
2014/07/22,51000,500,+0.99,4045,12.61,-,-,18399,2.77,0,0.00
2014/07/23,49450,-1550,-3.04,4045,12.22,-,-,18399,2.69,0,0.00
2014/07/24,47550,-1900,-3.84,4045,11.76,-,-,18399,2.58,0,0.00
2014/07/25,47500,-50,-0.11,4045,11.74,-,-,18399,2.58,0,0.00
2014/07/28,46550,-950,-2.00,4045,11.51,-,-,18399,2.53,0,0.00
2014/07/29,44400,-2150,-4.62,4045,10.98,-,-,18399,2.41,0,0.00
2014/07/30,46750,2350,+5.29,4045,11.56,-,-,18399,2.54,0,0.00
2014/07/31,45450,-1300,-2.78,4045,11.24,-,-,18399,2.47,0,0.00
2014/08/01,46300,850,+1.87,4045,11.45,-,-,18399,2.52,0,0.00
2014/08/04,47850,1550,+3.35,4045,11.83,-,-,18399,2.60,0,0.00
2014/08/05,47300,-550,-1.15,4045,11.69,-,-,18399,2.57,0,0.00
2014/08/06,45400,-1900,-4.02,4045,11.22,-,-,18399,2.47,0,0.00
2014/08/07,45200,-200,-0.44,4045,11.17,-,-,18399,2.46,0,0.00
2014/08/08,44200,-1000,-2.21,4045,10.93,-,-,18399,2.40,0,0.00
2014/08/11,45000,800,+1.81,4045,11.12,-,-,18399,2.45,0,0.00
2014/08/12,43250,-1750,-3.89,4045,10.69,-,-,18399,2.35,0,0.00
2014/08/13,43900,650,+1.50,4045,10.85,-,-,18399,2.39,0,0.00
2014/08/14,43550,-350,-0.80,4045,10.77,-,-,18399,2.37,0,0.00
2014/08/18,43850,300,+0.69,4045,10.84,-,-,18399,2.38,0,0.00
2014/08/19,43800,-50,-0.11,4045,10.83,-,-,18399,2.38,0,0.00
2014/08/20,45350,1550,+3.54,4045,11.21,-,-,18399,2.46,0,0.00
2014/08/21,45850,500,+1.10,4045,11.33,-,-,18399,2.49,0,0.00
2014/08/22,45950,100,+0.22,4045,11.36,-,-,18399,2.50,0,0.00
2014/08/25,47150,1200,+2.61,4045,11.66,-,-,18399,2.56,0,0.00
2014/08/26,46700,-450,-0.95,4045,11.55,-,-,18399,2.54,0,0.00
2014/08/27,45350,-1350,-2.89,4045,11.21,-,-,18399,2.46,0,0.00
2014/08/28,45600,250,+0.55,4045,11.27,-,-,18399,2.48,0,0.00
2014/08/29,45400,-200,-0.44,4045,11.22,-,-,18399,2.47,0,0.00
2014/09/01,44500,-900,-1.98,4045,11.00,-,-,18399,2.42,0,0.00
2014/09/02,44050,-450,-1.01,4045,10.89,-,-,18399,2.39,0,0.00
2014/09/03,41800,-2250,-5.11,4045,10.33,-,-,18399,2.27,0,0.00
2014/09/04,42050,250,+0.60,4045,10.40,-,-,18399,2.29,0,0.00
2014/09/05,43200,1150,+2.73,4045,10.68,-,-,18399,2.35,0,0.00
2014/09/11,43850,650,+1.50,4045,10.84,-,-,18399,2.38,0,0.00
2014/09/12,44500,650,+1.48,4045,11.00,-,-,18399,2.42,0,0.00
2014/09/15,42800,-1700,-3.82,4045,10.58,-,-,18399,2.33,0,0.00
2014/09/16,43500,700,+1.64,4045,10.75,-,-,18399,2.36,0,0.00
2014/09/17,44100,600,+1.38,4045,10.90,-,-,18399,2.40,0,0.00
2014/09/18,42900,-1200,-2.72,4045,10.61,-,-,18399,2.33,0,0.00
2014/09/19,44000,1100,+2.56,4045,10.88,-,-,18399,2.39,0,0.00
2014/09/22,43250,-750,-1.70,4045,10.69,-,-,18399,2.35,0,0.00
2014/09/23,42500,-750,-1.73,4045,10.51,-,-,18399,2.31,0,0.00
2014/09/24,44200,1700,+4.00,4045,10.93,-,-,18399,2.40,0,0.00
2014/09/25,44600,400,+0.90,4045,11.03,-,-,18399,2.42,0,0.00
2014/09/26,45600,1000,+2.24,4045,11.27,-,-,18399,2.48,0,0.00
2014/09/29,47150,1550,+3.40,4045,11.66,-,-,18399,2.56,0,0.00
2014/09/30,46750,-400,-0.85,4045,11.56,-,-,18399,2.54,0,0.00
2014/10/01,46400,-350,-0.75,4045,11.47,-,-,18399,2.52,0,0.00
2014/10/02,47100,700,+1.51,4045,11.64,-,-,18399,2.56,0,0.00
2014/10/06,44700,-2400,-5.10,4045,11.05,-,-,18399,2.43,0,0.00
2014/10/07,44700,0,0.00,4045,11.05,-,-,18399,2.43,0,0.00
2014/10/08,44150,-550,-1.23,4045,10.91,-,-,18399,2.40,0,0.00
2014/10/10,42200,-1950,-4.42,4045,10.43,-,-,18399,2.29,0,0.00
2014/10/13,41700,-500,-1.18,4045,10.31,-,-,18399,2.27,0,0.00
2014/10/14,43300,1600,+3.84,4045,10.70,-,-,18399,2.35,0,0.00
2014/10/15,43400,100,+0.23,4045,10.73,-,-,18399,2.36,0,0.00
2014/10/16,45100,1700,+3.92,4045,11.15,-,-,18399,2.45,0,0.00
2014/10/17,44100,-1000,-2.22,4045,10.90,-,-,18399,2.40,0,0.00
2014/10/20,44900,800,+1.81,4045,11.10,-,-,18399,2.44,0,0.00
2014/10/21,45250,350,+0.78,4045,11.19,-,-,18399,2.46,0,0.00
2014/10/22,46300,1050,+2.32,4045,11.45,-,-,18399,2.52,0,0.00
2014/10/23,45500,-800,-1.73,4045,11.25,-,-,18399,2.47,0,0.00
2014/10/24,45300,-200,-0.44,4045,11.20,-,-,18399,2.46,0,0.00
2014/10/27,44600,-700,-1.55,4045,11.03,-,-,18399,2.42,0,0.00
2014/10/28,46000,1400,+3.14,4045,11.37,-,-,18399,2.50,0,0.00
2014/10/29,47000,1000,+2.17,4045,11.62,-,-,18399,2.55,0,0.00
2014/10/30,47200,200,+0.43,4045,11.67,-,-,18399,2.57,0,0.00
2014/10/31,47450,250,+0.53,4045,11.73,-,-,18399,2.58,0,0.00
2014/11/03,48050,600,+1.26,4045,11.88,-,-,18399,2.61,0,0.00
2014/11/04,47450,-600,-1.25,4045,11.73,-,-,18399,2.58,0,0.00
2014/11/05,47200,-250,-0.53,4045,11.67,-,-,18399,2.57,0,0.00
2014/11/06,47950,750,+1.59,4045,11.85,-,-,18399,2.61,0,0.00
2014/11/07,47400,-550,-1.15,4045,11.72,-,-,18399,2.58,0,0.00
2014/11/10,47550,150,+0.32,4045,11.76,-,-,18399,2.58,0,0.00
2014/11/11,47600,50,+0.11,4045,11.77,-,-,18399,2.59,0,0.00
2014/11/12,48100,500,+1.05,4045,11.89,-,-,18399,2.61,0,0.00
2014/11/13,48100,0,0.00,4045,11.89,-,-,18399,2.61,0,0.00
2014/11/14,49200,1100,+2.29,4045,12.16,-,-,18399,2.67,0,0.00
2014/11/17,45900,-3300,-6.71,4045,11.35,-,-,18399,2.49,0,0.00
2014/11/18,46400,500,+1.09,4045,11.47,-,-,18399,2.52,0,0.00
2014/11/19,47150,750,+1.62,4045,11.66,-,-,18399,2.56,0,0.00
2014/11/20,47250,100,+0.21,4045,11.68,-,-,18399,2.57,0,0.00
2014/11/21,46450,-800,-1.69,4045,11.48,-,-,18399,2.52,0,0.00
2014/11/24,47100,650,+1.40,4045,11.64,-,-,18399,2.56,0,0.00
2014/11/25,48500,1400,+2.97,4045,11.99,-,-,18399,2.64,0,0.00
2014/11/26,48600,100,+0.21,4045,12.01,-,-,18399,2.64,0,0.00
2014/11/27,47850,-750,-1.54,4045,11.83,-,-,18399,2.60,0,0.00
2014/11/28,48050,200,+0.42,4045,11.88,-,-,18399,2.61,0,0.00
2014/12/01,47950,-100,-0.21,4045,11.85,-,-,18399,2.61,0,0.00
2014/12/02,47700,-250,-0.52,4045,11.79,-,-,18399,2.59,0,0.00
2014/12/03,48050,350,+0.73,4045,11.88,-,-,18399,2.61,0,0.00
2014/12/04,48700,650,+1.35,4045,12.04,-,-,18399,2.65,0,0.00
2014/12/05,48350,-350,-0.72,4045,11.95,-,-,18399,2.63,0,0.00
2014/12/08,48650,300,+0.62,4045,12.03,-,-,18399,2.64,0,0.00
2014/12/09,49450,800,+1.64,4045,12.22,-,-,18399,2.69,0,0.00
2014/12/10,48850,-600,-1.21,4045,12.08,-,-,18399,2.66,0,0.00
2014/12/11,47200,-1650,-3.38,4045,11.67,-,-,18399,2.57,0,0.00
2014/12/12,47550,350,+0.74,4045,11.76,-,-,18399,2.58,0,0.00
2014/12/15,47650,100,+0.21,4045,11.78,-,-,18399,2.59,0,0.00
2014/12/16,46500,-1150,-2.41,4045,11.50,-,-,18399,2.53,0,0.00
2014/12/17,46700,200,+0.43,4045,11.55,-,-,18399,2.54,0,0.00
2014/12/18,47700,1000,+2.14,4045,11.79,-,-,18399,2.59,0,0.00
2014/12/19,48500,800,+1.68,4045,11.99,-,-,18399,2.64,0,0.00
