Date,Close,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
2014/01/02,60000,-700,-1.15,4578,13.11,-,-,40811,1.47,500,0.83
2014/01/03,59000,-1000,-1.67,4578,12.89,-,-,40811,1.45,500,0.85
2014/01/06,57300,-1700,-2.88,4578,12.52,-,-,40811,1.40,500,0.87
2014/01/07,57500,200,+0.35,4578,12.56,-,-,40811,1.41,500,0.87
2014/01/08,59100,1600,+2.78,4578,12.91,-,-,40811,1.45,500,0.85
2014/01/09,61000,1900,+3.21,4578,13.32,-,-,40811,1.49,500,0.82
2014/01/10,61500,500,+0.82,4578,13.43,-,-,40811,1.51,500,0.81
2014/01/13,60800,-700,-1.14,4578,13.28,-,-,40811,1.49,500,0.82
2014/01/14,57700,-3100,-5.10,4578,12.60,-,-,40811,1.41,500,0.87
2014/01/15,57400,-300,-0.52,4578,12.54,-,-,40811,1.41,500,0.87
2014/01/16,58700,1300,+2.26,4578,12.82,-,-,40811,1.44,500,0.85
2014/01/17,59100,400,+0.68,4578,12.91,-,-,40811,1.45,500,0.85
2014/01/20,59000,-100,-0.17,4578,12.89,-,-,40811,1.45,500,0.85
2014/01/21,59500,500,+0.85,4578,13.00,-,-,40811,1.46,500,0.84
2014/01/22,59300,-200,-0.34,4578,12.95,-,-,40811,1.45,500,0.84
2014/01/23,58600,-700,-1.18,4578,12.80,-,-,40811,1.44,500,0.85
2014/01/24,58400,-200,-0.34,4578,12.76,-,-,40811,1.43,500,0.86
2014/01/27,57800,-600,-1.03,4578,12.63,-,-,40811,1.42,500,0.87
2014/01/28,57100,-700,-1.21,4578,12.47,-,-,40811,1.40,500,0.88
2014/01/29,58400,1300,+2.28,4578,12.76,-,-,40811,1.43,500,0.86
2014/02/03,58100,-300,-0.51,4578,12.69,-,-,40811,1.42,500,0.86
2014/02/04,57100,-1000,-1.72,4578,12.47,-,-,40811,1.40,500,0.88
2014/02/05,57500,400,+0.70,4578,12.56,-,-,40811,1.41,500,0.87
2014/02/06,57500,0,0.00,4578,12.56,-,-,40811,1.41,500,0.87
2014/02/07,57200,-300,-0.52,4578,12.49,-,-,40811,1.40,500,0.87
2014/02/10,57900,700,+1.22,4578,12.65,-,-,40811,1.42,500,0.86
