Date,Close,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,회전율,환율,코스피,나스닥
2014-01-02,35550,-1250,-3.4,-,-,14032,2.53,0,0.0,0.0063,1050.75,1967.19,-0.8
2014-01-03,36300,750,2.11,-,-,14032,2.59,0,0.0,0.0054,1049.5999755859375,1946.14,-0.27
2014-01-06,37650,1350,3.72,-,-,14032,2.68,0,0.0,0.0077,1053.800048828125,1953.28,-0.44
2014-01-07,37800,150,0.4,-,-,14032,2.69,0,0.0,0.0047,1065.4000244140625,1959.44,0.96
2014-01-08,39000,1200,3.17,-,-,14032,2.78,0,0.0,0.0092,1068.5,1958.96,0.3
2014-01-09,38850,-150,-0.38,-,-,14032,2.77,0,0.0,0.0063,1064.699951171875,1946.11,-0.23
2014-01-10,38500,-350,-0.9,-,-,14032,2.74,0,0.0,0.0066,1062.0,1938.54,0.44
2014-01-13,38150,-350,-0.91,-,-,14032,2.72,0,0.0,0.0031,1060.4000244140625,1948.92,-1.47
2014-01-14,38400,250,0.66,-,-,14032,2.74,0,0.0,0.0033,1058.5,1946.07,1.69
2014-01-15,36650,-1750,-4.56,-,-,14032,2.61,0,0.0,0.0159,1058.300048828125,1953.28,0.76
2014-01-16,36550,-100,-0.27,-,-,14032,2.6,0,0.0,0.0071,1063.0,1957.32,0.09
2014-01-17,36000,-550,-1.5,-,-,14032,2.57,0,0.0,0.0048,1062.4000244140625,1944.48,-0.5
2014-01-21,36400,-450,-1.22,-,-,14032,2.59,0,0.0,0.0035,1062.5,1963.89,0.67
2014-01-22,36300,-100,-0.27,-,-,14032,2.59,0,0.0,0.0125,1064.199951171875,1970.42,0.41
2014-01-23,35400,-900,-2.48,-,-,14032,2.52,0,0.0,0.0076,1066.5,1947.59,-0.57
2014-01-24,35900,500,1.41,-,-,14032,2.56,0,0.0,0.0066,1072.699951171875,1940.56,-2.15
2014-01-27,35250,-650,-1.81,-,-,14032,2.51,0,0.0,0.0054,1078.4000244140625,1910.34,-1.08
2014-01-28,36800,1550,4.4,-,-,14032,2.62,0,0.0,0.0072,1082.5,1916.93,0.35
2014-01-29,37850,1050,2.85,-,-,14032,2.7,0,0.0,0.0081,1076.9000244140625,1941.15,-1.14
2014-02-03,37950,100,0.26,-,-,14032,2.7,0,0.0,0.0046,1080.199951171875,1919.96,-2.61
2014-02-04,36500,-1450,-3.82,-,-,14032,2.6,0,0.0,0.0072,1083.5999755859375,1886.85,0.86
2014-02-05,36650,150,0.41,-,-,14032,2.61,0,0.0,0.0052,1083.0,1891.32,-0.5
2014-02-06,38600,1950,5.32,-,-,14032,2.75,0,0.0,0.0092,1076.9000244140625,1907.89,1.14
2014-02-07,39300,700,1.81,-,-,14032,2.8,0,0.0,0.0088,1077.699951171875,1922.5,1.69
2014-02-10,39000,-300,-0.76,-,-,14032,2.78,0,0.0,0.0039,1075.300048828125,1923.3,0.54
2014-02-11,39000,0,0.0,-,-,14032,2.78,0,0.0,0.0027,1071.9000244140625,1932.06,1.03
2014-02-12,39850,850,2.18,-,-,14032,2.84,0,0.0,0.0047,1069.9000244140625,1935.84,0.24
2014-02-13,39900,50,0.13,-,-,14032,2.84,0,0.0,0.0048,1061.4000244140625,1926.96,0.94
2014-02-14,39050,-850,-2.13,-,-,14032,2.78,0,0.0,0.0044,1065.300048828125,1940.28,0.08
2014-02-18,38800,100,0.26,-,-,14032,2.77,0,0.0,0.0025,1059.4000244140625,1946.91,0.68
2014-02-19,39150,350,0.9,-,-,14032,2.79,0,0.0,0.0039,1064.4000244140625,1942.93,-0.82
2014-02-20,38800,-350,-0.89,-,-,14032,2.77,0,0.0,0.0037,1065.300048828125,1930.57,0.7
2014-02-21,39300,500,1.29,-,-,14032,2.8,0,0.0,0.0045,1071.0,1957.83,-0.1
2014-02-24,38850,-450,-1.15,-,-,14032,2.77,0,0.0,0.0026,1072.0999755859375,1949.05,0.69
2014-02-25,38650,-200,-0.51,-,-,14032,2.75,0,0.0,0.0076,1073.300048828125,1964.86,-0.13
2014-02-26,39250,600,1.55,-,-,14032,2.8,0,0.0,0.0047,1073.0999755859375,1970.77,0.1
2014-02-27,39500,250,0.64,-,-,14032,2.81,0,0.0,0.0036,1065.0999755859375,1978.43,0.63
2014-02-28,38750,-750,-1.9,-,-,14032,2.76,0,0.0,0.005,1068.699951171875,1979.99,-0.25
2014-03-03,38950,200,0.52,-,-,14032,2.78,0,0.0,0.0033,1067.300048828125,1964.69,-0.72
2014-03-04,38950,0,0.0,-,-,14032,2.78,0,0.0,0.0023,1069.0,1954.11,1.75
2014-03-05,39450,500,1.28,-,-,14032,2.81,0,0.0,0.0032,1070.0999755859375,1971.24,0.14
2014-03-06,39100,-350,-0.89,-,-,14032,2.79,0,0.0,0.0027,1070.199951171875,1975.62,-0.13
2014-03-07,38550,-550,-1.41,-,-,14032,2.75,0,0.0,0.0047,1063.5999755859375,1974.68,-0.37
2014-03-10,37700,-850,-2.2,-,-,14032,2.69,0,0.0,0.0046,1064.199951171875,1954.42,-0.04
2014-03-11,37750,50,0.13,-,-,14032,2.69,0,0.0,0.0036,1066.0999755859375,1963.87,-0.63
2014-03-12,37400,-350,-0.93,-,-,14032,2.67,0,0.0,0.0044,1064.780029296875,1932.54,0.37
2014-03-13,38050,650,1.74,-,-,14032,2.71,0,0.0,0.004,1067.030029296875,1934.38,-1.46
2014-03-14,37950,-100,-0.26,-,-,14032,2.7,0,0.0,0.0057,1067.9000244140625,1919.9,-0.35
2014-03-17,36700,-1250,-3.29,-,-,14032,2.62,0,0.0,0.0057,1071.9300537109375,1927.53,0.81
2014-03-18,36350,-350,-0.95,-,-,14032,2.59,0,0.0,0.0057,1066.9000244140625,1940.21,1.25
2014-03-19,37000,650,1.79,-,-,14032,2.64,0,0.0,0.0045,1068.4000244140625,1937.68,-0.59
2014-03-20,36950,-50,-0.14,-,-,14032,2.63,0,0.0,0.0028,1069.5999755859375,1919.52,0.27
2014-03-21,38700,1750,4.74,-,-,14032,2.76,0,0.0,0.0057,1076.0,1934.94,-0.98
2014-03-24,38150,-550,-1.42,-,-,14032,2.72,0,0.0,0.0041,1079.3800048828125,1945.55,-1.18
2014-03-25,37600,-550,-1.44,-,-,14032,2.68,0,0.0,0.0035,1076.800048828125,1941.25,0.19
2014-03-26,38400,800,2.13,-,-,14032,2.74,0,0.0,0.0035,1078.300048828125,1964.31,-1.43
