Date,Close,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,회전율,환율,코스피,나스닥
2014-01-02,1309000,-63000,-4.59,154020,8.5,688251,1.9,8000,0.61,0.0042,1050.75,1967.19,-0.8
2014-01-03,1296000,-13000,-0.99,154020,8.41,688251,1.88,8000,0.62,0.0036,1049.5999755859375,1946.14,-0.27
2014-01-06,1307000,11000,0.85,154020,8.49,688251,1.9,8000,0.61,0.0027,1053.800048828125,1953.28,-0.44
2014-01-07,1304000,-3000,-0.23,154020,8.47,688251,1.89,8000,0.61,0.0027,1065.4000244140625,1959.44,0.96
2014-01-08,1291000,-13000,-1.0,154020,8.38,688251,1.88,8000,0.62,0.0028,1068.5,1958.96,0.3
2014-01-09,1275000,-16000,-1.24,154020,8.28,688251,1.85,8000,0.63,0.0029,1064.699951171875,1946.11,-0.23
2014-01-10,1272000,-3000,-0.24,154020,8.26,688251,1.85,8000,0.63,0.0025,1062.0,1938.54,0.44
2014-01-13,1295000,23000,1.81,154020,8.41,688251,1.88,8000,0.62,0.0022,1060.4000244140625,1948.92,-1.47
2014-01-14,1313000,18000,1.39,154020,8.52,688251,1.91,8000,0.61,0.002,1058.5,1946.07,1.69
2014-01-15,1299000,-14000,-1.07,154020,8.43,688251,1.89,8000,0.62,0.0016,1058.300048828125,1953.28,0.76
2014-01-16,1301000,2000,0.15,154020,8.45,688251,1.89,8000,0.61,0.0013,1063.0,1957.32,0.09
2014-01-17,1292000,-9000,-0.69,154020,8.39,688251,1.88,8000,0.62,0.0017,1062.4000244140625,1944.48,-0.5
2014-01-21,1324000,8000,0.61,154020,8.6,688251,1.92,8000,0.6,0.001,1062.5,1963.89,0.67
2014-01-22,1328000,4000,0.3,154020,8.62,688251,1.93,8000,0.6,0.0015,1064.199951171875,1970.42,0.41
2014-01-23,1299000,-29000,-2.18,154020,8.43,688251,1.89,8000,0.62,0.0014,1066.5,1947.59,-0.57
2014-01-24,1307000,8000,0.62,154020,8.49,688251,1.9,8000,0.61,0.0019,1072.699951171875,1940.56,-2.15
2014-01-27,1292000,-15000,-1.15,154020,8.39,688251,1.88,8000,0.62,0.0018,1078.4000244140625,1910.34,-1.08
2014-01-28,1283000,-9000,-0.7,154020,8.33,688251,1.86,8000,0.62,0.0016,1082.5,1916.93,0.35
2014-01-29,1280000,-3000,-0.23,154020,8.31,688251,1.86,8000,0.63,0.0026,1076.9000244140625,1941.15,-1.14
2014-02-03,1272000,-8000,-0.63,154020,8.26,688251,1.85,8000,0.63,0.0022,1080.199951171875,1919.96,-2.61
2014-02-04,1249000,-23000,-1.81,154020,8.11,688251,1.81,8000,0.64,0.0022,1083.5999755859375,1886.85,0.86
2014-02-05,1237000,-12000,-0.96,154020,8.03,688251,1.8,8000,0.65,0.002,1083.0,1891.32,-0.5
2014-02-06,1259000,22000,1.78,154020,8.17,688251,1.83,8000,0.64,0.0021,1076.9000244140625,1907.89,1.14
2014-02-07,1275000,16000,1.27,154020,8.28,688251,1.85,8000,0.63,0.0014,1077.699951171875,1922.5,1.69
2014-02-10,1277000,2000,0.16,154020,8.29,688251,1.86,8000,0.63,0.0011,1075.300048828125,1923.3,0.54
2014-02-11,1311000,34000,2.66,154020,8.51,688251,1.9,8000,0.61,0.0017,1071.9000244140625,1932.06,1.03
2014-02-12,1307000,-4000,-0.31,154020,8.49,688251,1.9,8000,0.61,0.0014,1069.9000244140625,1935.84,0.24
2014-02-13,1298000,-9000,-0.69,154020,8.43,688251,1.89,8000,0.62,0.0008,1061.4000244140625,1926.96,0.94
2014-02-14,1301000,3000,0.23,154020,8.45,688251,1.89,8000,0.61,0.0008,1065.300048828125,1940.28,0.08
2014-02-18,1295000,10000,0.78,154020,8.41,688251,1.88,8000,0.62,0.0008,1059.4000244140625,1946.91,0.68
2014-02-19,1290000,-5000,-0.39,154020,8.38,688251,1.87,8000,0.62,0.0008,1064.4000244140625,1942.93,-0.82
2014-02-20,1286000,-4000,-0.31,154020,8.35,688251,1.87,8000,0.62,0.0013,1065.300048828125,1930.57,0.7
2014-02-21,1330000,44000,3.42,154020,8.64,688251,1.93,8000,0.6,0.0019,1071.0,1957.83,-0.1
2014-02-24,1328000,-2000,-0.15,154020,8.62,688251,1.93,8000,0.6,0.001,1072.0999755859375,1949.05,0.69
2014-02-25,1334000,6000,0.45,154020,8.66,688251,1.94,8000,0.6,0.0012,1073.300048828125,1964.86,-0.13
2014-02-26,1342000,8000,0.6,154020,8.71,688251,1.95,8000,0.6,0.0018,1073.0999755859375,1970.77,0.1
2014-02-27,1341000,-1000,-0.07,154020,8.71,688251,1.95,8000,0.6,0.0011,1065.0999755859375,1978.43,0.63
2014-02-28,1349000,8000,0.6,154020,8.76,688251,1.96,8000,0.59,0.0019,1068.699951171875,1979.99,-0.25
2014-03-03,1325000,-24000,-1.78,154020,8.6,688251,1.93,8000,0.6,0.0016,1067.300048828125,1964.69,-0.72
2014-03-04,1315000,-10000,-0.75,154020,8.54,688251,1.91,8000,0.61,0.0011,1069.0,1954.11,1.75
2014-03-05,1330000,15000,1.14,154020,8.64,688251,1.93,8000,0.6,0.001,1070.0999755859375,1971.24,0.14
2014-03-06,1326000,-4000,-0.3,154020,8.61,688251,1.93,8000,0.6,0.0012,1070.199951171875,1975.62,-0.13
2014-03-07,1339000,13000,0.98,154020,8.69,688251,1.95,8000,0.6,0.001,1063.5999755859375,1974.68,-0.37
2014-03-10,1320000,-19000,-1.42,154020,8.57,688251,1.92,8000,0.61,0.0012,1064.199951171875,1954.42,-0.04
2014-03-11,1322000,2000,0.15,154020,8.58,688251,1.92,8000,0.61,0.0012,1066.0999755859375,1963.87,-0.63
2014-03-12,1294000,-28000,-2.12,154020,8.4,688251,1.88,8000,0.62,0.0017,1064.780029296875,1932.54,0.37
2014-03-13,1290000,-4000,-0.31,154020,8.38,688251,1.87,8000,0.62,0.0016,1067.030029296875,1934.38,-1.46
2014-03-14,1275000,-15000,-1.16,154020,8.28,688251,1.85,8000,0.63,0.0015,1067.9000244140625,1919.9,-0.35
2014-03-17,1266000,-9000,-0.71,154020,8.22,688251,1.84,8000,0.63,0.0012,1071.9300537109375,1927.53,0.81
2014-03-18,1278000,12000,0.95,154020,8.3,688251,1.86,8000,0.63,0.0015,1066.9000244140625,1940.21,1.25
2014-03-19,1269000,-9000,-0.7,154020,8.24,688251,1.84,8000,0.63,0.001,1068.4000244140625,1937.68,-0.59
2014-03-20,1262000,-7000,-0.55,154020,8.19,688251,1.83,8000,0.63,0.0008,1069.5999755859375,1919.52,0.27
2014-03-21,1273000,11000,0.87,154020,8.27,688251,1.85,8000,0.63,0.0011,1076.0,1934.94,-0.98
2014-03-24,1273000,0,0.0,154020,8.27,688251,1.85,8000,0.63,0.001,1079.3800048828125,1945.55,-1.18
2014-03-25,1247000,-26000,-2.04,154020,8.1,688251,1.81,8000,0.64,0.0018,1076.800048828125,1941.25,0.19
2014-03-26,1285000,38000,3.05,154020,8.34,688251,1.87,8000,0.62,0.0024,1078.300048828125,1964.31,-1.43
2014-03-27,1333000,48000,3.74,154020,8.65,688251,1.94,8000,0.6,0.0028,1076.4300537109375,1977.97,-0.54
2014-03-28,1335000,2000,0.15,154020,8.67,688251,1.94,8000,0.6,0.0014,1068.1800537109375,1981.0,0.11
2014-03-31,1343000,8000,0.6,154020,8.72,688251,1.95,8000,0.6,0.0018,1066.550048828125,1985.61,1.04
2014-04-01,1339000,-4000,-0.3,154020,8.69,688251,1.95,8000,0.6,0.0015,1062.5,1991.98,1.64
