Date,Close,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,회전율,환율,코스피,나스닥
2014-01-02,244500,-4000,-1.61,7830,31.23,45691,5.35,600,0.25,0.0064,1050.75,1967.19,-0.8
2014-01-03,237000,-7500,-3.07,7830,30.27,45691,5.19,600,0.25,0.0083,1049.5999755859375,1946.14,-0.27
2014-01-06,234000,-3000,-1.27,7830,29.89,45691,5.12,600,0.26,0.0103,1053.800048828125,1953.28,-0.44
2014-01-07,237500,3500,1.5,7830,30.33,45691,5.2,600,0.25,0.0061,1065.4000244140625,1959.44,0.96
2014-01-08,224000,-13500,-5.68,7830,28.61,45691,4.9,600,0.27,0.0291,1068.5,1958.96,0.3
2014-01-09,221000,-3000,-1.34,7830,28.22,45691,4.84,600,0.27,0.0174,1064.699951171875,1946.11,-0.23
2014-01-10,223000,2000,0.9,7830,28.48,45691,4.88,600,0.27,0.0333,1062.0,1938.54,0.44
2014-01-13,218000,-5000,-2.24,7830,27.84,45691,4.77,600,0.28,0.0132,1060.4000244140625,1948.92,-1.47
2014-01-14,219500,1500,0.69,7830,28.03,45691,4.8,600,0.27,0.0099,1058.5,1946.07,1.69
2014-01-15,223500,4000,1.82,7830,28.54,45691,4.89,600,0.27,0.0115,1058.300048828125,1953.28,0.76
2014-01-16,228000,4500,2.01,7830,29.12,45691,4.99,600,0.26,0.0132,1063.0,1957.32,0.09
2014-01-17,217000,-11000,-4.82,7830,27.71,45691,4.75,600,0.28,0.0163,1062.4000244140625,1944.48,-0.5
2014-01-21,210500,2500,1.2,7830,26.88,45691,4.61,600,0.29,0.0094,1062.5,1963.89,0.67
2014-01-22,216500,6000,2.85,7830,27.65,45691,4.74,600,0.28,0.0087,1064.199951171875,1970.42,0.41
2014-01-23,213500,-3000,-1.39,7830,27.27,45691,4.67,600,0.28,0.0096,1066.5,1947.59,-0.57
2014-01-24,206500,-7000,-3.28,7830,26.37,45691,4.52,600,0.29,0.0096,1072.699951171875,1940.56,-2.15
2014-01-27,196500,-10000,-4.84,7830,25.1,45691,4.3,600,0.31,0.0145,1078.4000244140625,1910.34,-1.08
2014-01-28,198500,2000,1.02,7830,25.35,45691,4.34,600,0.3,0.02,1082.5,1916.93,0.35
2014-01-29,198500,0,0.0,7830,25.35,45691,4.34,600,0.3,0.0073,1076.9000244140625,1941.15,-1.14
2014-02-03,190000,-8500,-4.28,7830,24.27,45691,4.16,600,0.32,0.0109,1080.199951171875,1919.96,-2.61
2014-02-04,190500,500,0.26,7830,24.33,45691,4.17,600,0.31,0.0125,1083.5999755859375,1886.85,0.86
2014-02-05,197000,6500,3.41,7830,25.16,45691,4.31,600,0.3,0.011,1083.0,1891.32,-0.5
2014-02-06,200000,3000,1.52,7830,25.54,45691,4.38,600,0.3,0.0066,1076.9000244140625,1907.89,1.14
2014-02-07,200000,0,0.0,7830,25.54,45691,4.38,600,0.3,0.0053,1077.699951171875,1922.5,1.69
2014-02-10,204000,4000,2.0,7830,26.05,45691,4.46,600,0.29,0.0083,1075.300048828125,1923.3,0.54
2014-02-11,204000,0,0.0,7830,26.05,45691,4.46,600,0.29,0.0089,1071.9000244140625,1932.06,1.03
2014-02-12,209000,5000,2.45,7830,26.69,45691,4.57,600,0.29,0.0098,1069.9000244140625,1935.84,0.24
2014-02-13,215000,6000,2.87,7830,27.46,45691,4.71,600,0.28,0.0195,1061.4000244140625,1926.96,0.94
2014-02-14,210500,-4500,-2.09,7830,26.88,45691,4.61,600,0.29,0.009,1065.300048828125,1940.28,0.08
2014-02-18,209000,-3000,-1.42,7830,26.69,45691,4.57,600,0.29,0.0039,1059.4000244140625,1946.91,0.68
2014-02-19,208500,-500,-0.24,7830,26.63,45691,4.56,600,0.29,0.0093,1064.4000244140625,1942.93,-0.82
2014-02-20,208000,-500,-0.24,7830,26.56,45691,4.55,600,0.29,0.0069,1065.300048828125,1930.57,0.7
2014-02-21,203000,-5000,-2.4,7830,25.93,45691,4.44,600,0.3,0.0106,1071.0,1957.83,-0.1
2014-02-24,188000,-15000,-7.39,7830,24.01,45691,4.11,600,0.32,0.0314,1072.0999755859375,1949.05,0.69
2014-02-25,193500,5500,2.93,7830,24.71,45691,4.23,600,0.31,0.0171,1073.300048828125,1964.86,-0.13
2014-02-26,192500,-1000,-0.52,7830,24.58,45691,4.21,600,0.31,0.0086,1073.0999755859375,1970.77,0.1
2014-02-27,196500,4000,2.08,7830,25.1,45691,4.3,600,0.31,0.0089,1065.0999755859375,1978.43,0.63
2014-02-28,191000,-5500,-2.8,7830,24.39,45691,4.18,600,0.31,0.0111,1068.699951171875,1979.99,-0.25
2014-03-03,194000,3000,1.57,7830,24.78,45691,4.25,600,0.31,0.0096,1067.300048828125,1964.69,-0.72
2014-03-04,197000,3000,1.55,7830,25.16,45691,4.31,600,0.3,0.007,1069.0,1954.11,1.75
2014-03-05,201000,4000,2.03,7830,25.67,45691,4.4,600,0.3,0.0139,1070.0999755859375,1971.24,0.14
2014-03-06,209500,8500,4.23,7830,26.76,45691,4.59,600,0.29,0.0176,1070.199951171875,1975.62,-0.13
2014-03-07,210500,1000,0.48,7830,26.88,45691,4.61,600,0.29,0.0071,1063.5999755859375,1974.68,-0.37
2014-03-10,204500,-6000,-2.85,7830,26.12,45691,4.48,600,0.29,0.0103,1064.199951171875,1954.42,-0.04
2014-03-11,203000,-1500,-0.73,7830,25.93,45691,4.44,600,0.3,0.0056,1066.0999755859375,1963.87,-0.63
2014-03-12,198000,-5000,-2.46,7830,25.29,45691,4.33,600,0.3,0.0088,1064.780029296875,1932.54,0.37
2014-03-13,215000,17000,8.59,7830,27.46,45691,4.71,600,0.28,0.0167,1067.030029296875,1934.38,-1.46
2014-03-14,215000,0,0.0,7830,27.46,45691,4.71,600,0.28,0.0116,1067.9000244140625,1919.9,-0.35
2014-03-17,222500,7500,3.49,7830,28.42,45691,4.87,600,0.27,0.0145,1071.9300537109375,1927.53,0.81
2014-03-18,221000,-1500,-0.67,7830,28.22,45691,4.84,600,0.27,0.011,1066.9000244140625,1940.21,1.25
2014-03-19,223000,2000,0.9,7830,28.48,45691,4.88,600,0.27,0.0129,1068.4000244140625,1937.68,-0.59
2014-03-20,222000,-1000,-0.45,7830,28.35,45691,4.86,600,0.27,0.0076,1069.5999755859375,1919.52,0.27
2014-03-21,223000,1000,0.45,7830,28.48,45691,4.88,600,0.27,0.0045,1076.0,1934.94,-0.98
2014-03-24,227500,4500,2.02,7830,29.05,45691,4.98,600,0.26,0.0064,1079.3800048828125,1945.55,-1.18
2014-03-25,222000,-5500,-2.42,7830,28.35,45691,4.86,600,0.27,0.0073,1076.800048828125,1941.25,0.19
2014-03-26,219000,-3000,-1.35,7830,27.97,45691,4.79,600,0.27,0.0081,1078.300048828125,1964.31,-1.43
2014-03-27,222500,3500,1.6,7830,28.42,45691,4.87,600,0.27,0.0079,1076.4300537109375,1977.97,-0.54
2014-03-28,220000,-2500,-1.12,7830,28.1,45691,4.81,600,0.27,0.0052,1068.1800537109375,1981.0,0.11
2014-03-31,218000,-2000,-0.91,7830,27.84,45691,4.77,600,0.28,0.0059,1066.550048828125,1985.61,1.04
