Date,Close,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,회전율,환율,코스피,나스닥
2014-01-02,60000,-700,-1.15,4578,13.11,40811,1.47,500,0.83,0.0031,1050.75,1967.19,-0.8
2014-01-03,59000,-1000,-1.67,4578,12.89,40811,1.45,500,0.85,0.003,1049.5999755859375,1946.14,-0.27
2014-01-06,57300,-1700,-2.88,4578,12.52,40811,1.4,500,0.87,0.0051,1053.800048828125,1953.28,-0.44
2014-01-07,57500,200,0.35,4578,12.56,40811,1.41,500,0.87,0.0028,1065.4000244140625,1959.44,0.96
2014-01-08,59100,1600,2.78,4578,12.91,40811,1.45,500,0.85,0.0068,1068.5,1958.96,0.3
2014-01-09,61000,1900,3.21,4578,13.32,40811,1.49,500,0.82,0.0091,1064.699951171875,1946.11,-0.23
2014-01-10,61500,500,0.82,4578,13.43,40811,1.51,500,0.81,0.0038,1062.0,1938.54,0.44
2014-01-13,60800,-700,-1.14,4578,13.28,40811,1.49,500,0.82,0.0118,1060.4000244140625,1948.92,-1.47
2014-01-14,57700,-3100,-5.1,4578,12.6,40811,1.41,500,0.87,0.0118,1058.5,1946.07,1.69
2014-01-15,57400,-300,-0.52,4578,12.54,40811,1.41,500,0.87,0.0067,1058.300048828125,1953.28,0.76
2014-01-16,58700,1300,2.26,4578,12.82,40811,1.44,500,0.85,0.0091,1063.0,1957.32,0.09
2014-01-17,59100,400,0.68,4578,12.91,40811,1.45,500,0.85,0.0051,1062.4000244140625,1944.48,-0.5
2014-01-21,59500,500,0.85,4578,13.0,40811,1.46,500,0.84,0.0021,1062.5,1963.89,0.67
2014-01-22,59300,-200,-0.34,4578,12.95,40811,1.45,500,0.84,0.0031,1064.199951171875,1970.42,0.41
2014-01-23,58600,-700,-1.18,4578,12.8,40811,1.44,500,0.85,0.0029,1066.5,1947.59,-0.57
2014-01-24,58400,-200,-0.34,4578,12.76,40811,1.43,500,0.86,0.0036,1072.699951171875,1940.56,-2.15
2014-01-27,57800,-600,-1.03,4578,12.63,40811,1.42,500,0.87,0.0024,1078.4000244140625,1910.34,-1.08
2014-01-28,57100,-700,-1.21,4578,12.47,40811,1.4,500,0.88,0.0034,1082.5,1916.93,0.35
2014-01-29,58400,1300,2.28,4578,12.76,40811,1.43,500,0.86,0.005,1076.9000244140625,1941.15,-1.14
2014-02-03,58100,-300,-0.51,4578,12.69,40811,1.42,500,0.86,0.0023,1080.199951171875,1919.96,-2.61
2014-02-04,57100,-1000,-1.72,4578,12.47,40811,1.4,500,0.88,0.0036,1083.5999755859375,1886.85,0.86
2014-02-05,57500,400,0.7,4578,12.56,40811,1.41,500,0.87,0.004,1083.0,1891.32,-0.5
2014-02-06,57500,0,0.0,4578,12.56,40811,1.41,500,0.87,0.0033,1076.9000244140625,1907.89,1.14
2014-02-07,57200,-300,-0.52,4578,12.49,40811,1.4,500,0.87,0.0041,1077.699951171875,1922.5,1.69
2014-02-10,57900,700,1.22,4578,12.65,40811,1.42,500,0.86,0.003,1075.300048828125,1923.3,0.54
2014-02-11,57400,-500,-0.86,4578,12.54,40811,1.41,500,0.87,0.0023,1071.9000244140625,1932.06,1.03
2014-02-12,57000,-400,-0.7,4578,12.45,40811,1.4,500,0.88,0.0033,1069.9000244140625,1935.84,0.24
2014-02-13,56500,-500,-0.88,4578,12.34,40811,1.38,500,0.88,0.0033,1061.4000244140625,1926.96,0.94
2014-02-14,56400,-100,-0.18,4578,12.32,40811,1.38,500,0.89,0.0045,1065.300048828125,1940.28,0.08
2014-02-18,57700,-300,-0.52,4578,12.6,40811,1.41,500,0.87,0.0046,1059.4000244140625,1946.91,0.68
2014-02-19,57900,200,0.35,4578,12.65,40811,1.42,500,0.86,0.005,1064.4000244140625,1942.93,-0.82
2014-02-20,58800,900,1.55,4578,12.84,40811,1.44,500,0.85,0.0099,1065.300048828125,1930.57,0.7
2014-02-21,59000,200,0.34,4578,12.89,40811,1.45,500,0.85,0.0049,1071.0,1957.83,-0.1
2014-02-24,58700,-300,-0.51,4578,12.82,40811,1.44,500,0.85,0.0025,1072.0999755859375,1949.05,0.69
2014-02-25,58300,-400,-0.68,4578,12.73,40811,1.43,500,0.86,0.008,1073.300048828125,1964.86,-0.13
2014-02-26,58200,-100,-0.17,4578,12.71,40811,1.43,500,0.86,0.0036,1073.0999755859375,1970.77,0.1
2014-02-27,59100,900,1.55,4578,12.91,40811,1.45,500,0.85,0.0052,1065.0999755859375,1978.43,0.63
2014-02-28,58400,-700,-1.18,4578,12.76,40811,1.43,500,0.86,0.0031,1068.699951171875,1979.99,-0.25
2014-03-03,58400,0,0.0,4578,12.76,40811,1.43,500,0.86,0.0024,1067.300048828125,1964.69,-0.72
2014-03-04,58100,-300,-0.51,4578,12.69,40811,1.42,500,0.86,0.0025,1069.0,1954.11,1.75
2014-03-05,57300,-800,-1.38,4578,12.52,40811,1.4,500,0.87,0.0072,1070.0999755859375,1971.24,0.14
2014-03-06,57000,-300,-0.52,4578,12.45,40811,1.4,500,0.88,0.0041,1070.199951171875,1975.62,-0.13
2014-03-07,57500,500,0.88,4578,12.56,40811,1.41,500,0.87,0.0039,1063.5999755859375,1974.68,-0.37
2014-03-10,57000,-500,-0.87,4578,12.45,40811,1.4,500,0.88,0.0035,1064.199951171875,1954.42,-0.04
2014-03-11,56600,-400,-0.7,4578,12.36,40811,1.39,500,0.88,0.0033,1066.0999755859375,1963.87,-0.63
2014-03-12,55200,-1400,-2.47,4578,12.06,40811,1.35,500,0.91,0.0058,1064.780029296875,1932.54,0.37
2014-03-13,54900,-300,-0.54,4578,11.99,40811,1.35,500,0.91,0.005,1067.030029296875,1934.38,-1.46
2014-03-14,53700,-1200,-2.19,4578,11.73,40811,1.32,500,0.93,0.0081,1067.9000244140625,1919.9,-0.35
2014-03-17,54500,800,1.49,4578,11.9,40811,1.34,500,0.92,0.004,1071.9300537109375,1927.53,0.81
2014-03-18,54700,200,0.37,4578,11.95,40811,1.34,500,0.91,0.0034,1066.9000244140625,1940.21,1.25
2014-03-19,53900,-800,-1.46,4578,11.77,40811,1.32,500,0.93,0.0047,1068.4000244140625,1937.68,-0.59
2014-03-20,52900,-1000,-1.86,4578,11.56,40811,1.3,500,0.95,0.0056,1069.5999755859375,1919.52,0.27
