날짜,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2023/10/19,"477,000",2,"-23,000","486,000","488,500","477,000","1,548,134","745,620,084,940","40,340,476,710,000","84,571,230"
2023/10/18,"500,000",2,"-3,000","501,000","507,000","499,000","624,079","312,365,433,500","42,285,615,000,000","84,571,230"
2023/10/17,"503,000",2,"-4,000","514,000","518,000","502,000","625,836","318,406,002,000","42,539,328,690,000","84,571,230"
2023/10/16,"507,000",2,"-5,000","502,000","508,000","496,000","837,155","419,463,479,500","42,877,613,610,000","84,571,230"
2023/10/13,"512,000",2,"-6,000","518,000","524,000","509,000","671,304","346,502,255,500","43,300,469,760,000","84,571,230"
2023/10/12,"518,000",1,"11,000","511,000","532,000","507,000","1,057,678","549,614,287,000","43,807,897,140,000","84,571,230"
2023/10/11,"507,000",1,"14,000","501,000","513,000","498,000","1,003,202","506,585,678,500","42,877,613,610,000","84,571,230"
2023/10/10,"493,000",2,"-21,000","521,000","522,000","490,000","1,498,746","753,554,360,000","41,693,616,390,000","84,571,230"
2023/10/06,"514,000",1,"3,000","510,000","522,000","507,000","652,301","335,277,397,000","43,469,612,220,000","84,571,230"
2023/10/05,"511,000",3,0,"524,000","531,000","510,000","896,556","467,386,763,000","43,215,898,530,000","84,571,230"
2023/10/04,"511,000",2,"-24,000","529,000","532,000","510,000","1,239,625","643,919,691,000","43,215,898,530,000","84,571,230"
2023/09/27,"535,000",1,"2,000","528,000","537,000","525,000","804,112","427,029,573,000","45,245,608,050,000","84,571,230"
2023/09/26,"533,000",2,"-6,000","539,000","549,000","532,000","870,926","469,813,504,000","45,076,465,590,000","84,571,230"
2023/09/25,"539,000",2,"-30,000","564,000","566,000","536,000","1,503,031","820,713,799,000","45,583,892,970,000","84,571,230"
2023/09/22,"569,000",2,"-8,000","568,000","573,000","556,000","924,090","523,041,065,000","48,121,029,870,000","84,571,230"
2023/09/21,"577,000",2,"-17,000","588,000","595,000","576,000","715,070","417,031,326,000","48,797,599,710,000","84,571,230"
2023/09/20,"594,000",1,"1,000","592,000","596,000","582,000","829,143","488,947,560,000","50,235,310,620,000","84,571,230"
2023/09/19,"593,000",2,"-10,000","604,000","608,000","588,000","1,036,725","619,181,500,000","50,150,739,390,000","84,571,230"
2023/09/18,"603,000",1,"19,000","591,000","605,000","584,000","1,396,160","832,642,449,000","50,996,451,690,000","84,571,230"
2023/09/15,"584,000",1,"31,000","560,000","597,000","554,000","1,831,875","1,064,306,301,874","49,389,598,320,000","84,571,230"
2023/09/14,"553,000",1,"24,000","533,000","555,000","531,000","928,896","507,803,465,000","46,767,890,190,000","84,571,230"
2023/09/13,"529,000",2,"-17,000","539,000","549,000","525,000","1,335,818","715,812,038,000","44,738,180,670,000","84,571,230"
