날짜,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2023/10/19,"125,700",2,"-4,300","127,600","128,900","125,100","5,089,745","643,718,268,150","91,509,897,280,500","728,002,365"
2023/10/18,"130,000",3,0,"128,600","130,700","127,200","4,760,148","616,161,822,200","94,640,307,450,000","728,002,365"
2023/10/17,"130,000",1,"5,900","125,000","130,800","123,500","6,411,880","822,684,114,450","94,640,307,450,000","728,002,365"
2023/10/16,"124,100",2,-600,"124,700","125,200","122,400","3,008,476","372,140,441,150","90,345,093,496,500","728,002,365"
2023/10/13,"124,700",1,500,"123,100","126,300","122,500","3,205,273","399,745,331,031","90,781,894,915,500","728,002,365"
2023/10/12,"124,200",1,"5,000","121,100","124,200","120,500","4,016,352","493,611,277,500","90,417,893,733,000","728,002,365"
2023/10/11,"119,200",2,-300,"123,000","123,900","119,200","4,293,299","522,118,015,700","86,777,881,908,000","728,002,365"
2023/10/10,"119,500",2,-900,"122,800","124,300","119,500","5,580,659","680,705,683,613","86,996,282,617,500","728,002,365"
2023/10/06,"120,400",1,200,"120,200","121,600","119,000","4,158,083","499,481,029,916","87,651,484,746,000","728,002,365"
2023/10/05,"120,200",1,"4,800","122,900","122,900","118,100","6,112,858","735,305,085,666","87,505,884,273,000","728,002,365"
2023/10/04,"115,400",1,700,"113,000","116,600","113,000","4,447,702","510,143,127,671","84,011,472,921,000","728,002,365"
2023/09/27,"114,700",2,-300,"113,000","115,200","112,300","3,060,751","348,466,084,800","83,501,871,265,500","728,002,365"
2023/09/26,"115,000",2,"-2,000","117,000","117,200","113,300","3,237,819","371,320,676,412","83,720,271,975,000","728,002,365"
2023/09/25,"117,000",2,-300,"115,900","117,700","115,700","2,181,722","254,825,302,750","85,176,276,705,000","728,002,365"
2023/09/22,"117,300",1,800,"114,300","117,300","114,200","2,938,386","341,101,738,500","85,394,677,414,500","728,002,365"
2023/09/21,"116,500",2,"-1,500","116,000","116,900","114,100","3,151,900","364,611,621,800","84,812,275,522,500","728,002,365"
2023/09/20,"118,000",2,"-1,200","118,900","119,700","116,700","2,228,681","262,797,287,900","85,904,279,070,000","728,002,365"
2023/09/19,"119,200",1,200,"119,400","121,300","118,600","1,921,912","230,047,588,700","86,777,881,908,000","728,002,365"
2023/09/18,"119,000",2,"-3,400","120,300","122,900","118,800","2,356,621","282,705,935,000","86,632,281,435,000","728,002,365"
2023/09/15,"122,400",1,200,"122,900","124,400","121,600","3,579,662","440,233,706,194","89,107,489,476,000","728,002,365"
2023/09/14,"122,200",1,"3,700","118,600","122,200","118,600","3,948,784","477,795,104,066","88,961,889,003,000","728,002,365"
2023/09/13,"118,500",1,"1,800","117,900","120,700","116,900","3,860,589","459,528,455,530","86,268,280,252,500","728,002,365"
2023/09/12,"116,700",1,800,"115,400","117,500","113,900","2,749,688","318,540,598,500","84,957,875,995,500","728,002,365"
2023/09/11,"115,900",1,"2,200","113,700","116,000","112,900","2,542,590","291,666,361,832","84,375,474,103,500","728,002,365"
2023/09/08,"113,700",2,"-4,800","117,000","117,100","112,800","4,943,255","564,691,269,150","82,773,868,900,500","728,002,365"
2023/09/07,"118,500",1,300,"118,200","120,900","117,100","2,995,088","354,989,251,824","86,268,280,252,500","728,002,365"
2023/09/06,"118,200",2,"-1,200","118,600","120,000","117,800","1,615,519","191,335,016,200","86,049,879,543,000","728,002,365"
2023/09/05,"119,400",1,200,"118,100","121,000","117,700","1,749,591","209,186,512,876","86,923,482,381,000","728,002,365"
2023/09/04,"119,200",2,-800,"118,300","119,700","116,200","3,491,280","410,802,524,712","86,777,881,908,000","728,002,365"
2023/09/01,"120,000",2,"-1,800","121,400","122,600","119,600","2,886,011","349,554,847,550","87,360,283,800,000","728,002,365"
2023/08/31,"121,800",1,"2,400","121,000","122,800","120,000","4,403,695","536,628,688,400","88,670,688,057,000","728,002,365"
2023/08/30,"119,400",1,800,"122,400","122,800","119,400","2,629,711","318,483,532,000","86,923,482,381,000","728,002,365"
2023/08/29,"118,600",1,"2,700","118,300","120,300","117,100","2,682,352","318,899,240,750","86,341,080,489,000","728,002,365"
2023/08/28,"115,900",2,-600,"117,000","117,500","115,500","1,746,882","203,166,955,500","84,375,474,103,500","728,002,365"
2023/08/25,"116,500",2,"-4,400","117,400","118,300","115,300","3,533,647","412,064,064,200","84,812,275,522,500","728,002,365"
2023/08/24,"120,900",1,"4,900","122,300","123,600","120,300","6,368,401","777,700,382,800","88,015,485,928,500","728,002,365"
