날짜,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2023/10/19,"69,500",2,"-1,000","69,700","70,000","69,400","13,985,012","973,452,315,000","414,899,887,225,000","5,969,782,550"
2023/10/18,"70,500",1,"1,100","68,900","70,500","68,800","16,493,184","1,153,209,262,700","420,869,669,775,000","5,969,782,550"
2023/10/17,"69,400",1,"2,100","67,700","69,900","67,400","17,299,253","1,188,353,081,300","414,302,908,970,000","5,969,782,550"
2023/10/16,"67,300",2,-700,"67,900","68,500","66,800","12,599,299","848,737,211,400","401,766,365,615,000","5,969,782,550"
2023/10/13,"68,000",2,-900,"68,000","68,500","67,700","9,724,086","661,424,422,384","405,945,213,400,000","5,969,782,550"
2023/10/12,"68,900",1,700,"68,600","69,700","68,200","19,311,380","1,330,250,524,300","411,318,017,695,000","5,969,782,550"
2023/10/11,"68,200",1,"1,800","68,600","69,400","67,900","25,209,349","1,728,594,285,653","407,139,169,910,000","5,969,782,550"
2023/10/10,"66,400",1,400,"66,200","67,600","66,200","19,889,202","1,331,414,432,069","396,393,561,320,000","5,969,782,550"
2023/10/06,"66,000",2,-700,"67,100","67,300","66,000","14,386,527","955,787,424,039","394,005,648,300,000","5,969,782,550"
2023/10/05,"66,700",2,-800,"67,300","67,400","66,700","16,108,313","1,078,383,241,940","398,184,496,085,000","5,969,782,550"
2023/10/04,"67,500",2,-900,"67,400","67,700","66,700","23,361,149","1,569,870,395,350","402,960,322,125,000","5,969,782,550"
2023/09/27,"68,400",2,-200,"68,600","69,100","68,200","14,886,491","1,019,873,104,916","408,333,126,420,000","5,969,782,550"
2023/09/26,"68,600",2,-800,"70,000","70,000","68,400","13,143,470","904,380,324,453","409,527,082,930,000","5,969,782,550"
2023/09/25,"69,400",1,600,"68,500","69,700","68,500","13,582,516","940,526,293,696","414,302,908,970,000","5,969,782,550"
2023/09/22,"68,800",2,-100,"68,300","68,900","68,300","9,897,840","678,768,211,246","410,721,039,440,000","5,969,782,550"
2023/09/21,"68,900",2,-700,"69,200","69,800","68,800","10,796,336","746,680,194,277","411,318,017,695,000","5,969,782,550"
2023/09/20,"69,600",2,-200,"70,000","70,300","69,500","10,873,015","758,467,059,100","415,496,865,480,000","5,969,782,550"
2023/09/19,"69,800",2,-400,"70,400","70,800","69,600","11,820,188","828,073,239,208","416,690,821,990,000","5,969,782,550"
2023/09/18,"70,200",2,"-1,800","71,300","71,700","70,200","16,040,727","1,134,188,613,800","419,078,735,010,000","5,969,782,550"
2023/09/15,"72,000",1,300,"71,700","72,300","71,400","17,823,512","1,283,667,032,959","429,824,343,600,000","5,969,782,550"
2023/09/14,"71,700",1,800,"71,200","71,800","70,800","21,041,407","1,504,488,795,100","428,033,408,835,000","5,969,782,550"
2023/09/13,"70,900",1,400,"71,100","71,600","70,300","15,955,797","1,131,860,397,902","423,257,582,795,000","5,969,782,550"
2023/09/12,"70,500",2,-300,"70,800","71,000","70,400","11,688,599","825,295,634,500","420,869,669,775,000","5,969,782,550"
2023/09/11,"70,800",1,500,"70,400","70,800","70,000","11,785,462","830,034,512,852","422,660,604,540,000","5,969,782,550"
2023/09/08,"70,300",2,-100,"70,200","70,300","69,600","10,688,118","747,653,334,264","419,675,713,265,000","5,969,782,550"
2023/09/07,"70,400",1,400,"70,000","70,600","69,600","13,741,241","964,326,666,248","420,272,691,520,000","5,969,782,550"
2023/09/06,"70,000",2,-700,"70,700","70,800","69,700","11,414,620","799,882,288,000","417,884,778,500,000","5,969,782,550"
2023/09/05,"70,700",2,-500,"70,900","71,500","70,200","12,330,239","871,401,576,900","422,063,626,285,000","5,969,782,550"
2023/09/04,"71,200",1,200,"72,900","72,900","70,700","26,286,495","1,881,296,768,471","425,048,517,560,000","5,969,782,550"
2023/09/01,"71,000",1,"4,100","66,800","71,000","66,700","29,738,235","2,064,179,447,500","423,854,561,050,000","5,969,782,550"
2023/08/31,"66,900",2,-200,"67,100","67,200","66,400","15,964,630","1,066,351,061,800","399,378,452,595,000","5,969,782,550"
2023/08/30,"67,100",1,300,"67,300","67,700","67,100","9,181,223","618,598,277,000","400,572,409,105,000","5,969,782,550"
2023/08/29,"66,800",3,0,"66,900","67,200","66,600","9,114,352","608,550,951,592","398,781,474,340,000","5,969,782,550"
2023/08/28,"66,800",2,-300,"66,800","67,000","66,500","5,824,628","388,537,718,000","398,781,474,340,000","5,969,782,550"
2023/08/25,"67,100",2,"-1,100","67,100","67,400","66,900","7,032,462","471,934,306,900","400,572,409,105,000","5,969,782,550"
2023/08/24,"68,200",1,"1,100","68,300","68,700","67,900","15,044,463","1,026,978,314,909","407,139,169,910,000","5,969,782,550"
2023/08/23,"67,100",1,500,"66,700","67,100","66,400","9,549,352","638,222,447,700","400,572,409,105,000","5,969,782,550"
2023/08/22,"66,600",3,0,"67,200","67,700","66,300","10,500,242","702,152,276,000","397,587,517,830,000","5,969,782,550"
2023/08/21,"66,600",1,300,"66,600","67,100","66,300","9,720,067","647,498,994,572","397,587,517,830,000","5,969,782,550"
2023/08/18,"66,300",2,-400,"66,000","66,700","65,800","11,745,006","778,550,834,100","395,796,583,065,000","5,969,782,550"
2023/08/17,"66,700",2,-300,"66,300","66,800","66,000","10,778,652","716,095,782,444","398,184,496,085,000","5,969,782,550"
2023/08/16,"67,000",2,-300,"66,700","67,100","66,300","13,174,578","879,111,210,400","399,975,430,850,000","5,969,782,550"
2023/08/14,"67,300",2,-200,"67,500","67,900","66,900","9,352,343","629,306,269,500","401,766,365,615,000","5,969,782,550"
2023/08/11,"67,500",2,-500,"68,400","68,800","67,500","9,781,038","664,312,604,900","402,960,322,125,000","5,969,782,550"
2023/08/10,"68,000",2,-900,"68,300","68,500","67,800","10,227,311","695,338,333,628","405,945,213,400,000","5,969,782,550"
2023/08/09,"68,900",1,"1,300","68,000","69,600","67,900","17,259,673","1,190,098,678,800","411,318,017,695,000","5,969,782,550"
2023/08/08,"67,600",2,-900,"69,000","69,100","67,400","14,664,709","995,836,406,200","403,557,300,380,000","5,969,782,550"
2023/08/07,"68,500",1,200,"67,700","69,200","67,600","10,968,505","753,451,928,000","408,930,104,675,000","5,969,782,550"
2023/08/04,"68,300",2,-500,"68,800","69,100","68,200","12,360,193","846,916,262,150","407,736,148,165,000","5,969,782,550"
2023/08/03,"68,800",2,"-1,100","69,900","70,200","68,500","20,087,090","1,393,671,498,850","410,721,039,440,000","5,969,782,550"
2023/08/02,"69,900",2,"-1,200","70,700","71,000","69,800","13,835,020","972,618,018,764","417,287,800,245,000","5,969,782,550"
2023/08/01,"71,100",1,"1,300","70,100","71,200","70,000","12,299,254","869,662,851,033","424,451,539,305,000","5,969,782,550"
2023/07/31,"69,800",2,-800,"70,900","71,000","69,800","13,035,420","914,993,886,320","416,690,821,990,000","5,969,782,550"
2023/07/28,"70,600",2,"-1,100","71,800","72,400","70,100","19,420,683","1,374,116,836,640","421,466,648,030,000","5,969,782,550"
