날짜,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2023/10/19,"237,000",2,"-3,500","238,500","244,000","236,000","148,123","35,427,368,752","5,203,103,214,000","21,954,022"
2023/10/18,"240,500",1,"8,500","232,500","246,500","232,500","221,926","53,574,333,000","5,279,942,291,000","21,954,022"
2023/10/17,"232,000",1,"8,000","227,000","235,000","226,000","93,703","21,769,577,500","5,093,333,104,000","21,954,022"
2023/10/16,"224,000",2,"-1,500","223,500","225,000","221,500","56,386","12,593,718,000","4,917,700,928,000","21,954,022"
2023/10/13,"225,500",2,"-3,000","225,500","230,500","224,000","51,627","11,678,290,500","4,950,631,961,000","21,954,022"
2023/10/12,"228,500",1,"1,000","229,500","232,000","227,500","93,314","21,403,809,500","5,016,494,027,000","21,954,022"
2023/10/11,"227,500",1,"9,000","222,000","231,500","222,000","103,510","23,601,854,000","4,994,540,005,000","21,954,022"
2023/10/10,"218,500",1,"4,500","218,000","225,000","217,000","108,595","23,947,429,500","4,796,953,807,000","21,954,022"
2023/10/06,"214,000",1,"1,000","213,000","217,000","212,500","46,991","10,105,986,500","4,698,160,708,000","21,954,022"
2023/10/05,"213,000",1,500,"214,500","218,000","212,500","64,349","13,822,292,000","4,676,206,686,000","21,954,022"
2023/10/04,"212,500",2,"-10,000","218,500","220,000","212,500","176,499","38,017,980,000","4,665,229,675,000","21,954,022"
2023/09/27,"222,500",2,"-2,000","220,000","227,000","220,000","113,396","25,217,642,000","4,884,769,895,000","21,954,022"
2023/09/26,"224,500",2,"-4,500","227,000","230,000","224,000","90,464","20,391,964,111","4,928,677,939,000","21,954,022"
2023/09/25,"229,000",2,"-1,500","228,000","235,000","227,000","78,742","18,120,232,000","5,027,471,038,000","21,954,022"
2023/09/22,"230,500",2,"-6,000","233,500","234,000","226,500","86,931","20,054,351,500","5,060,402,071,000","21,954,022"
2023/09/21,"236,500",2,"-11,500","246,500","247,000","236,500","103,291","24,872,096,834","5,192,126,203,000","21,954,022"
2023/09/20,"248,000",2,"-1,000","247,500","250,500","247,500","49,957","12,421,734,000","5,444,597,456,000","21,954,022"
2023/09/19,"249,000",2,"-1,000","250,000","251,500","247,000","53,855","13,394,418,500","5,466,551,478,000","21,954,022"
2023/09/18,"250,000",2,"-2,500","252,000","255,000","250,000","57,503","14,467,780,620","5,488,505,500,000","21,954,022"
2023/09/15,"252,500",1,"2,000","250,000","253,000","249,500","92,141","23,202,172,000","5,543,390,555,000","21,954,022"
2023/09/14,"250,500",1,"7,000","243,500","253,500","243,000","153,905","38,411,123,000","5,499,482,511,000","21,954,022"
2023/09/13,"243,500",2,"-4,000","247,000","248,000","241,500","73,013","17,778,486,000","5,345,804,357,000","21,954,022"
2023/09/12,"247,500",1,"1,000","247,500","251,000","246,500","84,411","20,947,002,500","5,433,620,445,000","21,954,022"
2023/09/11,"246,500",1,"2,000","245,000","248,500","243,500","56,910","14,011,535,000","5,411,666,423,000","21,954,022"
2023/09/08,"244,500",2,"-3,000","247,500","248,000","241,000","112,150","27,322,456,500","5,367,758,379,000","21,954,022"
2023/09/07,"247,500",2,"-1,000","247,000","250,500","246,000","57,226","14,170,643,000","5,433,620,445,000","21,954,022"
