날짜,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2023/10/19,"36,300",2,-650,"36,550","36,650","36,050","312,242","11,335,443,900","4,042,214,269,500","111,355,765"
2023/10/18,"36,950",1,350,"36,600","37,200","36,350","488,982","18,038,119,950","4,114,595,516,750","111,355,765"
2023/10/17,"36,600",1,200,"36,700","36,850","36,400","305,119","11,184,959,600","4,075,620,999,000","111,355,765"
2023/10/16,"36,400",1,650,"35,400","36,500","35,100","511,801","18,417,290,700","4,053,349,846,000","111,355,765"
2023/10/13,"35,750",2,-900,"36,300","36,500","35,600","415,736","14,910,405,750","3,980,968,598,750","111,355,765"
2023/10/12,"36,650",1,"1,000","35,700","36,750","35,700","700,601","25,520,717,200","4,081,188,787,250","111,355,765"
2023/10/11,"35,650",2,-150,"36,000","36,150","35,300","449,056","16,014,391,400","3,969,833,022,250","111,355,765"
2023/10/10,"35,800",1,50,"35,900","36,500","35,500","504,895","18,188,225,600","3,986,536,387,000","111,355,765"
2023/10/06,"35,750",2,-300,"36,050","36,100","35,550","235,499","8,411,322,400","3,980,968,598,750","111,355,765"
2023/10/05,"36,050",1,300,"35,800","36,550","35,700","440,164","15,893,157,650","4,014,375,328,250","111,355,765"
2023/10/04,"35,750",2,-500,"35,750","36,200","35,450","447,848","16,024,697,150","3,980,968,598,750","111,355,765"
2023/09/27,"36,250",1,650,"35,100","36,400","35,100","424,289","15,288,160,700","4,036,646,481,250","111,355,765"
2023/09/26,"35,600",2,"-1,000","36,450","36,600","35,300","435,562","15,541,299,900","3,964,265,234,000","111,355,765"
2023/09/25,"36,600",1,150,"36,150","36,950","36,100","398,940","14,587,070,800","4,075,620,999,000","111,355,765"
2023/09/22,"36,450",2,-450,"36,600","36,700","35,750","488,335","17,673,734,150","4,058,917,634,250","111,355,765"
2023/09/21,"36,900",2,-500,"37,400","37,600","36,900","413,000","15,341,591,450","4,109,027,728,500","111,355,765"
2023/09/20,"37,400",2,-50,"37,350","37,800","37,250","421,349","15,780,267,850","4,164,705,611,000","111,355,765"
2023/09/19,"37,450",1,150,"37,550","37,650","36,800","461,959","17,209,653,950","4,170,273,399,250","111,355,765"
2023/09/18,"37,300",3,0,"37,400","37,850","37,100","763,371","28,612,507,500","4,153,570,034,500","111,355,765"
2023/09/15,"37,300",1,750,"36,450","37,300","36,450","851,003","31,556,961,050","4,153,570,034,500","111,355,765"
2023/09/14,"36,550",1,600,"36,150","36,550","35,850","665,430","24,182,495,100","4,070,053,210,750","111,355,765"
2023/09/13,"35,950",1,550,"35,350","36,100","35,300","291,607","10,446,002,750","4,003,239,751,750","111,355,765"
2023/09/12,"35,400",2,-950,"36,500","36,550","35,400","354,489","12,688,300,350","3,941,994,081,000","111,355,765"
2023/09/11,"36,350",1,450,"36,150","36,500","35,900","441,157","16,002,914,150","4,047,782,057,750","111,355,765"
2023/09/08,"35,900",1,600,"35,450","36,150","35,200","359,210","12,836,839,450","3,997,671,963,500","111,355,765"
2023/09/07,"35,300",2,-150,"35,200","35,600","35,150","302,559","10,698,789,900","3,930,858,504,500","111,355,765"
2023/09/06,"35,450",2,-600,"36,000","36,050","35,300","376,641","13,372,647,800","3,947,561,869,250","111,355,765"
2023/09/05,"36,050",2,-400,"36,500","36,500","35,850","296,463","10,673,369,250","4,014,375,328,250","111,355,765"
2023/09/04,"36,450",1,850,"35,900","36,600","35,650","414,616","15,011,754,850","4,058,917,634,250","111,355,765"
2023/09/01,"35,600",1,100,"35,750","36,550","35,100","567,921","20,474,611,300","3,964,265,234,000","111,355,765"
2023/08/31,"35,500",2,-300,"35,950","36,050","35,400","484,437","17,236,633,000","3,953,129,657,500","111,355,765"
2023/08/30,"35,800",3,0,"36,200","36,200","35,600","260,024","9,315,167,400","3,986,536,387,000","111,355,765"
2023/08/29,"35,800",2,-350,"36,350","36,350","35,350","503,945","18,009,230,350","3,986,536,387,000","111,355,765"
2023/08/28,"36,150",1,"2,650","34,100","36,450","34,100","1,597,119","57,007,334,400","4,025,510,904,750","111,355,765"
2023/08/25,"33,500",2,-600,"33,800","33,800","33,300","479,960","16,101,342,100","3,730,418,127,500","111,355,765"
2023/08/24,"34,100",2,-150,"34,500","34,550","34,100","345,784","11,865,649,750","3,797,231,586,500","111,355,765"
2023/08/23,"34,250",1,150,"34,250","34,650","34,100","331,230","11,388,125,750","3,813,934,951,250","111,355,765"
2023/08/22,"34,100",3,0,"34,150","34,300","33,550","674,200","22,940,386,650","3,797,231,586,500","111,355,765"
2023/08/21,"34,100",2,-600,"34,500","35,150","33,900","651,726","22,380,599,000","3,797,231,586,500","111,355,765"
2023/08/18,"34,700",2,-350,"34,650","34,950","34,350","449,261","15,554,877,400","3,864,045,045,500","111,355,765"
2023/08/17,"35,050",1,100,"34,800","35,100","34,550","501,629","17,507,894,100","3,903,019,563,250","111,355,765"
2023/08/16,"34,950",2,-800,"35,600","35,700","34,900","515,209","18,095,271,050","3,891,883,986,750","111,355,765"
2023/08/14,"35,750",2,-350,"36,000","36,500","35,650","364,319","13,108,244,150","3,980,968,598,750","111,355,765"
2023/08/11,"36,100",1,500,"35,750","36,300","35,650","364,328","13,122,125,600","4,019,943,116,500","111,355,765"
2023/08/10,"35,600",2,-50,"35,550","36,050","35,400","553,898","19,787,092,550","3,964,265,234,000","111,355,765"
2023/08/09,"35,650",1,150,"35,600","35,750","35,200","488,654","17,354,990,450","3,969,833,022,250","111,355,765"
2023/08/08,"35,500",2,-550,"36,350","36,500","35,500","524,301","18,788,914,850","3,953,129,657,500","111,355,765"
2023/08/07,"36,050",2,-450,"36,450","36,500","35,900","327,688","11,842,476,100","4,014,375,328,250","111,355,765"
2023/08/04,"36,500",2,-150,"36,800","36,800","36,100","401,229","14,597,973,850","4,064,485,422,500","111,355,765"
2023/08/03,"36,650",2,-200,"36,600","37,200","36,450","491,350","18,041,645,100","4,081,188,787,250","111,355,765"
2023/08/02,"36,850",2,-950,"37,650","37,800","36,800","626,388","23,292,166,000","4,103,459,940,250","111,355,765"
2023/08/01,"37,800",1,400,"37,400","38,150","37,050","721,050","27,251,455,050","4,209,247,917,000","111,355,765"
2023/07/31,"37,400",1,400,"37,200","37,900","36,850","791,379","29,614,202,800","4,164,705,611,000","111,355,765"
2023/07/28,"37,000",2,-250,"37,000","37,250","36,500","561,519","20,737,959,550","4,120,163,305,000","111,355,765"
2023/07/27,"37,250",1,"1,100","36,200","37,500","36,000","1,020,279","37,628,115,000","4,148,002,246,250","111,355,765"
2023/07/26,"36,150",2,"-1,600","37,900","37,950","36,050","1,202,576","43,909,875,750","4,025,510,904,750","111,355,765"
2023/07/25,"37,750",2,-50,"37,850","37,950","37,000","1,004,434","37,748,831,150","4,203,680,128,750","111,355,765"
2023/07/24,"37,800",1,100,"38,150","38,250","37,400","1,008,838","38,102,835,000","4,209,247,917,000","111,355,765"
2023/07/21,"37,700",1,300,"37,550","38,100","36,850","943,432","35,364,703,100","4,198,112,340,500","111,355,765"
2023/07/20,"37,400",2,-50,"37,350","37,550","36,900","601,651","22,422,840,300","4,164,705,611,000","111,355,765"
2023/07/19,"37,450",2,-50,"37,700","37,950","37,200","753,958","28,287,261,750","4,170,273,399,250","111,355,765"
2023/07/18,"37,500",2,"-1,500","39,000","39,050","37,300","1,348,513","50,930,797,000","4,175,841,187,500","111,355,765"
2023/07/17,"39,000",1,"1,500","38,750","39,550","38,300","2,862,199","111,601,534,850","4,342,874,835,000","111,355,765"
2023/07/14,"37,500",1,550,"37,200","37,600","36,750","703,669","26,222,802,200","4,175,841,187,500","111,355,765"
2023/07/13,"36,950",1,350,"36,950","37,000","36,450","665,041","24,476,240,100","4,114,595,516,750","111,355,765"
2023/07/12,"36,600",1,100,"36,550","37,000","36,150","527,792","19,352,619,650","4,075,620,999,000","111,355,765"
2023/07/11,"36,500",1,650,"36,300","36,500","35,900","587,262","21,312,756,600","4,064,485,422,500","111,355,765"
2023/07/10,"35,850",1,"1,200","35,050","36,350","34,900","1,020,283","36,563,699,150","3,992,104,175,250","111,355,765"
2023/07/07,"34,650",2,-800,"35,150","35,400","34,550","1,077,497","37,526,288,100","3,858,477,257,250","111,355,765"
2023/07/06,"35,450",2,"-1,400","36,750","36,850","35,300","1,395,335","49,902,699,400","3,947,561,869,250","111,355,765"
2023/07/05,"36,850",2,"-1,050","38,000","38,100","36,850","1,099,500","40,918,303,150","4,103,459,940,250","111,355,765"
2023/07/04,"37,900",2,-850,"38,900","38,900","37,800","806,561","30,830,811,900","4,220,383,493,500","111,355,765"
2023/07/03,"38,750",1,650,"38,400","39,200","38,100","842,167","32,624,185,950","4,315,035,893,750","111,355,765"
2023/06/30,"38,100",1,350,"37,750","38,250","37,300","806,060","30,554,253,100","4,242,654,646,500","111,355,765"
2023/06/29,"37,750",2,-750,"38,600","38,900","37,700","1,176,413","44,947,154,150","4,203,680,128,750","111,355,765"
