Date,Close,대비,등락률,BPS,PBR,주당배당금,배당수익률
2014/01/02,35550,-1250,-3.4,14032,2.53,0,0.0
2014/01/03,36300,750,2.11,14032,2.59,0,0.0
2014/01/06,37650,1350,3.72,14032,2.68,0,0.0
2014/01/07,37800,150,0.4,14032,2.69,0,0.0
2014/01/08,39000,1200,3.17,14032,2.78,0,0.0
2014/01/09,38850,-150,-0.38,14032,2.77,0,0.0
2014/01/10,38500,-350,-0.9,14032,2.74,0,0.0
2014/01/13,38150,-350,-0.91,14032,2.72,0,0.0
2014/01/14,38400,250,0.66,14032,2.74,0,0.0
2014/01/15,36650,-1750,-4.56,14032,2.61,0,0.0
2014/01/16,36550,-100,-0.27,14032,2.6,0,0.0
2014/01/17,36000,-550,-1.5,14032,2.57,0,0.0
2014/01/20,36850,850,2.36,14032,2.63,0,0.0
2014/01/21,36400,-450,-1.22,14032,2.59,0,0.0
2014/01/22,36300,-100,-0.27,14032,2.59,0,0.0
2014/01/23,35400,-900,-2.48,14032,2.52,0,0.0
2014/01/24,35900,500,1.41,14032,2.56,0,0.0
2014/01/27,35250,-650,-1.81,14032,2.51,0,0.0
2014/01/28,36800,1550,4.4,14032,2.62,0,0.0
2014/01/29,37850,1050,2.85,14032,2.7,0,0.0
2014/02/03,37950,100,0.26,14032,2.7,0,0.0
2014/02/04,36500,-1450,-3.82,14032,2.6,0,0.0
2014/02/05,36650,150,0.41,14032,2.61,0,0.0
2014/02/06,38600,1950,5.32,14032,2.75,0,0.0
2014/02/07,39300,700,1.81,14032,2.8,0,0.0
2014/02/10,39000,-300,-0.76,14032,2.78,0,0.0
2014/02/11,39000,0,0.0,14032,2.78,0,0.0
2014/02/12,39850,850,2.18,14032,2.84,0,0.0
2014/02/13,39900,50,0.13,14032,2.84,0,0.0
2014/02/14,39050,-850,-2.13,14032,2.78,0,0.0
2014/02/17,38700,-350,-0.9,14032,2.76,0,0.0
2014/02/18,38800,100,0.26,14032,2.77,0,0.0
2014/02/19,39150,350,0.9,14032,2.79,0,0.0
2014/02/20,38800,-350,-0.89,14032,2.77,0,0.0
2014/02/21,39300,500,1.29,14032,2.8,0,0.0
2014/02/24,38850,-450,-1.15,14032,2.77,0,0.0
2014/02/25,38650,-200,-0.51,14032,2.75,0,0.0
2014/02/26,39250,600,1.55,14032,2.8,0,0.0
2014/02/27,39500,250,0.64,14032,2.81,0,0.0
2014/02/28,38750,-750,-1.9,14032,2.76,0,0.0
2014/03/03,38950,200,0.52,14032,2.78,0,0.0
2014/03/04,38950,0,0.0,14032,2.78,0,0.0
2014/03/05,39450,500,1.28,14032,2.81,0,0.0
2014/03/06,39100,-350,-0.89,14032,2.79,0,0.0
2014/03/07,38550,-550,-1.41,14032,2.75,0,0.0
2014/03/10,37700,-850,-2.2,14032,2.69,0,0.0
2014/03/11,37750,50,0.13,14032,2.69,0,0.0
2014/03/12,37400,-350,-0.93,14032,2.67,0,0.0
2014/03/13,38050,650,1.74,14032,2.71,0,0.0
2014/03/14,37950,-100,-0.26,14032,2.7,0,0.0
2014/03/17,36700,-1250,-3.29,14032,2.62,0,0.0
2014/03/18,36350,-350,-0.95,14032,2.59,0,0.0
2014/03/19,37000,650,1.79,14032,2.64,0,0.0
2014/03/20,36950,-50,-0.14,14032,2.63,0,0.0
2014/03/21,38700,1750,4.74,14032,2.76,0,0.0
2014/03/24,38150,-550,-1.42,14032,2.72,0,0.0
2014/03/25,37600,-550,-1.44,14032,2.68,0,0.0
2014/03/26,38400,800,2.13,14032,2.74,0,0.0
2014/03/27,37700,-700,-1.82,14032,2.69,0,0.0
2014/03/28,37050,-650,-1.72,14032,2.64,0,0.0
2014/03/31,36000,-1050,-2.83,14032,2.57,0,0.0
2014/04/01,37000,1000,2.78,14032,2.64,0,0.0
2014/04/02,37050,50,0.14,14032,2.64,0,0.0
2014/04/03,36550,-500,-1.35,14032,2.6,0,0.0
2014/04/04,37250,700,1.92,14032,2.65,0,0.0
2014/04/07,37000,-250,-0.67,14032,2.64,0,0.0
2014/04/08,36750,-250,-0.68,14032,2.62,0,0.0
2014/04/09,37650,900,2.45,14032,2.68,0,0.0
2014/04/10,37700,50,0.13,14032,2.69,0,0.0
2014/04/11,37050,-650,-1.72,14032,2.64,0,0.0
2014/04/14,36900,-150,-0.4,14032,2.63,0,0.0
2014/04/15,37400,500,1.36,14032,2.67,0,0.0
2014/04/16,37650,250,0.67,14032,2.68,0,0.0
2014/04/17,38050,400,1.06,14032,2.71,0,0.0
2014/04/18,39200,1150,3.02,14032,2.79,0,0.0
2014/04/21,39400,200,0.51,14032,2.81,0,0.0
2014/04/22,39800,400,1.02,14032,2.84,0,0.0
2014/04/23,40750,950,2.39,14032,2.9,0,0.0
2014/04/24,40900,150,0.37,14032,2.91,0,0.0
2014/04/25,40750,-150,-0.37,14032,2.9,0,0.0
2014/04/28,40500,-250,-0.61,14032,2.89,0,0.0
2014/04/29,39700,-800,-1.98,14032,2.83,0,0.0
2014/04/30,40150,450,1.13,18399,2.18,0,0.0
2014/05/02,40650,500,1.25,18399,2.21,0,0.0
2014/05/07,41100,450,1.11,18399,2.23,0,0.0
2014/05/08,40650,-450,-1.09,18399,2.21,0,0.0
2014/05/09,41150,500,1.23,18399,2.24,0,0.0
2014/05/12,41400,250,0.61,18399,2.25,0,0.0
2014/05/13,41700,300,0.72,18399,2.27,0,0.0
2014/05/14,42100,400,0.96,18399,2.29,0,0.0
2014/05/15,42000,-100,-0.24,18399,2.28,0,0.0
2014/05/16,42250,250,0.6,18399,2.3,0,0.0
2014/05/19,40900,-1350,-3.2,18399,2.22,0,0.0
2014/05/20,42000,1100,2.69,18399,2.28,0,0.0
2014/05/21,41900,-100,-0.24,18399,2.28,0,0.0
2014/05/22,42400,500,1.19,18399,2.3,0,0.0
2014/05/23,42350,-50,-0.12,18399,2.3,0,0.0
2014/05/26,42400,50,0.12,18399,2.3,0,0.0
2014/05/27,42200,-200,-0.47,18399,2.29,0,0.0
2014/05/28,42600,400,0.95,18399,2.32,0,0.0
2014/05/29,42600,0,0.0,18399,2.32,0,0.0
2014/05/30,44150,1550,3.64,18399,2.4,0,0.0
2014/06/02,44700,550,1.25,18399,2.43,0,0.0
2014/06/03,44650,-50,-0.11,18399,2.43,0,0.0
2014/06/05,46450,1800,4.03,18399,2.52,0,0.0
2014/06/09,46100,-350,-0.75,18399,2.51,0,0.0
2014/06/10,47350,1250,2.71,18399,2.57,0,0.0
2014/06/11,47000,-350,-0.74,18399,2.55,0,0.0
2014/06/12,47400,400,0.85,18399,2.58,0,0.0
2014/06/13,47050,-350,-0.74,18399,2.56,0,0.0
2014/06/16,48350,1300,2.76,18399,2.63,0,0.0
2014/06/17,49350,1000,2.07,18399,2.68,0,0.0
2014/06/18,49000,-350,-0.71,18399,2.66,0,0.0
2014/06/19,50700,1700,3.47,18399,2.76,0,0.0
2014/06/20,49400,-1300,-2.56,18399,2.68,0,0.0
2014/06/23,48900,-500,-1.01,18399,2.66,0,0.0
2014/06/24,50300,1400,2.86,18399,2.73,0,0.0
2014/06/25,49800,-500,-0.99,18399,2.71,0,0.0
2014/06/26,48750,-1050,-2.11,18399,2.65,0,0.0
2014/06/27,47500,-1250,-2.56,18399,2.58,0,0.0
2014/06/30,48550,1050,2.21,18399,2.64,0,0.0
2014/07/01,48450,-100,-0.21,18399,2.63,0,0.0
2014/07/02,50400,1950,4.02,18399,2.74,0,0.0
2014/07/03,50900,500,0.99,18399,2.77,0,0.0
2014/07/04,50400,-500,-0.98,18399,2.74,0,0.0
2014/07/07,51600,1200,2.38,18399,2.8,0,0.0
2014/07/08,51900,300,0.58,18399,2.82,0,0.0
2014/07/09,49750,-2150,-4.14,18399,2.7,0,0.0
2014/07/10,49300,-450,-0.9,18399,2.68,0,0.0
2014/07/11,48950,-350,-0.71,18399,2.66,0,0.0
2014/07/14,49350,400,0.82,18399,2.68,0,0.0
2014/07/15,49750,400,0.81,18399,2.7,0,0.0
2014/07/16,51000,1250,2.51,18399,2.77,0,0.0
2014/07/17,51500,500,0.98,18399,2.8,0,0.0
2014/07/18,50800,-700,-1.36,18399,2.76,0,0.0
2014/07/21,50500,-300,-0.59,18399,2.74,0,0.0
2014/07/22,51000,500,0.99,18399,2.77,0,0.0
2014/07/23,49450,-1550,-3.04,18399,2.69,0,0.0
2014/07/24,47550,-1900,-3.84,18399,2.58,0,0.0
2014/07/25,47500,-50,-0.11,18399,2.58,0,0.0
