Date,Close,대비,등락률,BPS,PBR,주당배당금,배당수익률
2014/01/02,1309000,-63000,-4.59,688251,1.9,8000,0.61
2014/01/03,1296000,-13000,-0.99,688251,1.88,8000,0.62
2014/01/06,1307000,11000,0.85,688251,1.9,8000,0.61
2014/01/07,1304000,-3000,-0.23,688251,1.89,8000,0.61
2014/01/08,1291000,-13000,-1.0,688251,1.88,8000,0.62
2014/01/09,1275000,-16000,-1.24,688251,1.85,8000,0.63
2014/01/10,1272000,-3000,-0.24,688251,1.85,8000,0.63
2014/01/13,1295000,23000,1.81,688251,1.88,8000,0.62
2014/01/14,1313000,18000,1.39,688251,1.91,8000,0.61
2014/01/15,1299000,-14000,-1.07,688251,1.89,8000,0.62
2014/01/16,1301000,2000,0.15,688251,1.89,8000,0.61
2014/01/17,1292000,-9000,-0.69,688251,1.88,8000,0.62
2014/01/20,1316000,24000,1.86,688251,1.91,8000,0.61
2014/01/21,1324000,8000,0.61,688251,1.92,8000,0.6
2014/01/22,1328000,4000,0.3,688251,1.93,8000,0.6
2014/01/23,1299000,-29000,-2.18,688251,1.89,8000,0.62
2014/01/24,1307000,8000,0.62,688251,1.9,8000,0.61
2014/01/27,1292000,-15000,-1.15,688251,1.88,8000,0.62
2014/01/28,1283000,-9000,-0.7,688251,1.86,8000,0.62
2014/01/29,1280000,-3000,-0.23,688251,1.86,8000,0.63
2014/02/03,1272000,-8000,-0.63,688251,1.85,8000,0.63
2014/02/04,1249000,-23000,-1.81,688251,1.81,8000,0.64
2014/02/05,1237000,-12000,-0.96,688251,1.8,8000,0.65
2014/02/06,1259000,22000,1.78,688251,1.83,8000,0.64
2014/02/07,1275000,16000,1.27,688251,1.85,8000,0.63
2014/02/10,1277000,2000,0.16,688251,1.86,8000,0.63
2014/02/11,1311000,34000,2.66,688251,1.9,8000,0.61
2014/02/12,1307000,-4000,-0.31,688251,1.9,8000,0.61
2014/02/13,1298000,-9000,-0.69,688251,1.89,8000,0.62
2014/02/14,1301000,3000,0.23,688251,1.89,8000,0.61
2014/02/17,1285000,-16000,-1.23,688251,1.87,8000,0.62
2014/02/18,1295000,10000,0.78,688251,1.88,8000,0.62
2014/02/19,1290000,-5000,-0.39,688251,1.87,8000,0.62
2014/02/20,1286000,-4000,-0.31,688251,1.87,8000,0.62
2014/02/21,1330000,44000,3.42,688251,1.93,8000,0.6
2014/02/24,1328000,-2000,-0.15,688251,1.93,8000,0.6
2014/02/25,1334000,6000,0.45,688251,1.94,8000,0.6
2014/02/26,1342000,8000,0.6,688251,1.95,8000,0.6
2014/02/27,1341000,-1000,-0.07,688251,1.95,8000,0.6
2014/02/28,1349000,8000,0.6,688251,1.96,8000,0.59
2014/03/03,1325000,-24000,-1.78,688251,1.93,8000,0.6
2014/03/04,1315000,-10000,-0.75,688251,1.91,8000,0.61
2014/03/05,1330000,15000,1.14,688251,1.93,8000,0.6
2014/03/06,1326000,-4000,-0.3,688251,1.93,8000,0.6
2014/03/07,1339000,13000,0.98,688251,1.95,8000,0.6
2014/03/10,1320000,-19000,-1.42,688251,1.92,8000,0.61
2014/03/11,1322000,2000,0.15,688251,1.92,8000,0.61
2014/03/12,1294000,-28000,-2.12,688251,1.88,8000,0.62
2014/03/13,1290000,-4000,-0.31,688251,1.87,8000,0.62
2014/03/14,1275000,-15000,-1.16,688251,1.85,8000,0.63
2014/03/17,1266000,-9000,-0.71,688251,1.84,8000,0.63
2014/03/18,1278000,12000,0.95,688251,1.86,8000,0.63
2014/03/19,1269000,-9000,-0.7,688251,1.84,8000,0.63
2014/03/20,1262000,-7000,-0.55,688251,1.83,8000,0.63
2014/03/21,1273000,11000,0.87,688251,1.85,8000,0.63
2014/03/24,1273000,0,0.0,688251,1.85,8000,0.63
2014/03/25,1247000,-26000,-2.04,688251,1.81,8000,0.64
2014/03/26,1285000,38000,3.05,688251,1.87,8000,0.62
2014/03/27,1333000,48000,3.74,688251,1.94,8000,0.6
2014/03/28,1335000,2000,0.15,688251,1.94,8000,0.6
2014/03/31,1343000,8000,0.6,688251,1.95,8000,0.6
2014/04/01,1339000,-4000,-0.3,688251,1.95,8000,0.6
2014/04/02,1357000,18000,1.34,688251,1.97,8000,0.59
2014/04/03,1390000,33000,2.43,688251,2.02,8000,0.58
2014/04/04,1380000,-10000,-0.72,688251,2.01,8000,0.58
2014/04/07,1397000,17000,1.23,688251,2.03,8000,0.57
2014/04/08,1394000,-3000,-0.21,688251,2.03,8000,0.57
2014/04/09,1371000,-23000,-1.65,688251,1.99,8000,0.58
2014/04/10,1380000,9000,0.66,688251,2.01,8000,0.58
2014/04/11,1365000,-15000,-1.09,688251,1.98,8000,0.59
2014/04/14,1370000,5000,0.37,688251,1.99,8000,0.58
2014/04/15,1370000,0,0.0,688251,1.99,8000,0.58
2014/04/16,1380000,10000,0.73,688251,2.01,8000,0.58
2014/04/17,1370000,-10000,-0.72,688251,1.99,8000,0.58
2014/04/18,1378000,8000,0.58,688251,2.0,8000,0.58
2014/04/21,1380000,2000,0.15,688251,2.01,8000,0.58
2014/04/22,1375000,-5000,-0.36,688251,2.0,8000,0.58
2014/04/23,1389000,14000,1.02,688251,2.02,8000,0.58
2014/04/24,1407000,18000,1.3,688251,2.04,8000,0.57
2014/04/25,1399000,-8000,-0.57,688251,2.03,8000,0.57
2014/04/28,1388000,-11000,-0.79,688251,2.02,8000,0.58
2014/04/29,1360000,-28000,-2.02,688251,1.98,8000,0.59
2014/04/30,1343000,-17000,-1.25,848999,1.58,14300,1.06
2014/05/02,1346000,3000,0.22,848999,1.59,14300,1.06
2014/05/07,1344000,-2000,-0.15,848999,1.58,14300,1.06
2014/05/08,1350000,6000,0.45,848999,1.59,14300,1.06
2014/05/09,1335000,-15000,-1.11,848999,1.57,14300,1.07
2014/05/12,1388000,53000,3.97,848999,1.63,14300,1.03
2014/05/13,1400000,12000,0.86,848999,1.65,14300,1.02
2014/05/14,1415000,15000,1.07,848999,1.67,14300,1.01
2014/05/15,1410000,-5000,-0.35,848999,1.66,14300,1.01
2014/05/16,1428000,18000,1.28,848999,1.68,14300,1.0
2014/05/19,1448000,20000,1.4,848999,1.71,14300,0.99
2014/05/20,1451000,3000,0.21,848999,1.71,14300,0.99
2014/05/21,1441000,-10000,-0.69,848999,1.7,14300,0.99
2014/05/22,1426000,-15000,-1.04,848999,1.68,14300,1.0
2014/05/23,1428000,2000,0.14,848999,1.68,14300,1.0
2014/05/26,1422000,-6000,-0.42,848999,1.67,14300,1.01
2014/05/27,1407000,-15000,-1.05,848999,1.66,14300,1.02
2014/05/28,1433000,26000,1.85,848999,1.69,14300,1.0
2014/05/29,1460000,27000,1.88,848999,1.72,14300,0.98
2014/05/30,1443000,-17000,-1.16,848999,1.7,14300,0.99
2014/06/02,1455000,12000,0.83,848999,1.71,14300,0.98
2014/06/03,1470000,15000,1.03,848999,1.73,14300,0.97
2014/06/05,1457000,-13000,-0.88,848999,1.72,14300,0.98
2014/06/09,1409000,-48000,-3.29,848999,1.66,14300,1.01
2014/06/10,1436000,27000,1.92,848999,1.69,14300,1.0
2014/06/11,1422000,-14000,-0.97,848999,1.67,14300,1.01
2014/06/12,1413000,-9000,-0.63,848999,1.66,14300,1.01
2014/06/13,1367000,-46000,-3.26,848999,1.61,14300,1.05
2014/06/16,1374000,7000,0.51,848999,1.62,14300,1.04
2014/06/17,1374000,0,0.0,848999,1.62,14300,1.04
2014/06/18,1358000,-16000,-1.16,848999,1.6,14300,1.05
2014/06/19,1323000,-35000,-2.58,848999,1.56,14300,1.08
2014/06/20,1301000,-22000,-1.66,848999,1.53,14300,1.1
2014/06/23,1322000,21000,1.61,848999,1.56,14300,1.08
2014/06/24,1345000,23000,1.74,848999,1.58,14300,1.06
2014/06/25,1320000,-25000,-1.86,848999,1.55,14300,1.08
2014/06/26,1325000,5000,0.38,848999,1.56,14300,1.08
2014/06/27,1311000,-14000,-1.06,848999,1.54,14300,1.09
2014/06/30,1322000,11000,0.84,848999,1.56,14300,1.08
2014/07/01,1310000,-12000,-0.91,848999,1.54,14300,1.09
2014/07/02,1330000,20000,1.53,848999,1.57,14300,1.08
2014/07/03,1318000,-12000,-0.9,848999,1.55,14300,1.08
2014/07/04,1306000,-12000,-0.91,848999,1.54,14300,1.09
2014/07/07,1292000,-14000,-1.07,848999,1.52,14300,1.11
2014/07/08,1295000,3000,0.23,848999,1.53,14300,1.1
2014/07/09,1308000,13000,1.0,848999,1.54,14300,1.09
2014/07/10,1306000,-2000,-0.15,848999,1.54,14300,1.09
2014/07/11,1284000,-22000,-1.68,848999,1.51,14300,1.11
2014/07/14,1286000,2000,0.16,848999,1.51,14300,1.11
2014/07/15,1320000,34000,2.64,848999,1.55,14300,1.08
2014/07/16,1321000,1000,0.08,848999,1.56,14300,1.08
2014/07/17,1330000,9000,0.68,848999,1.57,14300,1.08
2014/07/18,1343000,13000,0.98,848999,1.58,14300,1.06
2014/07/21,1353000,10000,0.74,848999,1.59,14300,1.06
2014/07/22,1348000,-5000,-0.37,848999,1.59,14300,1.06
2014/07/23,1338000,-10000,-0.74,848999,1.58,14300,1.07
2014/07/24,1355000,17000,1.27,848999,1.6,14300,1.06
2014/07/25,1355000,0,0.0,848999,1.6,14300,1.06
2014/07/28,1358000,3000,0.22,848999,1.6,14300,1.05
2014/07/29,1386000,28000,2.06,848999,1.63,14300,1.03
2014/07/30,1395000,9000,0.65,848999,1.64,14300,1.03
2014/07/31,1343000,-52000,-3.73,848999,1.58,14300,1.06
2014/08/01,1292000,-51000,-3.8,848999,1.52,14300,1.11
2014/08/04,1317000,25000,1.93,848999,1.55,14300,1.09
2014/08/05,1316000,-1000,-0.08,848999,1.55,14300,1.09
2014/08/06,1300000,-16000,-1.22,848999,1.53,14300,1.1
2014/08/07,1290000,-10000,-0.77,848999,1.52,14300,1.11
2014/08/08,1250000,-40000,-3.1,848999,1.47,14300,1.14
2014/08/11,1270000,20000,1.6,848999,1.5,14300,1.13
2014/08/12,1266000,-4000,-0.31,848999,1.49,14300,1.13
2014/08/13,1264000,-2000,-0.16,848999,1.49,14300,1.13
2014/08/14,1261000,-3000,-0.24,848999,1.49,14300,1.13
2014/08/18,1250000,-11000,-0.87,848999,1.47,14300,1.14
2014/08/19,1254000,4000,0.32,848999,1.48,14300,1.14
2014/08/20,1261000,7000,0.56,848999,1.49,14300,1.13
2014/08/21,1235000,-26000,-2.06,848999,1.45,14300,1.16
2014/08/22,1247000,12000,0.97,848999,1.47,14300,1.15
2014/08/25,1228000,-19000,-1.52,848999,1.45,14300,1.16
2014/08/26,1222000,-6000,-0.49,848999,1.44,14300,1.17
2014/08/27,1230000,8000,0.65,848999,1.45,14300,1.16
2014/08/28,1242000,12000,0.98,848999,1.46,14300,1.15
2014/08/29,1234000,-8000,-0.64,848999,1.45,14300,1.16
2014/09/01,1226000,-8000,-0.65,848999,1.44,14300,1.17
2014/09/02,1194000,-32000,-2.61,848999,1.41,14300,1.2
2014/09/03,1189000,-5000,-0.42,848999,1.4,14300,1.2
2014/09/04,1210000,21000,1.77,848999,1.43,14300,1.18
2014/09/05,1201000,-9000,-0.74,848999,1.41,14300,1.19
2014/09/11,1192000,-9000,-0.75,848999,1.4,14300,1.2
2014/09/12,1201000,9000,0.76,848999,1.41,14300,1.19
2014/09/15,1200000,-1000,-0.08,848999,1.41,14300,1.19
2014/09/16,1206000,6000,0.5,848999,1.42,14300,1.19
2014/09/17,1226000,20000,1.66,848999,1.44,14300,1.17
2014/09/18,1210000,-16000,-1.31,848999,1.43,14300,1.18
2014/09/19,1210000,0,0.0,848999,1.43,14300,1.18
2014/09/22,1188000,-22000,-1.82,848999,1.4,14300,1.2
2014/09/23,1161000,-27000,-2.27,848999,1.37,14300,1.23
2014/09/24,1150000,-11000,-0.95,848999,1.35,14300,1.24
2014/09/25,1156000,6000,0.52,848999,1.36,14300,1.24
2014/09/26,1185000,29000,2.51,848999,1.4,14300,1.21
2014/09/29,1195000,10000,0.84,848999,1.41,14300,1.2
2014/09/30,1184000,-11000,-0.92,848999,1.39,14300,1.21
2014/10/01,1156000,-28000,-2.36,848999,1.36,14300,1.24
2014/10/02,1141000,-15000,-1.3,848999,1.34,14300,1.25
2014/10/06,1151000,10000,0.88,848999,1.36,14300,1.24
2014/10/07,1162000,11000,0.96,848999,1.37,14300,1.23
2014/10/08,1130000,-32000,-2.75,848999,1.33,14300,1.27
2014/10/10,1105000,-25000,-2.21,848999,1.3,14300,1.29
2014/10/13,1108000,3000,0.27,848999,1.31,14300,1.29
2014/10/14,1127000,19000,1.71,848999,1.33,14300,1.27
2014/10/15,1125000,-2000,-0.18,848999,1.33,14300,1.27
2014/10/16,1115000,-10000,-0.89,848999,1.31,14300,1.28
2014/10/17,1089000,-26000,-2.33,848999,1.28,14300,1.31
2014/10/20,1106000,17000,1.56,848999,1.3,14300,1.29
2014/10/21,1083000,-23000,-2.08,848999,1.28,14300,1.32
2014/10/22,1104000,21000,1.94,848999,1.3,14300,1.3
2014/10/23,1094000,-10000,-0.91,848999,1.29,14300,1.31
2014/10/24,1112000,18000,1.65,848999,1.31,14300,1.29
2014/10/27,1095000,-17000,-1.53,848999,1.29,14300,1.31
2014/10/28,1091000,-4000,-0.37,848999,1.29,14300,1.31
2014/10/29,1130000,39000,3.57,848999,1.33,14300,1.27
2014/10/30,1181000,51000,4.51,848999,1.39,14300,1.21
2014/10/31,1244000,63000,5.33,848999,1.47,14300,1.15
2014/11/03,1235000,-9000,-0.72,848999,1.45,14300,1.16
2014/11/04,1217000,-18000,-1.46,848999,1.43,14300,1.18
2014/11/05,1202000,-15000,-1.23,848999,1.42,14300,1.19
2014/11/06,1204000,2000,0.17,848999,1.42,14300,1.19
2014/11/07,1206000,2000,0.17,848999,1.42,14300,1.19
2014/11/10,1268000,62000,5.14,848999,1.49,14300,1.13
2014/11/11,1231000,-37000,-2.92,848999,1.45,14300,1.16
2014/11/12,1230000,-1000,-0.08,848999,1.45,14300,1.16
2014/11/13,1200000,-30000,-2.44,848999,1.41,14300,1.19
2014/11/14,1194000,-6000,-0.5,848999,1.41,14300,1.2
2014/11/17,1205000,11000,0.92,848999,1.42,14300,1.19
2014/11/18,1220000,15000,1.24,848999,1.44,14300,1.17
2014/11/19,1218000,-2000,-0.16,848999,1.43,14300,1.17
2014/11/20,1210000,-8000,-0.66,848999,1.43,14300,1.18
2014/11/21,1223000,13000,1.07,848999,1.44,14300,1.17
2014/11/24,1220000,-3000,-0.25,848999,1.44,14300,1.17
2014/11/25,1190000,-30000,-2.46,848999,1.4,14300,1.2
2014/11/26,1201000,11000,0.92,848999,1.41,14300,1.19
2014/11/27,1264000,63000,5.25,848999,1.49,14300,1.13
2014/11/28,1287000,23000,1.82,848999,1.52,14300,1.11
2014/12/01,1295000,8000,0.62,848999,1.53,14300,1.1
2014/12/02,1295000,0,0.0,848999,1.53,14300,1.1
2014/12/03,1298000,3000,0.23,848999,1.53,14300,1.1
2014/12/04,1300000,2000,0.15,848999,1.53,14300,1.1
2014/12/05,1302000,2000,0.15,848999,1.53,14300,1.1
2014/12/08,1319000,17000,1.31,848999,1.55,14300,1.08
2014/12/09,1349000,30000,2.27,848999,1.59,14300,1.06
2014/12/10,1317000,-32000,-2.37,848999,1.55,14300,1.09
2014/12/11,1305000,-12000,-0.91,848999,1.54,14300,1.1
2014/12/12,1286000,-19000,-1.46,848999,1.51,14300,1.11
2014/12/15,1273000,-13000,-1.01,848999,1.5,14300,1.12
2014/12/16,1279000,6000,0.47,848999,1.51,14300,1.12
2014/12/17,1266000,-13000,-1.02,848999,1.49,14300,1.13
2014/12/18,1266000,0,0.0,848999,1.49,14300,1.13
2014/12/19,1328000,62000,4.9,848999,1.56,14300,1.08
2014/12/22,1345000,17000,1.28,848999,1.58,14300,1.06
2014/12/23,1339000,-6000,-0.45,848999,1.58,14300,1.07
2014/12/24,1343000,4000,0.3,848999,1.58,14300,1.06
2014/12/26,1352000,9000,0.67,848999,1.59,14300,1.06
2014/12/29,1329000,-23000,-1.7,848999,1.57,14300,1.08
2014/12/30,1327000,-2000,-0.15,848999,1.56,14300,1.08
2015/01/02,1330000,3000,0.23,848999,1.57,14300,1.08
2015/01/05,1333000,3000,0.23,848999,1.57,14300,1.07
2015/01/06,1295000,-38000,-2.85,848999,1.53,14300,1.1
2015/01/07,1307000,12000,0.93,848999,1.54,14300,1.09
2015/01/08,1314000,7000,0.54,848999,1.55,14300,1.09
2015/01/09,1314000,0,0.0,848999,1.55,14300,1.09
2015/01/12,1316000,2000,0.15,848999,1.55,14300,1.09
2015/01/13,1339000,23000,1.75,848999,1.58,14300,1.07
2015/01/14,1345000,6000,0.45,848999,1.58,14300,1.06
2015/01/15,1334000,-11000,-0.82,848999,1.57,14300,1.07
2015/01/16,1316000,-18000,-1.35,848999,1.55,14300,1.09
2015/01/19,1343000,27000,2.05,848999,1.58,14300,1.06
2015/01/20,1372000,29000,2.16,848999,1.62,14300,1.04
2015/01/21,1395000,23000,1.68,848999,1.64,14300,1.03
2015/01/22,1378000,-17000,-1.22,848999,1.62,14300,1.04
2015/01/23,1386000,8000,0.58,848999,1.63,14300,1.03
2015/01/26,1389000,3000,0.22,848999,1.64,14300,1.03
2015/01/27,1400000,11000,0.79,848999,1.65,14300,1.02
2015/01/28,1378000,-22000,-1.57,848999,1.62,14300,1.04
2015/01/29,1360000,-18000,-1.31,848999,1.6,14300,1.05
2015/01/30,1365000,5000,0.37,848999,1.61,14300,1.05
2015/02/02,1368000,3000,0.22,848999,1.61,14300,1.05
2015/02/03,1366000,-2000,-0.15,848999,1.61,14300,1.05
2015/02/04,1359000,-7000,-0.51,848999,1.6,14300,1.05
2015/02/05,1358000,-1000,-0.07,848999,1.6,14300,1.05
2015/02/06,1372000,14000,1.03,848999,1.62,14300,1.04
2015/02/09,1395000,23000,1.68,848999,1.64,14300,1.03
2015/02/10,1378000,-17000,-1.22,848999,1.62,14300,1.04
2015/02/11,1355000,-23000,-1.67,848999,1.6,14300,1.06
2015/02/12,1344000,-11000,-0.81,848999,1.58,14300,1.06
2015/02/13,1361000,17000,1.26,848999,1.6,14300,1.05
2015/02/16,1374000,13000,0.96,848999,1.62,14300,1.04
2015/02/17,1377000,3000,0.22,848999,1.62,14300,1.04
2015/02/23,1367000,-10000,-0.73,848999,1.61,14300,1.05
2015/02/24,1367000,0,0.0,848999,1.61,14300,1.05
2015/02/25,1379000,12000,0.88,848999,1.62,14300,1.04
2015/02/26,1375000,-4000,-0.29,848999,1.62,14300,1.04
2015/02/27,1357000,-18000,-1.31,848999,1.6,14300,1.05
2015/03/02,1423000,66000,4.86,848999,1.68,14300,1.0
2015/03/03,1418000,-5000,-0.35,848999,1.67,14300,1.01
2015/03/04,1437000,19000,1.34,848999,1.69,14300,1.0
2015/03/05,1422000,-15000,-1.04,848999,1.67,14300,1.01
2015/03/06,1442000,20000,1.41,848999,1.7,14300,0.99
2015/03/09,1420000,-22000,-1.53,848999,1.67,14300,1.01
2015/03/10,1421000,1000,0.07,848999,1.67,14300,1.01
2015/03/11,1474000,53000,3.73,848999,1.74,14300,0.97
2015/03/12,1447000,-27000,-1.83,848999,1.7,14300,0.99
2015/03/13,1457000,10000,0.69,848999,1.72,14300,0.98
2015/03/16,1470000,13000,0.89,848999,1.73,14300,0.97
2015/03/17,1497000,27000,1.84,848999,1.76,14300,0.96
2015/03/18,1503000,6000,0.4,848999,1.77,14300,0.95
2015/03/19,1470000,-33000,-2.2,848999,1.73,14300,0.97
2015/03/20,1464000,-6000,-0.41,848999,1.72,14300,0.98
2015/03/23,1467000,3000,0.2,848999,1.73,14300,0.97
2015/03/24,1476000,9000,0.61,848999,1.74,14300,0.97
2015/03/25,1485000,9000,0.61,848999,1.75,14300,0.96
2015/03/26,1421000,-64000,-4.31,848999,1.67,14300,1.01
2015/03/27,1421000,0,0.0,848999,1.67,14300,1.01
2015/03/30,1428000,7000,0.49,848999,1.68,14300,1.0
2015/03/31,1441000,13000,0.91,848999,1.7,14300,0.99
2015/04/01,1423000,-18000,-1.25,848999,1.68,14300,1.0
2015/04/02,1434000,11000,0.77,848999,1.69,14300,1.0
2015/04/03,1434000,0,0.0,848999,1.69,14300,1.0
2015/04/06,1470000,36000,2.51,848999,1.73,14300,0.97
2015/04/07,1462000,-8000,-0.54,848999,1.72,14300,0.98
2015/04/08,1479000,17000,1.16,848999,1.74,14300,0.97
2015/04/09,1483000,4000,0.27,848999,1.75,14300,0.96
2015/04/10,1490000,7000,0.47,848999,1.76,14300,0.96
2015/04/13,1479000,-11000,-0.74,848999,1.74,14300,0.97
2015/04/14,1474000,-5000,-0.34,848999,1.74,14300,0.97
2015/04/15,1446000,-28000,-1.9,848999,1.7,14300,0.99
2015/04/16,1477000,31000,2.14,848999,1.74,14300,0.97
2015/04/17,1450000,-27000,-1.83,848999,1.71,14300,0.99
2015/04/20,1430000,-20000,-1.38,848999,1.68,14300,1.0
2015/04/21,1444000,14000,0.98,848999,1.7,14300,0.99
2015/04/22,1461000,17000,1.18,848999,1.72,14300,0.98
2015/04/23,1451000,-10000,-0.68,848999,1.71,14300,0.99
2015/04/24,1410000,-41000,-2.83,848999,1.66,14300,1.01
2015/04/27,1395000,-15000,-1.06,848999,1.64,14300,1.03
2015/04/28,1366000,-29000,-2.08,848999,1.61,14300,1.05
2015/04/29,1385000,19000,1.39,848999,1.63,14300,1.03
2015/04/30,1410000,25000,1.81,848999,1.66,14300,1.01
2015/05/04,1400000,-10000,-0.71,953266,1.47,20000,1.43
2015/05/06,1362000,-38000,-2.71,953266,1.43,20000,1.47
2015/05/07,1370000,8000,0.59,953266,1.44,20000,1.46
2015/05/08,1338000,-32000,-2.34,953266,1.4,20000,1.49
2015/05/11,1336000,-2000,-0.15,953266,1.4,20000,1.5
2015/05/12,1331000,-5000,-0.37,953266,1.4,20000,1.5
2015/05/13,1333000,2000,0.15,953266,1.4,20000,1.5
2015/05/14,1340000,7000,0.53,953266,1.41,20000,1.49
2015/05/15,1326000,-14000,-1.04,953266,1.39,20000,1.51
2015/05/18,1320000,-6000,-0.45,953266,1.38,20000,1.52
2015/05/19,1338000,18000,1.36,953266,1.4,20000,1.49
2015/05/20,1366000,28000,2.09,953266,1.43,20000,1.46
2015/05/21,1352000,-14000,-1.02,953266,1.42,20000,1.48
2015/05/22,1350000,-2000,-0.15,953266,1.42,20000,1.48
2015/05/26,1362000,12000,0.89,953266,1.43,20000,1.47
2015/05/27,1314000,-48000,-3.52,953266,1.38,20000,1.52
2015/05/28,1309000,-5000,-0.38,953266,1.37,20000,1.53
2015/05/29,1307000,-2000,-0.15,953266,1.37,20000,1.53
2015/06/01,1291000,-16000,-1.22,953266,1.35,20000,1.55
2015/06/02,1303000,12000,0.93,953266,1.37,20000,1.53
2015/06/03,1273000,-30000,-2.3,953266,1.34,20000,1.57
2015/06/04,1337000,64000,5.03,953266,1.4,20000,1.5
2015/06/05,1341000,4000,0.3,953266,1.41,20000,1.49
2015/06/08,1314000,-27000,-2.01,953266,1.38,20000,1.52
2015/06/09,1282000,-32000,-2.44,953266,1.34,20000,1.56
2015/06/10,1262000,-20000,-1.56,953266,1.32,20000,1.58
2015/06/11,1257000,-5000,-0.4,953266,1.32,20000,1.59
2015/06/12,1277000,20000,1.59,953266,1.34,20000,1.57
2015/06/15,1270000,-7000,-0.55,953266,1.33,20000,1.57
2015/06/16,1255000,-15000,-1.18,953266,1.32,20000,1.59
2015/06/17,1254000,-1000,-0.08,953266,1.32,20000,1.59
2015/06/18,1265000,11000,0.88,953266,1.33,20000,1.58
2015/06/19,1266000,1000,0.08,953266,1.33,20000,1.58
2015/06/22,1281000,15000,1.18,953266,1.34,20000,1.56
2015/06/23,1321000,40000,3.12,953266,1.39,20000,1.51
2015/06/24,1302000,-19000,-1.44,953266,1.37,20000,1.54
2015/06/25,1269000,-33000,-2.53,953266,1.33,20000,1.58
2015/06/26,1278000,9000,0.71,953266,1.34,20000,1.56
2015/06/29,1281000,3000,0.23,953266,1.34,20000,1.56
2015/06/30,1268000,-13000,-1.01,953266,1.33,20000,1.58
2015/07/01,1295000,27000,2.13,953266,1.36,20000,1.54
2015/07/02,1299000,4000,0.31,953266,1.36,20000,1.54
2015/07/03,1268000,-31000,-2.39,953266,1.33,20000,1.58
2015/07/06,1230000,-38000,-3.0,953266,1.29,20000,1.63
2015/07/07,1240000,10000,0.81,953266,1.3,20000,1.61
2015/07/08,1239000,-1000,-0.08,953266,1.3,20000,1.61
2015/07/09,1265000,26000,2.1,953266,1.33,20000,1.58
2015/07/10,1259000,-6000,-0.47,953266,1.32,20000,1.59
2015/07/13,1266000,7000,0.56,953266,1.33,20000,1.58
2015/07/14,1225000,-41000,-3.24,953266,1.29,20000,1.63
2015/07/15,1235000,10000,0.82,953266,1.3,20000,1.62
2015/07/16,1282000,47000,3.81,953266,1.34,20000,1.56
2015/07/17,1305000,23000,1.79,953266,1.37,20000,1.53
2015/07/20,1275000,-30000,-2.3,953266,1.34,20000,1.57
2015/07/21,1263000,-12000,-0.94,953266,1.32,20000,1.58
2015/07/22,1253000,-10000,-0.79,953266,1.31,20000,1.6
2015/07/23,1234000,-19000,-1.52,953266,1.29,20000,1.62
2015/07/24,1229000,-5000,-0.41,953266,1.29,20000,1.63
2015/07/27,1230000,1000,0.08,953266,1.29,20000,1.63
2015/07/28,1230000,0,0.0,953266,1.29,20000,1.63
2015/07/29,1263000,33000,2.68,953266,1.32,20000,1.58
2015/07/30,1215000,-48000,-3.8,953266,1.27,20000,1.65
2015/07/31,1185000,-30000,-2.47,953266,1.24,20000,1.69
2015/08/03,1175000,-10000,-0.84,953266,1.23,20000,1.7
