Date,Close,대비,등락률,BPS,PBR,주당배당금,배당수익률
2014/01/02,60000,-700,-1.15,40811,1.47,500,0.83
2014/01/03,59000,-1000,-1.67,40811,1.45,500,0.85
2014/01/06,57300,-1700,-2.88,40811,1.4,500,0.87
2014/01/07,57500,200,0.35,40811,1.41,500,0.87
2014/01/08,59100,1600,2.78,40811,1.45,500,0.85
2014/01/09,61000,1900,3.21,40811,1.49,500,0.82
2014/01/10,61500,500,0.82,40811,1.51,500,0.81
2014/01/13,60800,-700,-1.14,40811,1.49,500,0.82
2014/01/14,57700,-3100,-5.1,40811,1.41,500,0.87
2014/01/15,57400,-300,-0.52,40811,1.41,500,0.87
2014/01/16,58700,1300,2.26,40811,1.44,500,0.85
2014/01/17,59100,400,0.68,40811,1.45,500,0.85
2014/01/20,59000,-100,-0.17,40811,1.45,500,0.85
2014/01/21,59500,500,0.85,40811,1.46,500,0.84
2014/01/22,59300,-200,-0.34,40811,1.45,500,0.84
2014/01/23,58600,-700,-1.18,40811,1.44,500,0.85
2014/01/24,58400,-200,-0.34,40811,1.43,500,0.86
2014/01/27,57800,-600,-1.03,40811,1.42,500,0.87
2014/01/28,57100,-700,-1.21,40811,1.4,500,0.88
2014/01/29,58400,1300,2.28,40811,1.43,500,0.86
2014/02/03,58100,-300,-0.51,40811,1.42,500,0.86
2014/02/04,57100,-1000,-1.72,40811,1.4,500,0.88
2014/02/05,57500,400,0.7,40811,1.41,500,0.87
2014/02/06,57500,0,0.0,40811,1.41,500,0.87
2014/02/07,57200,-300,-0.52,40811,1.4,500,0.87
2014/02/10,57900,700,1.22,40811,1.42,500,0.86
2014/02/11,57400,-500,-0.86,40811,1.41,500,0.87
2014/02/12,57000,-400,-0.7,40811,1.4,500,0.88
2014/02/13,56500,-500,-0.88,40811,1.38,500,0.88
2014/02/14,56400,-100,-0.18,40811,1.38,500,0.89
2014/02/17,58000,1600,2.84,40811,1.42,500,0.86
2014/02/18,57700,-300,-0.52,40811,1.41,500,0.87
2014/02/19,57900,200,0.35,40811,1.42,500,0.86
2014/02/20,58800,900,1.55,40811,1.44,500,0.85
2014/02/21,59000,200,0.34,40811,1.45,500,0.85
2014/02/24,58700,-300,-0.51,40811,1.44,500,0.85
2014/02/25,58300,-400,-0.68,40811,1.43,500,0.86
2014/02/26,58200,-100,-0.17,40811,1.43,500,0.86
2014/02/27,59100,900,1.55,40811,1.45,500,0.85
2014/02/28,58400,-700,-1.18,40811,1.43,500,0.86
2014/03/03,58400,0,0.0,40811,1.43,500,0.86
2014/03/04,58100,-300,-0.51,40811,1.42,500,0.86
2014/03/05,57300,-800,-1.38,40811,1.4,500,0.87
2014/03/06,57000,-300,-0.52,40811,1.4,500,0.88
2014/03/07,57500,500,0.88,40811,1.41,500,0.87
2014/03/10,57000,-500,-0.87,40811,1.4,500,0.88
2014/03/11,56600,-400,-0.7,40811,1.39,500,0.88
2014/03/12,55200,-1400,-2.47,40811,1.35,500,0.91
2014/03/13,54900,-300,-0.54,40811,1.35,500,0.91
2014/03/14,53700,-1200,-2.19,40811,1.32,500,0.93
2014/03/17,54500,800,1.49,40811,1.34,500,0.92
2014/03/18,54700,200,0.37,40811,1.34,500,0.91
2014/03/19,53900,-800,-1.46,40811,1.32,500,0.93
2014/03/20,52900,-1000,-1.86,40811,1.3,500,0.95
2014/03/21,53600,700,1.32,40811,1.31,500,0.93
2014/03/24,53800,200,0.37,40811,1.32,500,0.93
2014/03/25,55600,1800,3.35,40811,1.36,500,0.9
2014/03/26,55600,0,0.0,40811,1.36,500,0.9
2014/03/27,55900,300,0.54,40811,1.37,500,0.89
2014/03/28,56600,700,1.25,40811,1.39,500,0.88
2014/03/31,56000,-600,-1.06,40811,1.37,500,0.89
2014/04/01,56400,400,0.71,40811,1.38,500,0.89
2014/04/02,56800,400,0.71,40811,1.39,500,0.88
2014/04/03,56400,-400,-0.7,40811,1.38,500,0.89
2014/04/04,56500,100,0.18,40811,1.38,500,0.88
2014/04/07,56100,-400,-0.71,40811,1.37,500,0.89
2014/04/08,56300,200,0.36,40811,1.38,500,0.89
2014/04/09,57100,800,1.42,40811,1.4,500,0.88
2014/04/10,57400,300,0.53,40811,1.41,500,0.87
2014/04/11,57200,-200,-0.35,40811,1.4,500,0.87
2014/04/14,56700,-500,-0.87,40811,1.39,500,0.88
2014/04/15,56300,-400,-0.71,40811,1.38,500,0.89
2014/04/16,56000,-300,-0.53,40811,1.37,500,0.89
2014/04/17,56100,100,0.18,40811,1.37,500,0.89
2014/04/18,56400,300,0.53,40811,1.38,500,0.89
2014/04/21,56100,-300,-0.53,40811,1.37,500,0.89
2014/04/22,56000,-100,-0.18,40811,1.37,500,0.89
2014/04/23,55500,-500,-0.89,40811,1.36,500,0.9
2014/04/24,55300,-200,-0.36,40811,1.36,500,0.9
2014/04/25,55000,-300,-0.54,40811,1.35,500,0.91
2014/04/28,55300,300,0.55,40811,1.36,500,0.9
2014/04/29,55300,0,0.0,40811,1.36,500,0.9
2014/04/30,55800,500,0.9,43818,1.27,500,0.9
2014/05/02,55900,100,0.18,43818,1.28,500,0.89
2014/05/07,54900,-1000,-1.79,43818,1.25,500,0.91
2014/05/08,54500,-400,-0.73,43818,1.24,500,0.92
2014/05/09,54600,100,0.18,43818,1.25,500,0.92
2014/05/12,53400,-1200,-2.2,43818,1.22,500,0.94
2014/05/13,53900,500,0.94,43818,1.23,500,0.93
2014/05/14,54100,200,0.37,43818,1.23,500,0.92
2014/05/15,55100,1000,1.85,43818,1.26,500,0.91
2014/05/16,55700,600,1.09,43818,1.27,500,0.9
2014/05/19,55100,-600,-1.08,43818,1.26,500,0.91
2014/05/20,54700,-400,-0.73,43818,1.25,500,0.91
2014/05/21,54500,-200,-0.37,43818,1.24,500,0.92
2014/05/22,55100,600,1.1,43818,1.26,500,0.91
2014/05/23,54900,-200,-0.36,43818,1.25,500,0.91
2014/05/26,54800,-100,-0.18,43818,1.25,500,0.91
2014/05/27,54700,-100,-0.18,43818,1.25,500,0.91
2014/05/28,54600,-100,-0.18,43818,1.25,500,0.92
2014/05/29,54100,-500,-0.92,43818,1.23,500,0.92
2014/05/30,53400,-700,-1.29,43818,1.22,500,0.94
2014/06/02,53200,-200,-0.37,43818,1.21,500,0.94
2014/06/03,53400,200,0.38,43818,1.22,500,0.94
2014/06/05,52800,-600,-1.12,43818,1.2,500,0.95
2014/06/09,53700,900,1.7,43818,1.23,500,0.93
2014/06/10,54100,400,0.74,43818,1.23,500,0.92
2014/06/11,54300,200,0.37,43818,1.24,500,0.92
