Date,Close,등락률,PER,PBR,회전율,환율,코스피,나스닥
2014-01-02,322000,-1.38,10.1,0.71,0.002,1050.75,1967.19,-0.8
2014-01-03,320500,-0.47,10.06,0.71,0.002,1049.5999755859375,1946.14,-0.27
2014-01-06,316500,-1.25,9.93,0.7,0.002,1053.800048828125,1953.28,-0.44
2014-01-07,314500,-0.63,9.87,0.69,0.0016,1065.4000244140625,1959.44,0.96
2014-01-08,313500,-0.32,9.84,0.69,0.0018,1068.5,1958.96,0.3
2014-01-09,306500,-2.23,9.62,0.68,0.0034,1064.699951171875,1946.11,-0.23
2014-01-10,308000,0.49,9.66,0.68,0.0018,1062.0,1938.54,0.44
2014-01-13,310500,0.81,9.74,0.69,0.0017,1060.4000244140625,1948.92,-1.47
2014-01-14,310000,-0.16,9.73,0.69,0.0014,1058.5,1946.07,1.69
2014-01-15,310000,0.0,9.73,0.69,0.0014,1058.300048828125,1953.28,0.76
2014-01-16,311500,0.48,9.77,0.69,0.002,1063.0,1957.32,0.09
2014-01-17,311500,0.0,9.77,0.69,0.0017,1062.4000244140625,1944.48,-0.5
2014-01-21,309500,-0.48,9.71,0.68,0.0016,1062.5,1963.89,0.67
2014-01-22,310500,0.32,9.74,0.69,0.0016,1064.199951171875,1970.42,0.41
2014-01-23,305000,-1.77,9.57,0.67,0.0036,1066.5,1947.59,-0.57
2014-01-24,304500,-0.16,9.55,0.67,0.0022,1072.699951171875,1940.56,-2.15
2014-01-27,299000,-1.81,9.38,0.66,0.0031,1078.4000244140625,1910.34,-1.08
2014-01-28,297500,-0.5,9.33,0.66,0.0021,1082.5,1916.93,0.35
2014-01-29,298500,0.34,9.36,0.66,0.0032,1076.9000244140625,1941.15,-1.14
2014-02-03,295000,-1.17,9.26,0.65,0.003,1080.199951171875,1919.96,-2.61
2014-02-04,290000,-1.69,9.1,0.64,0.0038,1083.5999755859375,1886.85,0.86
2014-02-05,289500,-0.17,9.08,0.64,0.0023,1083.0,1891.32,-0.5
2014-02-06,288000,-0.52,9.04,0.64,0.0018,1076.9000244140625,1907.89,1.14
2014-02-07,286500,-0.52,8.99,0.63,0.0023,1077.699951171875,1922.5,1.69
2014-02-10,286500,0.0,8.99,0.63,0.0023,1075.300048828125,1923.3,0.54
2014-02-11,286000,-0.17,8.97,0.63,0.0018,1071.9000244140625,1932.06,1.03
2014-02-12,291000,1.75,9.13,0.64,0.0036,1069.9000244140625,1935.84,0.24
2014-02-13,290500,-0.17,9.11,0.64,0.0019,1061.4000244140625,1926.96,0.94
2014-02-14,294500,1.38,9.24,0.65,0.004,1065.300048828125,1940.28,0.08
2014-02-18,294500,-0.34,9.24,0.65,0.0014,1059.4000244140625,1946.91,0.68
2014-02-19,293000,-0.51,9.19,0.65,0.0016,1064.4000244140625,1942.93,-0.82
2014-02-20,291000,-0.68,9.13,0.64,0.0023,1065.300048828125,1930.57,0.7
2014-02-21,290000,-0.34,9.1,0.64,0.0019,1071.0,1957.83,-0.1
2014-02-24,288500,-0.52,9.05,0.64,0.0014,1072.0999755859375,1949.05,0.69
2014-02-25,289500,0.35,9.08,0.64,0.0018,1073.300048828125,1964.86,-0.13
2014-02-26,288500,-0.35,9.05,0.64,0.0027,1073.0999755859375,1970.77,0.1
2014-02-27,287000,-0.52,9.0,0.63,0.0018,1065.0999755859375,1978.43,0.63
2014-02-28,284000,-1.05,8.91,0.63,0.0053,1068.699951171875,1979.99,-0.25
2014-03-03,278500,-1.94,8.74,0.62,0.0026,1067.300048828125,1964.69,-0.72
2014-03-04,272500,-2.15,8.55,0.6,0.0063,1069.0,1954.11,1.75
2014-03-05,276500,1.47,8.67,0.61,0.0068,1070.0999755859375,1971.24,0.14
2014-03-06,279500,1.08,8.77,0.62,0.0035,1070.199951171875,1975.62,-0.13
2014-03-07,279500,0.0,8.77,0.62,0.0018,1063.5999755859375,1974.68,-0.37
2014-03-10,274000,-1.97,8.6,0.61,0.0028,1064.199951171875,1954.42,-0.04
2014-03-11,279000,1.82,8.75,0.62,0.0027,1066.0999755859375,1963.87,-0.63
2014-03-12,278500,-0.18,8.74,0.62,0.0029,1064.780029296875,1932.54,0.37
2014-03-13,280000,0.54,8.78,0.62,0.0042,1067.030029296875,1934.38,-1.46
2014-03-14,277000,-1.07,8.69,0.61,0.0018,1067.9000244140625,1919.9,-0.35
2014-03-17,279000,0.72,8.75,0.62,0.0017,1071.9300537109375,1927.53,0.81
2014-03-18,283000,1.43,8.88,0.63,0.0025,1066.9000244140625,1940.21,1.25
2014-03-19,286500,1.24,8.99,0.63,0.0034,1068.4000244140625,1937.68,-0.59
2014-03-20,287500,0.35,9.02,0.64,0.0022,1069.5999755859375,1919.52,0.27
2014-03-21,292000,1.57,9.16,0.65,0.0033,1076.0,1934.94,-0.98
2014-03-24,296500,1.54,9.3,0.66,0.0028,1079.3800048828125,1945.55,-1.18
2014-03-25,300500,1.35,9.43,0.66,0.0031,1076.800048828125,1941.25,0.19
2014-03-26,301500,0.33,9.46,0.67,0.0024,1078.300048828125,1964.31,-1.43
2014-03-27,303000,0.5,9.51,0.67,0.0027,1076.4300537109375,1977.97,-0.54
2014-03-28,294000,-2.97,9.22,0.65,0.003,1068.1800537109375,1981.0,0.11
2014-03-31,296000,0.68,9.29,0.65,0.0021,1066.550048828125,1985.61,1.04
2014-04-01,300500,1.52,9.43,0.66,0.0024,1062.5,1991.98,1.64
2014-04-02,297000,-1.16,9.32,0.66,0.0017,1057.5999755859375,1997.25,0.2
2014-04-03,294500,-0.84,9.24,0.65,0.0017,1058.43994140625,1993.7,-0.91
2014-04-04,294500,0.0,9.24,0.65,0.0028,1056.699951171875,1988.09,-2.6
2014-04-07,300500,2.04,9.43,0.66,0.0023,1051.449951171875,1989.7,-1.16
2014-04-08,303000,0.83,9.51,0.67,0.002,1054.3399658203125,1993.03,0.81
2014-04-09,311500,2.81,9.77,0.69,0.0059,1046.030029296875,1998.95,1.72
2014-04-10,312000,0.16,9.79,0.69,0.0034,1035.1099853515625,2008.61,-3.1
2014-04-11,313000,0.32,9.82,0.69,0.0024,1038.239990234375,1997.44,-1.34
2014-04-14,314000,0.32,9.85,0.69,0.002,1038.93994140625,1997.02,0.57
2014-04-15,317000,0.96,9.95,0.7,0.0024,1040.9100341796875,1992.27,0.29
2014-04-16,307500,-3.0,9.65,0.68,0.0036,1040.199951171875,1992.21,1.29
2014-04-17,308500,0.33,9.68,0.68,0.0017,1036.4300537109375,1992.05,0.23
2014-04-21,302500,-2.26,9.49,0.67,0.0024,1037.5999755859375,1999.22,0.64
2014-04-22,301500,-0.33,9.46,0.67,0.0017,1038.4100341796875,2004.22,0.97
2014-04-23,299000,-0.83,9.38,0.66,0.0018,1039.510009765625,2000.37,-0.83
