Date,Close,등락률,PER,PBR,회전율,환율,코스피,나스닥
2014-01-02,35550,-3.4,-,2.53,0.0063,1050.75,1967.19,-0.8
2014-01-03,36300,2.11,-,2.59,0.0054,1049.5999755859375,1946.14,-0.27
2014-01-06,37650,3.72,-,2.68,0.0077,1053.800048828125,1953.28,-0.44
2014-01-07,37800,0.4,-,2.69,0.0047,1065.4000244140625,1959.44,0.96
2014-01-08,39000,3.17,-,2.78,0.0092,1068.5,1958.96,0.3
2014-01-09,38850,-0.38,-,2.77,0.0063,1064.699951171875,1946.11,-0.23
2014-01-10,38500,-0.9,-,2.74,0.0066,1062.0,1938.54,0.44
2014-01-13,38150,-0.91,-,2.72,0.0031,1060.4000244140625,1948.92,-1.47
2014-01-14,38400,0.66,-,2.74,0.0033,1058.5,1946.07,1.69
2014-01-15,36650,-4.56,-,2.61,0.0159,1058.300048828125,1953.28,0.76
2014-01-16,36550,-0.27,-,2.6,0.0071,1063.0,1957.32,0.09
2014-01-17,36000,-1.5,-,2.57,0.0048,1062.4000244140625,1944.48,-0.5
2014-01-21,36400,-1.22,-,2.59,0.0035,1062.5,1963.89,0.67
2014-01-22,36300,-0.27,-,2.59,0.0125,1064.199951171875,1970.42,0.41
2014-01-23,35400,-2.48,-,2.52,0.0076,1066.5,1947.59,-0.57
2014-01-24,35900,1.41,-,2.56,0.0066,1072.699951171875,1940.56,-2.15
2014-01-27,35250,-1.81,-,2.51,0.0054,1078.4000244140625,1910.34,-1.08
2014-01-28,36800,4.4,-,2.62,0.0072,1082.5,1916.93,0.35
2014-01-29,37850,2.85,-,2.7,0.0081,1076.9000244140625,1941.15,-1.14
2014-02-03,37950,0.26,-,2.7,0.0046,1080.199951171875,1919.96,-2.61
2014-02-04,36500,-3.82,-,2.6,0.0072,1083.5999755859375,1886.85,0.86
2014-02-05,36650,0.41,-,2.61,0.0052,1083.0,1891.32,-0.5
2014-02-06,38600,5.32,-,2.75,0.0092,1076.9000244140625,1907.89,1.14
2014-02-07,39300,1.81,-,2.8,0.0088,1077.699951171875,1922.5,1.69
2014-02-10,39000,-0.76,-,2.78,0.0039,1075.300048828125,1923.3,0.54
2014-02-11,39000,0.0,-,2.78,0.0027,1071.9000244140625,1932.06,1.03
2014-02-12,39850,2.18,-,2.84,0.0047,1069.9000244140625,1935.84,0.24
2014-02-13,39900,0.13,-,2.84,0.0048,1061.4000244140625,1926.96,0.94
2014-02-14,39050,-2.13,-,2.78,0.0044,1065.300048828125,1940.28,0.08
2014-02-18,38800,0.26,-,2.77,0.0025,1059.4000244140625,1946.91,0.68
2014-02-19,39150,0.9,-,2.79,0.0039,1064.4000244140625,1942.93,-0.82
2014-02-20,38800,-0.89,-,2.77,0.0037,1065.300048828125,1930.57,0.7
2014-02-21,39300,1.29,-,2.8,0.0045,1071.0,1957.83,-0.1
2014-02-24,38850,-1.15,-,2.77,0.0026,1072.0999755859375,1949.05,0.69
