Date,Close,등락률,PER,PBR,회전율,환율,코스피,나스닥
2014-01-02,1309000,-4.59,8.5,1.9,0.0042,1050.75,1967.19,-0.8
2014-01-03,1296000,-0.99,8.41,1.88,0.0036,1049.5999755859375,1946.14,-0.27
2014-01-06,1307000,0.85,8.49,1.9,0.0027,1053.800048828125,1953.28,-0.44
2014-01-07,1304000,-0.23,8.47,1.89,0.0027,1065.4000244140625,1959.44,0.96
2014-01-08,1291000,-1.0,8.38,1.88,0.0028,1068.5,1958.96,0.3
2014-01-09,1275000,-1.24,8.28,1.85,0.0029,1064.699951171875,1946.11,-0.23
2014-01-10,1272000,-0.24,8.26,1.85,0.0025,1062.0,1938.54,0.44
2014-01-13,1295000,1.81,8.41,1.88,0.0022,1060.4000244140625,1948.92,-1.47
2014-01-14,1313000,1.39,8.52,1.91,0.002,1058.5,1946.07,1.69
2014-01-15,1299000,-1.07,8.43,1.89,0.0016,1058.300048828125,1953.28,0.76
2014-01-16,1301000,0.15,8.45,1.89,0.0013,1063.0,1957.32,0.09
2014-01-17,1292000,-0.69,8.39,1.88,0.0017,1062.4000244140625,1944.48,-0.5
2014-01-21,1324000,0.61,8.6,1.92,0.001,1062.5,1963.89,0.67
2014-01-22,1328000,0.3,8.62,1.93,0.0015,1064.199951171875,1970.42,0.41
2014-01-23,1299000,-2.18,8.43,1.89,0.0014,1066.5,1947.59,-0.57
2014-01-24,1307000,0.62,8.49,1.9,0.0019,1072.699951171875,1940.56,-2.15
2014-01-27,1292000,-1.15,8.39,1.88,0.0018,1078.4000244140625,1910.34,-1.08
2014-01-28,1283000,-0.7,8.33,1.86,0.0016,1082.5,1916.93,0.35
2014-01-29,1280000,-0.23,8.31,1.86,0.0026,1076.9000244140625,1941.15,-1.14
2014-02-03,1272000,-0.63,8.26,1.85,0.0022,1080.199951171875,1919.96,-2.61
2014-02-04,1249000,-1.81,8.11,1.81,0.0022,1083.5999755859375,1886.85,0.86
2014-02-05,1237000,-0.96,8.03,1.8,0.002,1083.0,1891.32,-0.5
2014-02-06,1259000,1.78,8.17,1.83,0.0021,1076.9000244140625,1907.89,1.14
2014-02-07,1275000,1.27,8.28,1.85,0.0014,1077.699951171875,1922.5,1.69
2014-02-10,1277000,0.16,8.29,1.86,0.0011,1075.300048828125,1923.3,0.54
2014-02-11,1311000,2.66,8.51,1.9,0.0017,1071.9000244140625,1932.06,1.03
2014-02-12,1307000,-0.31,8.49,1.9,0.0014,1069.9000244140625,1935.84,0.24
2014-02-13,1298000,-0.69,8.43,1.89,0.0008,1061.4000244140625,1926.96,0.94
2014-02-14,1301000,0.23,8.45,1.89,0.0008,1065.300048828125,1940.28,0.08
2014-02-18,1295000,0.78,8.41,1.88,0.0008,1059.4000244140625,1946.91,0.68
2014-02-19,1290000,-0.39,8.38,1.87,0.0008,1064.4000244140625,1942.93,-0.82
2014-02-20,1286000,-0.31,8.35,1.87,0.0013,1065.300048828125,1930.57,0.7
2014-02-21,1330000,3.42,8.64,1.93,0.0019,1071.0,1957.83,-0.1
2014-02-24,1328000,-0.15,8.62,1.93,0.001,1072.0999755859375,1949.05,0.69
2014-02-25,1334000,0.45,8.66,1.94,0.0012,1073.300048828125,1964.86,-0.13
2014-02-26,1342000,0.6,8.71,1.95,0.0018,1073.0999755859375,1970.77,0.1
2014-02-27,1341000,-0.07,8.71,1.95,0.0011,1065.0999755859375,1978.43,0.63
2014-02-28,1349000,0.6,8.76,1.96,0.0019,1068.699951171875,1979.99,-0.25
2014-03-03,1325000,-1.78,8.6,1.93,0.0016,1067.300048828125,1964.69,-0.72
2014-03-04,1315000,-0.75,8.54,1.91,0.0011,1069.0,1954.11,1.75
2014-03-05,1330000,1.14,8.64,1.93,0.001,1070.0999755859375,1971.24,0.14
2014-03-06,1326000,-0.3,8.61,1.93,0.0012,1070.199951171875,1975.62,-0.13
2014-03-07,1339000,0.98,8.69,1.95,0.001,1063.5999755859375,1974.68,-0.37
2014-03-10,1320000,-1.42,8.57,1.92,0.0012,1064.199951171875,1954.42,-0.04
2014-03-11,1322000,0.15,8.58,1.92,0.0012,1066.0999755859375,1963.87,-0.63
2014-03-12,1294000,-2.12,8.4,1.88,0.0017,1064.780029296875,1932.54,0.37
2014-03-13,1290000,-0.31,8.38,1.87,0.0016,1067.030029296875,1934.38,-1.46
2014-03-14,1275000,-1.16,8.28,1.85,0.0015,1067.9000244140625,1919.9,-0.35
