Date,Close,등락률,PER,PBR,회전율,환율,코스피,나스닥
2014-01-02,60000,-1.15,13.11,1.47,0.0031,1050.75,1967.19,-0.8
2014-01-03,59000,-1.67,12.89,1.45,0.003,1049.5999755859375,1946.14,-0.27
2014-01-06,57300,-2.88,12.52,1.4,0.0051,1053.800048828125,1953.28,-0.44
2014-01-07,57500,0.35,12.56,1.41,0.0028,1065.4000244140625,1959.44,0.96
2014-01-08,59100,2.78,12.91,1.45,0.0068,1068.5,1958.96,0.3
2014-01-09,61000,3.21,13.32,1.49,0.0091,1064.699951171875,1946.11,-0.23
2014-01-10,61500,0.82,13.43,1.51,0.0038,1062.0,1938.54,0.44
2014-01-13,60800,-1.14,13.28,1.49,0.0118,1060.4000244140625,1948.92,-1.47
2014-01-14,57700,-5.1,12.6,1.41,0.0118,1058.5,1946.07,1.69
2014-01-15,57400,-0.52,12.54,1.41,0.0067,1058.300048828125,1953.28,0.76
2014-01-16,58700,2.26,12.82,1.44,0.0091,1063.0,1957.32,0.09
2014-01-17,59100,0.68,12.91,1.45,0.0051,1062.4000244140625,1944.48,-0.5
2014-01-21,59500,0.85,13.0,1.46,0.0021,1062.5,1963.89,0.67
2014-01-22,59300,-0.34,12.95,1.45,0.0031,1064.199951171875,1970.42,0.41
2014-01-23,58600,-1.18,12.8,1.44,0.0029,1066.5,1947.59,-0.57
2014-01-24,58400,-0.34,12.76,1.43,0.0036,1072.699951171875,1940.56,-2.15
2014-01-27,57800,-1.03,12.63,1.42,0.0024,1078.4000244140625,1910.34,-1.08
2014-01-28,57100,-1.21,12.47,1.4,0.0034,1082.5,1916.93,0.35
2014-01-29,58400,2.28,12.76,1.43,0.005,1076.9000244140625,1941.15,-1.14
2014-02-03,58100,-0.51,12.69,1.42,0.0023,1080.199951171875,1919.96,-2.61
2014-02-04,57100,-1.72,12.47,1.4,0.0036,1083.5999755859375,1886.85,0.86
2014-02-05,57500,0.7,12.56,1.41,0.004,1083.0,1891.32,-0.5
2014-02-06,57500,0.0,12.56,1.41,0.0033,1076.9000244140625,1907.89,1.14
2014-02-07,57200,-0.52,12.49,1.4,0.0041,1077.699951171875,1922.5,1.69
2014-02-10,57900,1.22,12.65,1.42,0.003,1075.300048828125,1923.3,0.54
2014-02-11,57400,-0.86,12.54,1.41,0.0023,1071.9000244140625,1932.06,1.03
2014-02-12,57000,-0.7,12.45,1.4,0.0033,1069.9000244140625,1935.84,0.24
2014-02-13,56500,-0.88,12.34,1.38,0.0033,1061.4000244140625,1926.96,0.94
2014-02-14,56400,-0.18,12.32,1.38,0.0045,1065.300048828125,1940.28,0.08
2014-02-18,57700,-0.52,12.6,1.41,0.0046,1059.4000244140625,1946.91,0.68
2014-02-19,57900,0.35,12.65,1.42,0.005,1064.4000244140625,1942.93,-0.82
2014-02-20,58800,1.55,12.84,1.44,0.0099,1065.300048828125,1930.57,0.7
2014-02-21,59000,0.34,12.89,1.45,0.0049,1071.0,1957.83,-0.1
2014-02-24,58700,-0.51,12.82,1.44,0.0025,1072.0999755859375,1949.05,0.69
2014-02-25,58300,-0.68,12.73,1.43,0.008,1073.300048828125,1964.86,-0.13
2014-02-26,58200,-0.17,12.71,1.43,0.0036,1073.0999755859375,1970.77,0.1
2014-02-27,59100,1.55,12.91,1.45,0.0052,1065.0999755859375,1978.43,0.63
2014-02-28,58400,-1.18,12.76,1.43,0.0031,1068.699951171875,1979.99,-0.25
2014-03-03,58400,0.0,12.76,1.43,0.0024,1067.300048828125,1964.69,-0.72
2014-03-04,58100,-0.51,12.69,1.42,0.0025,1069.0,1954.11,1.75
2014-03-05,57300,-1.38,12.52,1.4,0.0072,1070.0999755859375,1971.24,0.14
2014-03-06,57000,-0.52,12.45,1.4,0.0041,1070.199951171875,1975.62,-0.13
2014-03-07,57500,0.88,12.56,1.41,0.0039,1063.5999755859375,1974.68,-0.37
2014-03-10,57000,-0.87,12.45,1.4,0.0035,1064.199951171875,1954.42,-0.04
2014-03-11,56600,-0.7,12.36,1.39,0.0033,1066.0999755859375,1963.87,-0.63
2014-03-12,55200,-2.47,12.06,1.35,0.0058,1064.780029296875,1932.54,0.37
2014-03-13,54900,-0.54,11.99,1.35,0.005,1067.030029296875,1934.38,-1.46
2014-03-14,53700,-2.19,11.73,1.32,0.0081,1067.9000244140625,1919.9,-0.35
2014-03-17,54500,1.49,11.9,1.34,0.004,1071.9300537109375,1927.53,0.81
2014-03-18,54700,0.37,11.95,1.34,0.0034,1066.9000244140625,1940.21,1.25
2014-03-19,53900,-1.46,11.77,1.32,0.0047,1068.4000244140625,1937.68,-0.59
2014-03-20,52900,-1.86,11.56,1.3,0.0056,1069.5999755859375,1919.52,0.27
2014-03-21,53600,1.32,11.71,1.31,0.0033,1076.0,1934.94,-0.98
2014-03-24,53800,0.37,11.75,1.32,0.0022,1079.3800048828125,1945.55,-1.18
2014-03-25,55600,3.35,12.15,1.36,0.0085,1076.800048828125,1941.25,0.19
2014-03-26,55600,0.0,12.15,1.36,0.0036,1078.300048828125,1964.31,-1.43
2014-03-27,55900,0.54,12.21,1.37,0.0026,1076.4300537109375,1977.97,-0.54
2014-03-28,56600,1.25,12.36,1.39,0.0039,1068.1800537109375,1981.0,0.11
2014-03-31,56000,-1.06,12.23,1.37,0.0044,1066.550048828125,1985.61,1.04
2014-04-01,56400,0.71,12.32,1.38,0.0023,1062.5,1991.98,1.64
2014-04-02,56800,0.71,12.41,1.39,0.0036,1057.5999755859375,1997.25,0.2
2014-04-03,56400,-0.7,12.32,1.38,0.0023,1058.43994140625,1993.7,-0.91
2014-04-04,56500,0.18,12.34,1.38,0.0027,1056.699951171875,1988.09,-2.6
2014-04-07,56100,-0.71,12.25,1.37,0.0018,1051.449951171875,1989.7,-1.16
2014-04-08,56300,0.36,12.3,1.38,0.0024,1054.3399658203125,1993.03,0.81
2014-04-09,57100,1.42,12.47,1.4,0.0038,1046.030029296875,1998.95,1.72
2014-04-10,57400,0.53,12.54,1.41,0.0031,1035.1099853515625,2008.61,-3.1
2014-04-11,57200,-0.35,12.49,1.4,0.002,1038.239990234375,1997.44,-1.34
2014-04-14,56700,-0.87,12.39,1.39,0.0018,1038.93994140625,1997.02,0.57
2014-04-15,56300,-0.71,12.3,1.38,0.0022,1040.9100341796875,1992.27,0.29
2014-04-16,56000,-0.53,12.23,1.37,0.0027,1040.199951171875,1992.21,1.29
2014-04-17,56100,0.18,12.25,1.37,0.0018,1036.4300537109375,1992.05,0.23
2014-04-21,56100,-0.53,12.25,1.37,0.0008,1037.5999755859375,1999.22,0.64
2014-04-22,56000,-0.18,12.23,1.37,0.0014,1038.4100341796875,2004.22,0.97
2014-04-23,55500,-0.89,12.12,1.36,0.0022,1039.510009765625,2000.37,-0.83
2014-04-24,55300,-0.36,12.08,1.36,0.0021,1038.5999755859375,1998.34,0.52
2014-04-25,55000,-0.54,12.01,1.35,0.0019,1038.699951171875,1971.66,-1.75
2014-04-28,55300,0.55,12.08,1.36,0.002,1039.699951171875,1969.26,-0.03
2014-04-29,55300,0.0,12.08,1.36,0.0015,1033.43994140625,1964.77,0.72
2014-04-30,55800,0.9,12.34,1.27,0.0035,1029.43994140625,1961.79,0.27
2014-05-02,55900,0.18,12.36,1.28,0.0015,1030.7099609375,1959.44,-0.09
2014-05-07,54900,-1.79,12.14,1.25,0.0025,1025.510009765625,1939.88,-0.32
2014-05-08,54500,-0.73,12.05,1.24,0.0032,1022.9199829101562,1950.6,-0.4
2014-05-09,54600,0.18,12.07,1.25,0.0031,1021.9099731445312,1956.55,0.5
2014-05-12,53400,-2.2,11.81,1.22,0.0052,1023.0999755859376,1964.94,1.77
2014-05-13,53900,0.94,11.92,1.23,0.0024,1023.22998046875,1982.93,-0.33
2014-05-14,54100,0.37,11.96,1.23,0.0033,1022.5999755859376,2010.83,-0.72
2014-05-15,55100,1.85,12.18,1.26,0.004,1027.739990234375,2010.2,-0.76
2014-05-16,55700,1.09,12.32,1.27,0.0025,1028.239990234375,2013.44,0.52
2014-05-19,55100,-1.08,12.18,1.26,0.0029,999.8300170898438,2015.14,0.86
2014-05-20,54700,-0.73,12.1,1.25,0.0018,1021.7000122070312,2011.26,-0.7
2014-05-21,54500,-0.37,12.05,1.24,0.0024,1024.8599853515625,2008.33,0.85
2014-05-22,55100,1.1,12.18,1.26,0.0022,1025.949951171875,2015.59,0.55
2014-05-23,54900,-0.36,12.14,1.25,0.0016,1023.97998046875,2017.17,0.76
2014-05-27,54700,-0.18,12.1,1.25,0.0012,1024.1300048828125,1997.63,1.22
2014-05-28,54600,-0.18,12.07,1.25,0.0021,1024.3800048828125,2017.06,-0.28
2014-05-29,54100,-0.92,11.96,1.23,0.0023,1020.9000244140624,2012.26,0.54
2014-05-30,53400,-1.29,11.81,1.22,0.0035,1018.5399780273438,1994.96,-0.13
